p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64, , , , , ,1.0,1.0,0.0,cufft,-26.096,1.546,polaris-gpu,4,64,4,True,2,1
float,64, , , , , ,1.0,1.0,0.0,cufft,-19.7457,3.1500000000000004,polaris-gpu,8,64,4,True,2,1
float,64, , , , , ,1.0,1.0,0.0,cufft,-17.5969,4.739000000000001,polaris-gpu,16,64,4,True,2,1
float,64, , , , , ,1.0,1.0,0.0,cufft,-9.41215,6.534000000000001,polaris-gpu,32,64,4,True,2,1
float,64, , , , , ,1.0,1.0,0.0,cufft,-2.93886,8.918000000000001,polaris-gpu,64,64,4,True,2,1
float,128, , , , , ,1.0,1.0,0.0,cufft,-87.7806,10.106000000000002,polaris-gpu,4,64,4,True,2,1
float,128, , , , , ,1.0,1.0,0.0,cufft,-86.2661,11.392,polaris-gpu,8,64,4,True,2,1
float,128, , , , , ,1.0,1.0,0.0,cufft,-82.9952,12.684,polaris-gpu,16,64,4,True,2,1
float,128, , , , , ,1.0,1.0,0.0,cufft,-69.8361,14.085,polaris-gpu,32,64,4,True,2,1
float,128, , , , , ,1.0,1.0,0.0,cufft,-27.1135,15.796,polaris-gpu,64,64,4,True,2,1
float,256, , , , , ,1.0,1.0,0.0,cufft,-165.506,17.374,polaris-gpu,4,64,4,True,2,1
float,256, , , , , ,1.0,1.0,0.0,cufft,-248.026,18.808,polaris-gpu,8,64,4,True,2,1
float,256, , , , , ,1.0,1.0,0.0,cufft,-201.777,20.532,polaris-gpu,64,64,4,True,2,1
float,512, , , , , ,1.0,1.0,0.0,cufft,-226.496,25.443,polaris-gpu,4,64,4,True,2,1
float,512, , , , , ,1.0,1.0,0.0,cufft,-343.261,28.666,polaris-gpu,8,64,4,True,2,1
float,512, , , , , ,1.0,1.0,0.0,cufft,-600.734,30.993,polaris-gpu,16,64,4,True,2,1
float,512, , , , , ,1.0,1.0,0.0,cufft,-1026.22,32.909,polaris-gpu,32,64,4,True,2,1
float,512, , , , , ,1.0,1.0,0.0,cufft,-1068.56,34.892,polaris-gpu,64,64,4,True,2,1
float,1024, , , , , ,1.0,1.0,0.0,cufft,-273.7,65.536,polaris-gpu,4,64,4,True,2,1
float,1024, , , , , ,1.0,1.0,0.0,cufft,-430.105,82.577,polaris-gpu,8,64,4,True,2,1
float,1024, , , , , ,1.0,1.0,0.0,cufft,-739.473,92.032,polaris-gpu,16,64,4,True,2,1
float,1024, , , , , ,1.0,1.0,0.0,cufft,-1340.19,97.66,polaris-gpu,32,64,4,True,2,1
float,1024, , , , , ,1.0,1.0,0.0,cufft,-2111.66,101.569,polaris-gpu,64,64,4,True,2,1
float,1400, , , , , ,1.0,1.0,0.0,cufft,-290.671,178.227,polaris-gpu,4,64,4,True,2,1
float,1400, , , , , ,1.0,1.0,0.0,cufft,-838.161,200.252,polaris-gpu,16,64,4,True,2,1
float,1400, , , , , ,1.0,1.0,0.0,cufft,-1430.39,212.587,polaris-gpu,32,64,4,True,2,1
float,1400, , , , , ,1.0,1.0,0.0,cufft,-2335.78,220.301,polaris-gpu,64,64,4,True,2,1
