p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,256,256,512, , , , , ,2 2 4,2 2 4,16,cufft,-429.936,5.34967303276062,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-no-reorder, , , ,-r2c_dir 1,8 2 1,2 1 8,4,cufft,-437.833,5.256049871444702,polaris-gpu,16,64,4,True,3,4
float,256,256,512, ,-a2av, ,-pencils,-r2c_dir 1,4 1 4,1 16 1,4,cufft,2.255,5.112807989120483,polaris-gpu,16,64,4,True,4,4
double,256,256,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,4 4 1,4 4 1,4,cufft,1.0,304.6450002193451,polaris-gpu,16,64,4,True,5,4
double,256,256,512,-reorder,-a2a,-p2p_pl,-pencils, ,1 8 2,1 2 8,4,cufft,2.255,13.706899642944336,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-no-reorder,-a2a,-p2p,-slabs, ,8 2 1,4 4 1,16,cufft,-295.571,10.786149740219116,polaris-gpu,16,64,4,True,3,4
float,256,256,512, , ,-p2p_pl,-slabs,-r2c_dir 2,1 2 8,4 4 1,2,cufft,1.0,310.2913432121277,polaris-gpu,16,64,4,True,4,4
double,256,256,512,-no-reorder,-a2a, , ,-r2c_dir 0,2 2 4,8 1 2,2,cufft,-169.035,15.139947175979614,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder, , , , ,1 4 4,1 2 8,2,cufft,1.0,317.36131501197815,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-no-reorder, , , , ,1 2 8,8 1 2,4,cufft,1.0,319.300053358078,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder,-a2a, , ,-r2c_dir 1,4 2 2,1 8 2,16,cufft,1.0,608.3721120357513,polaris-gpu,16,64,4,True,5,4
float,256,256,512,-no-reorder, , , ,-r2c_dir 1,8 1 2,4 1 4,16,cufft,1.0,614.1300766468048,polaris-gpu,16,64,4,True,4,4
float,256,256,512, , ,-p2p, , ,1 8 2,2 1 8,16,cufft,1.0,621.1317367553711,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-no-reorder, , , , ,1 8 2,1 8 2,16,cufft,1.0,623.2478637695312,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder, , , , ,8 2 1,4 1 4,16,cufft,-481.966,612.5833647251129,polaris-gpu,16,64,4,True,5,4
double,256,256,512,-no-reorder, , , , ,8 2 1,4 1 4,16,cufft,-323.805,616.7230558395386,polaris-gpu,16,64,4,True,4,4
float,256,256,512,-no-reorder, , , , ,8 2 1,4 2 2,16,cufft,-434.508,618.5731136798859,polaris-gpu,16,64,4,True,5,4
double,256,256,512, ,-a2a, , , ,8 2 1,4 1 4,16,cufft,-156.717,621.1005611419678,polaris-gpu,16,64,4,True,4,4
double,256,256,512,-no-reorder, , , ,-r2c_dir 2,8 2 1,1 1 16,16,cufft,2.255,622.4652481079102,polaris-gpu,16,64,4,True,5,4
float,256,256,512,-no-reorder, ,-p2p, , ,8 2 1,2 2 4,16,cufft,-375.24,625.200807094574,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder, , ,-pencils, ,8 2 1,8 2 1,16,cufft,-509.057,628.2550115585327,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-no-reorder, , , ,-r2c_dir 0,8 2 1,1 1 16,16,cufft,-433.359,628.2751579284668,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder,-a2av,-p2p, , ,8 2 1,8 1 2,16,cufft,-422.601,631.180713891983,polaris-gpu,16,64,4,True,2,4
float,256,256,512, , , , , ,8 2 1,4 1 4,16,cufft,-487.023,631.1390233039856,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, , , ,-r2c_dir 1,8 2 1,2 8 1,16,cufft,-577.732,634.2192761898041,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-no-reorder, , ,-pencils, ,8 2 1,1 16 1,16,cufft,-452.894,634.1816973686218,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, , , , ,8 2 1,4 4 1,2,cufft,-564.328,637.173600435257,polaris-gpu,16,64,4,True,2,4
float,256,256,512, , , , , ,8 2 1,16 1 1,16,cufft,-345.144,637.2386286258698,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, , ,-slabs,-r2c_dir 0,8 2 1,1 2 8,16,cufft,-253.952,640.3976159095764,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder, ,-p2p,-pencils, ,8 2 1,8 1 2,16,cufft,-535.0,640.1376678943634,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av, , ,-r2c_dir 2,8 2 1,16 1 1,16,cufft,2.255,642.8910071849823,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder, , , , ,8 2 1,1 16 1,16,cufft,-482.678,643.2094073295593,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils, ,8 2 1,4 4 1,16,cufft,-647.506,646.1250739097595,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder, , ,-pencils, ,8 2 1,8 1 2,16,cufft,-624.754,646.123288154602,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, , , , ,8 2 1,8 2 1,4,cufft,-512.377,649.1604039669037,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder, ,-p2p, , ,8 2 1,1 4 4,12,cufft,-400.019,649.1523311138153,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, , ,-pencils, ,8 2 1,2 1 8,2,cufft,-519.538,652.1768445968628,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder,-a2a, ,-pencils, ,8 2 1,16 1 1,16,cufft,-444.524,652.3128957748413,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, , ,-pencils, ,8 2 1,4 4 1,12,cufft,-559.74,655.1233057975769,polaris-gpu,16,64,4,True,2,4
double,256,256,512,-reorder, ,-p2p_pl,-pencils, ,8 2 1,4 4 1,16,cufft,-405.237,655.0992348194122,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-slabs, ,8 2 1,4 4 1,16,cufft,-416.139,658.1803786754608,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils, ,8 2 1,2 4 2,16,cufft,-605.928,658.1145532131195,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, , ,-pencils,-r2c_dir 2,8 2 1,4 4 1,4,cufft,1.0,960.8713195323944,polaris-gpu,16,64,4,True,2,4
float,256,256,512,-reorder, , ,-pencils,-r2c_dir 0,8 2 1,8 2 1,12,cufft,-511.351,661.2150254249573,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils, ,8 2 1,2 1 8,4,cufft,-618.454,664.1801156997681,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, , ,-pencils, ,8 2 1,4 1 4,4,cufft,-544.619,664.2707724571228,polaris-gpu,16,64,4,True,4,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,16,cufft,-695.194,666.1687512397766,polaris-gpu,16,64,4,True,3,4
double,256,256,512,-reorder, ,-p2p_pl,-pencils, ,8 2 1,1 2 8,4,cufft,-357.402,668.3044283390045,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils, ,8 2 1,2 1 8,4,cufft,-594.936,671.3504729270935,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils, ,8 2 1,1 2 8,4,cufft,-553.854,671.3385910987854,polaris-gpu,16,64,4,True,4,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 2 4,8,cufft,-477.726,673.3772723674774,polaris-gpu,16,64,4,True,5,4
float,256,256,512,-reorder, , ,-pencils,-r2c_dir 1,8 2 1,2 2 4,16,cufft,-496.207,675.4560678005219,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,1 4 4,16,cufft,2.255,677.0365450382233,polaris-gpu,16,64,4,True,4,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils, ,8 2 1,1 2 8,4,cufft,-563.496,679.5028202533722,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,4,cufft,-665.863,682.4616820812225,polaris-gpu,16,64,4,True,3,4
