p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,128,-reorder,-a2av,-p2p_pl, ,-r2c_dir 2,0.7117457059654778,0.6336313614107874,0.2814514584552943,cufft,-224.048,10.222986221313477,polaris-gpu,4,64,4,True,5,4
float,128,-reorder,-a2av,-p2p_pl,-pencils, ,0.7141052762109572,0.5623082563542815,0.5726873017953735,cufft,-278.498,10.574408054351807,polaris-gpu,4,64,4,True,2,4
float,128,-reorder,-a2av,-p2p_pl,-pencils, ,0.7247627553012178,0.3679608530713927,0.17095100543752173,cufft,-287.114,13.07914423942566,polaris-gpu,4,64,4,True,4,4
float,128,-reorder,-a2a, ,-pencils, ,0.709474403567492,0.4839309207459679,0.34294132741895367,cufft,-274.726,15.510496139526367,polaris-gpu,4,64,4,True,2,4
float,128, ,-a2av,-p2p_pl, , ,0.7226602825036477,0.5768153208058656,0.5256894853953429,cufft,-182.508,17.721046924591064,polaris-gpu,4,64,4,True,2,4
float,128,-reorder,-a2a,-p2p_pl, , ,0.7115870489146322,0.3648292569835898,0.18345260064356295,cufft,-294.706,19.95877170562744,polaris-gpu,4,64,4,True,2,4
float,128, ,-a2a,-p2p_pl,-pencils, ,0.7100039634822827,0.09040841533042754,0.4376636049641429,cufft,-122.022,22.191188097000122,polaris-gpu,4,64,4,True,2,4
float,128,-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,0.713031506244451,0.3798444897341078,0.22661770783913449,cufft,-225.227,24.44689106941223,polaris-gpu,4,64,4,True,2,4
double,128,-reorder,-a2av,-p2p_pl,-pencils, ,0.7230049723908153,0.7929346746424354,0.2664894271230648,cufft,-209.047,26.681466341018677,polaris-gpu,4,64,4,True,2,4
float,128,-reorder,-a2a, , , ,0.7117062557736795,0.538096304213185,0.24546834394968853,cufft,-264.956,28.922793865203857,polaris-gpu,4,64,4,True,2,4
float,128,-reorder,-a2av,-p2p_pl,-pencils, ,0.7238611029128573,0.5184205156477787,0.1763623775977179,cufft,-287.514,31.17404866218567,polaris-gpu,4,64,4,True,2,4
float,128,-reorder,-a2av, ,-slabs, ,0.7183216566048533,0.44537014054223467,0.28521775515836967,cufft,-125.692,33.42583441734314,polaris-gpu,4,64,4,True,2,4
float,128,-reorder,-a2a,-p2p, , ,0.7182832453010174,0.5676567855976642,0.007387792199943122,cufft,-289.225,35.67440915107727,polaris-gpu,4,64,4,True,2,4
double,128,-reorder,-a2av,-p2p_pl,-pencils, ,0.7178654269199917,0.47571770095639443,0.16162269154940756,cufft,-277.771,37.933114528656006,polaris-gpu,4,64,4,True,2,4
float,128,-reorder,-a2a, , , ,0.7093730377903903,0.7342459390519043,0.3789071213407522,cufft,-161.823,40.19939351081848,polaris-gpu,4,64,4,True,2,4
float,128,-reorder,-a2a, ,-pencils, ,0.7446630070961162,0.4787665441997063,0.17363820596263002,cufft,-279.153,42.45827651023865,polaris-gpu,4,64,4,True,2,4
