p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,256, , ,-p2p_pl,-slabs, ,0.6114410055025455,0.6304069166531082,8,cufft,-166.804,7.716813564300537,polaris-gpu,4,4,True,4,4
float,256, , , , , ,0.5,0.5,16,cufft,-105.996,7.865221261978149,polaris-gpu,4,4,True,2,4
float,256,-no-reorder, , , ,-r2c_dir 1,0.49575040214351573,0.8193757852967771,4,cufft,-120.651,8.065996646881104,polaris-gpu,4,4,True,3,4
double,256,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.7848345640221458,0.37364990283001664,2,cufft,-265.231,11.533158779144287,polaris-gpu,4,4,True,2,4
double,256, ,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.6713808593112656,0.7716340644897295,16,cufft,-405.159,13.29239559173584,polaris-gpu,4,4,True,2,4
float,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.7338286426204477,0.9649247802412949,16,cufft,-338.533,15.37810468673706,polaris-gpu,4,4,True,2,4
double,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.9994866820336951,0.9416965559074014,2,cufft,-251.485,17.254674434661865,polaris-gpu,4,4,True,2,4
float,256,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.8722468960390939,0.9141150493453135,4,cufft,-400.523,19.356879711151123,polaris-gpu,4,4,True,2,4
float,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.7183608627603576,0.23780662019840726,16,cufft,-429.615,21.16188931465149,polaris-gpu,4,4,True,2,4
float,256, ,-a2av, ,-pencils,-r2c_dir 2,0.20808680790762857,0.931205344910195,8,cufft,-455.335,23.43861413002014,polaris-gpu,4,4,True,2,4
double,256,-reorder, , ,-pencils,-r2c_dir 2,0.7165653949296197,0.5047886817815254,12,cufft,-65.5932,25.68243098258972,polaris-gpu,4,4,True,2,4
float,256,-no-reorder, , ,-pencils,-r2c_dir 0,0.19092648969731052,0.9361686616983607,2,cufft,-100.379,27.58644676208496,polaris-gpu,4,4,True,2,4
double,256,-reorder,-a2av,-p2p, ,-r2c_dir 2,0.8528334827309243,0.9296393416168651,2,cufft,-552.438,29.614856481552124,polaris-gpu,4,4,True,2,4
float,256,-reorder,-a2av,-p2p_pl, ,-r2c_dir 2,0.7240485484928233,0.9314120972781853,2,cufft,-489.547,32.01974296569824,polaris-gpu,4,4,True,2,4
float,256,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.9777164278336007,0.9265749832280992,4,cufft,-585.121,33.855552434921265,polaris-gpu,4,4,True,2,4
float,256,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.6153295684375661,0.929444300851177,12,cufft,-455.353,35.98923325538635,polaris-gpu,4,4,True,2,4
float,256,-reorder,-a2a, , , ,0.725225088569926,0.9298896271087747,4,cufft,-703.677,38.296738624572754,polaris-gpu,4,4,True,2,4
float,256,-reorder, ,-p2p_pl, ,-r2c_dir 2,0.5864868828497561,0.9308982828381059,12,cufft,-488.207,40.21619439125061,polaris-gpu,4,4,True,2,4
double,256,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,0.7220990704211386,0.9299646937165391,4,cufft,-272.802,42.41788387298584,polaris-gpu,4,4,True,2,4
float,256, ,-a2a,-p2p,-pencils,-r2c_dir 1,0.7180093908932997,0.9181714250959537,4,cufft,-314.261,44.70927882194519,polaris-gpu,4,4,True,2,4
float,256,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.7139815902400671,0.9887620434192419,4,cufft,-470.605,46.812057971954346,polaris-gpu,4,4,True,2,4
