p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.5,0.5,0.5,cufft,-163.61,38.84855365753174,polaris-gpu,4,64,4,True,2,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 1,0.4957504021435157,0.8193757852967771,0.4242096493369937,cufft,-162.972,38.878559827804565,polaris-gpu,4,64,4,True,3,4
double,1024,-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,0.8110929327294876,0.2110331200078884,0.1230781564562224,cufft,-111.626,46.35032534599304,polaris-gpu,4,64,4,True,5,4
double,1024,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,0.5386905782649846,0.2906938483056966,0.7886983270756672,cufft,-86.9599,51.18508982658386,polaris-gpu,4,64,4,True,4,4
double,1024,-no-reorder, , ,-slabs,-r2c_dir 0,0.561035685449545,0.4958845622229856,0.9549862637372404,cufft,-81.9692,90.0670964717865,polaris-gpu,4,64,4,True,3,4
double,1024,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.2046972023389768,0.7805686191616852,0.1767652374955439,cufft,-112.825,91.90589714050292,polaris-gpu,4,64,4,True,5,4
double,1024,-no-reorder, ,-p2p,-pencils,-r2c_dir 1,0.7502195964745242,0.2776797486410058,0.3275985671114541,cufft,-97.809,98.34072542190552,polaris-gpu,4,64,4,True,4,4
double,1024,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,0.8874188451765209,0.9711957534467512,0.6734157841622838,cufft,1.0,100.96567845344543,polaris-gpu,4,64,4,True,2,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.374501236055021,0.4024785309313057,0.4435724058486139,cufft,-165.579,127.45661306381226,polaris-gpu,4,64,4,True,3,4
float,1024,-no-reorder, ,-p2p,-pencils,-r2c_dir 0,0.4441738913852393,0.509449577727024,0.4129238776755882,cufft,-257.05,131.07325744628906,polaris-gpu,4,64,4,True,4,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 1,0.5162213685917981,0.6908565582322889,0.3982612802705584,cufft,-106.99,136.1746597290039,polaris-gpu,4,64,4,True,5,4
double,1024,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.4924668151148157,0.5031073703730202,0.5310037539310841,cufft,-135.744,142.61678528785706,polaris-gpu,4,64,4,True,2,4
float,1024,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.3015354661723829,0.539984209188479,0.4347378444786242,cufft,-328.714,162.22743129730225,polaris-gpu,4,64,4,True,4,4
float,1024,-reorder, , ,-pencils,-r2c_dir 2,0.0638142620109035,0.5239778062196689,0.4156576664551542,cufft,-248.062,169.17327785491943,polaris-gpu,4,64,4,True,5,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.4278462998543696,0.9301703715877694,0.4771895516150113,cufft,-124.123,169.2041082382202,polaris-gpu,4,64,4,True,3,4
float,1024,-no-reorder, ,-p2p,-pencils,-r2c_dir 0,0.2415635553353277,0.5140572113890562,0.8398195840333802,cufft,-191.431,178.52746272087097,polaris-gpu,4,64,4,True,2,4
float,1024,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.1668741272641076,0.4612787011762137,0.4254659902330747,cufft,-323.145,193.5186412334442,polaris-gpu,4,64,4,True,4,4
float,1024,-reorder, ,-p2p,-pencils,-r2c_dir 0,0.3525484842554366,0.5521219127254673,0.4463363249448708,cufft,-251.857,202.182044506073,polaris-gpu,4,64,4,True,3,4
float,1024,-reorder,-a2a, ,-pencils,-r2c_dir 0,0.1352636975196222,0.5121451142840221,0.4195120950338358,cufft,-185.523,206.53806447982788,polaris-gpu,4,64,4,True,5,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.1102002906285972,0.5187024370798374,0.5322425798716354,cufft,-170.201,215.562087059021,polaris-gpu,4,64,4,True,2,4
float,1024,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.0748991398134171,0.6435470444535417,0.4228641067868411,cufft,-326.545,224.75130939483645,polaris-gpu,4,64,4,True,4,4
float,1024,-no-reorder,-a2av,-p2p,-slabs,-r2c_dir 0,0.2957464176801809,0.430914381155657,0.4383193399739969,cufft,-373.632,232.4096405506134,polaris-gpu,4,64,4,True,3,4
float,1024,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.153968958459317,0.4482999274905266,0.0211068303526078,cufft,-96.8515,253.96655678749084,polaris-gpu,4,64,4,True,5,4
double,1024,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.2879793620523134,0.5852101326769854,0.4508741766642831,cufft,-149.578,254.3892118930817,polaris-gpu,4,64,4,True,2,4
