p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64, , , , , ,0.5,0.5,0.8020291816691967,cufft,-4.15985,4.470454692840576,polaris-gpu,8,64,4,True,2,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.4957504021435157,0.8193757852967771,0.31191045678129425,cufft,-3.37993,4.821209669113159,polaris-gpu,8,64,4,True,3,4
float,64, , ,-p2p_pl,-slabs, ,0.6114410055025455,0.6304069166531082,0.4962061090422332,cufft,-2.43287,4.86920428276062,polaris-gpu,8,64,4,True,4,4
float,64, ,-a2a,-p2p_pl,-slabs, ,0.4990098486141748,0.2794136535792422,0.06073775386112901,cufft,-2.2273,4.620528697967529,polaris-gpu,8,64,4,True,5,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.7173464711372233,0.9313765993266238,0.7981571445299678,cufft,-19.2675,5.804021120071411,polaris-gpu,8,64,4,True,2,4
double,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.7848345640221458,0.3736499028300166,0.12307409282126847,cufft,-7.65332,8.13994288444519,polaris-gpu,8,64,4,True,2,4
double,64, ,-a2av,-p2p, , ,0.3159501152153208,0.884994128757309,0.5671451054116213,cufft,-6.80595,7.939543485641479,polaris-gpu,8,64,4,True,3,4
double,64, ,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.6713808593112656,0.7716340644897295,0.8919529418857282,cufft,-10.5357,9.996814489364624,polaris-gpu,8,64,4,True,2,4
float,64,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,0.9475511769920534,0.9452533577685084,0.5264839493192826,cufft,-6.65016,9.89649748802185,polaris-gpu,8,64,4,True,3,4
float,64,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.8580990735283291,0.8887851173826699,0.9688523784294901,cufft,-3.99532,12.04535150527954,polaris-gpu,8,64,4,True,2,4
float,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.7100371967716532,0.9645690024503506,0.5342042567963102,cufft,-4.00852,11.843539953231812,polaris-gpu,8,64,4,True,3,4
double,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.9994866820336952,0.9416965559074014,0.029375387318907098,cufft,-3.66106,13.812328100204468,polaris-gpu,8,64,4,True,2,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.0398299171171459,0.9105419655076606,0.03604555353406569,cufft,-3.6143,14.012922525405884,polaris-gpu,8,64,4,True,3,4
double,64,-reorder,-a2av,-p2p_pl,-pencils, ,0.834465171644229,0.9348424934841614,0.7822121230475594,cufft,-7.31049,15.69562840461731,polaris-gpu,8,64,4,True,2,4
double,64, ,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.7311974258994225,0.9321159854803508,0.9289321680968508,cufft,-8.71535,15.894991874694824,polaris-gpu,8,64,4,True,3,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.7183608627603576,0.2378066201984072,0.982494223539811,cufft,-4.07823,17.93736958503723,polaris-gpu,8,64,4,True,2,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.7167589320343647,0.7057195840117633,0.5106927336664474,cufft,-4.26261,17.78601861000061,polaris-gpu,8,64,4,True,3,4
float,64,-reorder,-a2av,-p2p_pl, ,-r2c_dir 2,0.7178865008578891,0.9320406865129204,0.7536193655213347,cufft,-4.62881,19.92803692817688,polaris-gpu,8,64,4,True,2,4
float,64,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.6161043180139537,0.9228072488285844,0.6087685758968971,cufft,-3.93339,19.977481365203857,polaris-gpu,8,64,4,True,3,4
float,64,-no-reorder,-a2a,-p2p, ,-r2c_dir 1,0.7171835993711796,0.9279284378888244,0.6655624436674407,cufft,-11.7003,22.04740023612976,polaris-gpu,8,64,4,True,2,4
double,64,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,0.6568153096348948,0.9329874867163204,0.7843364462632456,cufft,-5.98947,21.79591417312622,polaris-gpu,8,64,4,True,3,4
double,64, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.7213691057868357,0.9876002219700164,0.716380254770963,cufft,-9.53132,23.88192629814148,polaris-gpu,8,64,4,True,2,4
double,64,-reorder,-a2av, ,-pencils,-r2c_dir 2,0.7426908872025552,0.8418860192772638,0.7442224144059522,cufft,-9.27769,24.03178834915161,polaris-gpu,8,64,4,True,3,4
double,64, ,-a2av, , ,-r2c_dir 2,0.6497416813872468,0.9314599939210914,0.723434255245064,cufft,-10.1817,26.17069911956787,polaris-gpu,8,64,4,True,2,4
float,64, ,-a2av,-p2p,-pencils,-r2c_dir 0,0.8660014533739908,0.9286885390154124,0.7518438448030823,cufft,-9.10057,26.02019023895264,polaris-gpu,8,64,4,True,3,4
double,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.7172369391103949,0.0941877308456733,0.7843031307758549,cufft,-5.3938,28.104663848876957,polaris-gpu,8,64,4,True,2,4
float,64,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 2,0.7191544424969067,0.8312790807071158,0.7479379554993205,cufft,-11.5923,28.25548219680786,polaris-gpu,8,64,4,True,3,4
float,64,-reorder, , ,-pencils,-r2c_dir 2,0.5757817328895036,0.9287864686558986,0.6415905267607167,cufft,-15.7943,30.37251901626587,polaris-gpu,8,64,4,True,2,4
float,64,-reorder,-a2av, , ,-r2c_dir 0,0.7754456972413467,0.9302594315057648,0.7819633804461193,cufft,-10.9207,30.222097873687744,polaris-gpu,8,64,4,True,3,4
float,64,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 2,0.7194030599136231,0.9021871897333358,0.7081678319385721,cufft,-11.9462,32.362473249435425,polaris-gpu,8,64,4,True,2,4
double,64, ,-a2av,-p2p,-pencils,-r2c_dir 2,0.09286895032875,0.9308399369874776,0.7305845412739946,cufft,1.0,41.09783792495728,polaris-gpu,8,64,4,True,3,4
double,64,-reorder,-a2av, ,-slabs, ,0.6832666995250953,0.9264240279312363,0.6962155154265245,cufft,-5.12407,34.6162486076355,polaris-gpu,8,64,4,True,2,4
float,64,-reorder, ,-p2p,-pencils,-r2c_dir 1,0.6352461797611816,0.9288337845383688,0.7126856896550389,cufft,-5.72436,34.61618542671204,polaris-gpu,8,64,4,True,4,4
float,64,-no-reorder, , ,-slabs,-r2c_dir 2,0.6478959044829372,0.9138705101036556,0.7654895485001452,cufft,-11.7303,35.722437381744385,polaris-gpu,8,64,4,True,2,4
float,64, ,-a2av, ,-slabs,-r2c_dir 2,0.9878632493382268,0.931403167718415,0.7176639974026975,cufft,-2.6449,38.415590047836304,polaris-gpu,8,64,4,True,2,4
double,64,-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,0.9972849621164926,0.9309512685898989,0.6940065115599588,cufft,-6.12169,38.31579661369324,polaris-gpu,8,64,4,True,4,4
float,64,-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,0.6504110999327916,0.9206595903954532,0.7168182563751349,cufft,-17.0038,39.39842247962952,polaris-gpu,8,64,4,True,2,4
float,64,-reorder, , ,-pencils,-r2c_dir 2,0.7427860393478627,0.9292436091549536,0.638422687771639,cufft,-8.63262,41.90982151031494,polaris-gpu,8,64,4,True,2,4
float,64, , , , ,-r2c_dir 2,0.6933315402950463,0.9288290844812608,0.7921135900992694,cufft,-5.98749,41.90927982330322,polaris-gpu,8,64,4,True,4,4
float,64,-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.6761035186832758,0.9140446745616272,0.6816517940696454,cufft,-16.5495,43.02555561065674,polaris-gpu,8,64,4,True,2,4
float,64,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 2,0.6420993874224182,0.1107774278585853,0.7641497871665515,cufft,-1.69656,46.89886426925659,polaris-gpu,8,64,4,True,2,4
