p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64, , , , , ,0.5,0.5,16,cufft,-4.15985,4.470454692840576,polaris-gpu,8,4,True,2,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.49575040214351573,0.8193757852967771,4,cufft,-3.37993,4.821209669113159,polaris-gpu,8,4,True,3,4
float,64, , ,-p2p_pl,-slabs, ,0.6114410055025455,0.6304069166531082,8,cufft,-2.43287,4.86920428276062,polaris-gpu,8,4,True,4,4
double,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.7848345640221458,0.37364990283001664,2,cufft,-7.65332,8.13994288444519,polaris-gpu,8,4,True,2,4
double,64, ,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.6713808593112656,0.7716340644897295,16,cufft,-10.5357,9.996814489364624,polaris-gpu,8,4,True,2,4
float,64,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.8580990735283291,0.8887851173826699,16,cufft,-3.99532,12.045351505279541,polaris-gpu,8,4,True,2,4
double,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.9994866820336951,0.9416965559074014,2,cufft,-3.66106,13.812328100204468,polaris-gpu,8,4,True,2,4
double,64,-reorder,-a2av,-p2p_pl,-pencils, ,0.834465171644229,0.9348424934841614,12,cufft,-7.31049,15.69562840461731,polaris-gpu,8,4,True,2,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.7183608627603576,0.23780662019840726,16,cufft,-4.07823,17.93736958503723,polaris-gpu,8,4,True,2,4
float,64,-reorder,-a2av,-p2p_pl, ,-r2c_dir 2,0.7178865008578891,0.9320406865129204,12,cufft,-4.62881,19.92803692817688,polaris-gpu,8,4,True,2,4
float,64,-no-reorder,-a2a,-p2p, ,-r2c_dir 1,0.7171835993711796,0.9279284378888244,12,cufft,-11.7003,22.04740023612976,polaris-gpu,8,4,True,2,4
double,64, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.7213691057868357,0.9876002219700165,12,cufft,-9.53132,23.88192629814148,polaris-gpu,8,4,True,2,4
double,64, ,-a2av, , ,-r2c_dir 2,0.6497416813872468,0.9314599939210914,12,cufft,-10.1817,26.17069911956787,polaris-gpu,8,4,True,2,4
