p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,256, ,-a2a, , ,-r2c_dir 1,0.327114856430017,0.1925165015783593,0.9813843566224646,cufft,1.0,37.004754066467285,polaris-gpu,8,64,4,True,2,4
float,256, ,-a2a,-p2p,-slabs, ,0.3969223674761087,0.4440842763111874,0.9834879254654544,cufft,-299.631,7.247976779937744,polaris-gpu,8,64,4,True,3,4
float,256, ,-a2av,-p2p,-pencils, ,0.360131053335488,0.3344761361175231,0.948243560239058,cufft,-348.415,7.508810758590698,polaris-gpu,8,64,4,True,4,4
float,256, ,-a2a,-p2p_pl, , ,0.6784403227540798,0.5228632910711012,0.9823782729702388,cufft,-398.831,7.2463219165802,polaris-gpu,8,64,4,True,5,4
float,256, ,-a2a,-p2p_pl, , ,0.4110076141484127,0.4904518438302402,0.9398692140572468,cufft,-402.389,10.481241941452026,polaris-gpu,8,64,4,True,3,4
float,256, ,-a2av,-p2p,-slabs, ,0.4554355942226482,0.5410139238136613,0.9831789390235388,cufft,-244.386,12.57262635231018,polaris-gpu,8,64,4,True,3,4
float,256,-no-reorder,-a2av,-p2p, , ,0.6512447142886685,0.531605284055798,0.974651624720689,cufft,-362.155,12.50570273399353,polaris-gpu,8,64,4,True,4,4
float,256,-reorder,-a2a,-p2p_pl, , ,0.6829075813352081,0.5268937717803206,0.9353228694408906,cufft,-442.213,13.836193323135376,polaris-gpu,8,64,4,True,5,4
float,256, ,-a2av,-p2p, , ,0.759926340834958,0.535962745136897,0.975630617911778,cufft,-357.806,15.79236388206482,polaris-gpu,8,64,4,True,3,4
float,256,-reorder,-a2a,-p2p_pl, , ,0.576609240982996,0.506863979471274,0.9572123315057172,cufft,-436.567,17.819103717803955,polaris-gpu,8,64,4,True,3,4
float,256,-no-reorder,-a2a,-p2p, , ,0.6604041391210572,0.5487596921745259,0.9408586991719596,cufft,-367.316,17.82619833946228,polaris-gpu,8,64,4,True,4,4
double,256, ,-a2av,-p2p_pl, , ,0.6256927200413526,0.5176646086747263,0.9560891431716364,cufft,-248.999,19.248894691467285,polaris-gpu,8,64,4,True,5,4
float,256,-reorder, ,-p2p_pl, , ,0.7748880165026192,0.5230325501169517,0.939427129424464,cufft,-429.234,21.084349155426025,polaris-gpu,8,64,4,True,3,4
float,256,-no-reorder,-a2a,-p2p, , ,0.7321714705103474,0.0742175994397894,0.9619424542629604,cufft,-335.997,22.42275643348694,polaris-gpu,8,64,4,True,4,4
float,256,-no-reorder,-a2a,-p2p_pl,-pencils, ,0.6946997329024797,0.5369865197544281,0.95678517883426,cufft,-401.895,23.90363645553589,polaris-gpu,8,64,4,True,3,4
float,256,-no-reorder, ,-p2p_pl, , ,0.5758372048020601,0.4889680149936537,0.9412567320664028,cufft,-687.447,25.166179656982425,polaris-gpu,8,64,4,True,4,4
float,256,-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,0.8030946628332174,0.17617397410182,0.9430497958904216,cufft,1.0,56.56908679008484,polaris-gpu,8,64,4,True,3,4
float,256,-no-reorder,-a2a,-p2p_pl, , ,0.9209275722617404,0.558655906957975,0.9414107823416188,cufft,-411.368,27.99814772605896,polaris-gpu,8,64,4,True,4,4
double,256,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,0.7801251938980394,0.5144922894391172,0.9340783012815588,cufft,-280.424,29.51792430877685,polaris-gpu,8,64,4,True,5,4
float,256,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,0.6835445519485311,0.4940793063470386,0.9414366842179444,cufft,1.0,61.05308294296265,polaris-gpu,8,64,4,True,4,4
double,256,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.9530675743770992,0.5034094593184546,0.9390253615647978,cufft,-291.065,32.80747747421265,polaris-gpu,8,64,4,True,5,4
float,256,-no-reorder,-a2av,-p2p_pl,-slabs, ,0.5733503832391593,0.3344005317396394,0.9373997788526818,cufft,-551.518,36.123729944229126,polaris-gpu,8,64,4,True,5,4
float,256,-no-reorder, ,-p2p_pl,-slabs, ,0.3938704869396813,0.2091928037844945,0.9246911428458362,cufft,-416.199,39.37294864654541,polaris-gpu,8,64,4,True,2,4
float,256,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 2,0.5571838611042303,0.2766700536062787,0.9380722445903626,cufft,1.0,70.8076183795929,polaris-gpu,8,64,4,True,5,4
float,256,-no-reorder,-a2av,-p2p_pl,-pencils, ,0.5214068743636414,0.0610421572989273,0.9346263474372992,cufft,-429.112,42.62163639068604,polaris-gpu,8,64,4,True,2,4
float,256,-no-reorder, ,-p2p_pl, , ,0.4031467565034814,0.0584748957339466,0.9775496976749984,cufft,-410.792,45.8961820602417,polaris-gpu,8,64,4,True,2,4
float,256,-no-reorder,-a2a,-p2p_pl,-slabs, ,0.5414587040785566,0.3339489096566715,0.9298512497903956,cufft,-578.644,49.13335156440735,polaris-gpu,8,64,4,True,2,4
float,256,-no-reorder, ,-p2p_pl,-pencils, ,0.0718250264890257,0.0763173049343711,0.9298865581924366,cufft,-320.834,52.44068574905396,polaris-gpu,8,64,4,True,2,4
float,256,-reorder,-a2av,-p2p_pl,-slabs, ,0.9620847210255746,0.0124480805592859,0.925956579852124,cufft,-594.548,55.69008207321167,polaris-gpu,8,64,4,True,2,4
double,256, ,-a2av,-p2p_pl,-slabs, ,0.6173158013625076,0.2036293906848841,0.9311126758239898,cufft,-327.623,58.92539072036743,polaris-gpu,8,64,4,True,2,4
float,256,-reorder,-a2av,-p2p_pl, , ,0.5498324352323356,0.1991310950993861,0.93675323064329,cufft,-563.502,60.34345459938049,polaris-gpu,8,64,4,True,3,4
float,256,-no-reorder, ,-p2p,-pencils, ,0.5872396658536225,0.0055314888311635,0.9318894979642934,cufft,-347.227,62.21029257774353,polaris-gpu,8,64,4,True,2,4
float,256,-reorder,-a2av,-p2p_pl,-pencils, ,0.9495100567326356,0.0099034963502819,0.9473239482547936,cufft,-560.34,63.60914301872253,polaris-gpu,8,64,4,True,3,4
float,256,-reorder,-a2av,-p2p_pl, , ,0.5484817563150032,0.2694549273584392,0.938009912982856,cufft,-799.632,64.99646234512329,polaris-gpu,8,64,4,True,2,4
float,256,-reorder,-a2av,-p2p_pl,-pencils, ,0.7574552319406198,0.0415208741521516,0.935632834073376,cufft,-558.842,66.56522512435913,polaris-gpu,8,64,4,True,3,4
float,256,-no-reorder,-a2av,-p2p_pl,-slabs, ,0.9310075672633704,0.3352374497831858,0.9456110213600396,cufft,-579.32,67.88995552062988,polaris-gpu,8,64,4,True,2,4
float,256,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.5380506469200054,0.2004355305855005,0.9251563331992808,cufft,-556.422,69.30110239982605,polaris-gpu,8,64,4,True,3,4
float,256,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,0.6265788818960032,0.2743961651039175,0.936846878445068,cufft,-518.172,70.7028021812439,polaris-gpu,8,64,4,True,2,4
double,256,-reorder,-a2a, , , ,0.6866739518891566,0.3261507107477355,0.9389358544387209,cufft,-479.794,72.10630631446838,polaris-gpu,8,64,4,True,3,4
double,256,-reorder,-a2av,-p2p_pl, , ,0.5651329068030406,0.3138006361564172,0.926362313877832,cufft,-543.624,73.54492950439453,polaris-gpu,8,64,4,True,2,4
float,256,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.8992996030902037,0.2895697050820428,0.935263596426774,cufft,-612.461,75.6952428817749,polaris-gpu,8,64,4,True,2,4
float,256,-reorder,-a2av,-p2p_pl,-slabs, ,0.7542319041561897,0.095087891198988,0.9893296744277316,cufft,-561.334,75.69589948654175,polaris-gpu,8,64,4,True,3,4
double,256,-reorder,-a2av,-p2p, ,-r2c_dir 0,0.4341541114038242,0.0731571476098122,0.9406898948544088,cufft,-302.713,77.84665536880493,polaris-gpu,8,64,4,True,2,4
