p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1448.48,8.61275863647461,polaris-gpu,8,64,4,True,2,4
double,512,512,512,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-726.83,8.8089120388031,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1351.21,8.61899447441101,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1422.71,8.602150917053223,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder,-a2a,-p2p,-slabs, ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1060.7,13.19912075996399,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1443.2,15.974177598953249,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1447.27,15.958189249038696,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1362.36,15.958362340927124,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1444.78,17.75200343132019,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,1.0,59.8035614490509,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1437.02,21.23615884780884,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1430.44,23.33898496627808,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2a,-p2p, ,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1345.74,23.39021229743957,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder, ,-p2p,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1363.32,25.80429744720459,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils, ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1435.71,27.828031301498413,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1439.23,29.30363821983337,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2av,-p2p,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1352.17,30.73224973678589,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1436.76,32.40346717834473,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1328.92,33.9261200428009,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1373.5,35.368966579437256,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1445.93,36.97450065612793,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1431.56,38.48395395278931,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1439.16,40.01078605651856,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1383.31,41.549248695373535,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1439.83,43.066885471344,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1336.86,44.59192967414856,polaris-gpu,8,64,4,True,5,4
