p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,128,128,128,-no-reorder, , , ,-r2c_dir 1,16 1 1,16 1 1,4,cufft,2.255,4.719823837280273,polaris-gpu,16,64,4,True,0.0,0.0,0.25,3,4
float,128,128,128,-no-reorder,-a2av, , ,-r2c_dir 1,16 1 1,16 1 1,4,cufft,2.255,5.156282663345337,polaris-gpu,16,64,4,True,0.0,0.0,0.25,5,4
float,128,128,128, , , , , ,16 1 1,16 1 1,16,cufft,-31.3306,5.404994487762451,polaris-gpu,16,64,4,True,0.0,0.0,1.0,2,4
double,128,128,128,-no-reorder, , ,-pencils, ,16 1 1,16 1 1,2,cufft,-28.9703,7.249918460845947,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128,-reorder,-a2a, ,-slabs,-r2c_dir 1,16 1 1,16 1 1,8,cufft,-57.7234,8.286413192749023,polaris-gpu,16,64,4,True,0.0,0.0,0.5,2,4
double,128,128,128,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 1,16 1 1,16 1 1,2,cufft,-45.3687,9.623008966445923,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
float,128,128,128,-no-reorder, , , ,-r2c_dir 0,16 1 1,16 1 1,2,cufft,-31.6277,11.073218822479248,polaris-gpu,16,64,4,True,0.0,0.0,0.0,2,4
double,128,128,128, ,-a2a, ,-slabs,-r2c_dir 0,16 1 1,16 1 1,12,cufft,-32.9202,12.302208185195923,polaris-gpu,16,64,4,True,0.0,0.0,0.75,3,4
double,128,128,128,-reorder,-a2a, ,-slabs,-r2c_dir 1,16 1 1,16 1 1,2,cufft,-62.1861,13.472448825836182,polaris-gpu,16,64,4,True,0.0,0.0,0.0,2,4
double,128,128,128,-reorder,-a2a,-p2p,-slabs,-r2c_dir 1,16 1 1,16 1 1,4,cufft,-28.4178,14.893277406692505,polaris-gpu,16,64,4,True,0.0,0.0,0.25,3,4
double,128,128,128,-reorder,-a2a, ,-slabs,-r2c_dir 1,16 1 1,16 1 1,12,cufft,-59.8965,16.06120467185974,polaris-gpu,16,64,4,True,0.0,0.0,0.75,2,4
double,128,128,128,-reorder,-a2av, ,-slabs,-r2c_dir 1,16 1 1,16 1 1,2,cufft,-44.6255,17.47882318496704,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 1,16 1 1,16 1 1,2,cufft,-43.9211,18.673153162002563,polaris-gpu,16,64,4,True,0.0,0.0,0.0,2,4
double,128,128,128,-reorder,-a2a, ,-slabs,-r2c_dir 1,16 1 1,16 1 1,4,cufft,-61.2096,19.998044729232788,polaris-gpu,16,64,4,True,0.0,0.0,0.25,3,4
double,128,128,128,-reorder,-a2a, ,-slabs,-r2c_dir 1,16 1 1,16 1 1,16,cufft,-41.6651,21.435909509658813,polaris-gpu,16,64,4,True,0.0,0.0,1.0,2,4
double,128,128,128,-reorder,-a2a, ,-pencils,-r2c_dir 1,16 1 1,16 1 1,16,cufft,-57.2422,22.659138441085815,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
float,128,128,128,-reorder,-a2av,-p2p,-slabs,-r2c_dir 2,16 1 1,16 1 1,2,cufft,1.0,24.479894638061523,polaris-gpu,16,64,4,True,0.0,0.0,0.0,4,4
double,128,128,128, ,-a2a, ,-slabs,-r2c_dir 1,16 1 1,16 1 1,16,cufft,-49.9413,25.23004651069641,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
double,128,128,128,-reorder,-a2a, ,-pencils,-r2c_dir 1,16 1 1,16 1 1,12,cufft,-46.5909,26.696235179901123,polaris-gpu,16,64,4,True,0.0,0.0,0.75,2,4
double,128,128,128,-reorder, , ,-slabs,-r2c_dir 1,16 1 1,16 1 1,16,cufft,-42.5138,28.619206190109253,polaris-gpu,16,64,4,True,0.0,0.0,1.0,3,4
double,128,128,128,-reorder,-a2a, , ,-r2c_dir 1,16 1 1,16 1 1,8,cufft,-43.8548,31.37568163871765,polaris-gpu,16,64,4,True,0.0,0.0,0.5,3,4
double,128,128,128,-reorder,-a2a, ,-pencils,-r2c_dir 1,16 1 1,16 1 1,4,cufft,-60.1194,33.07843995094299,polaris-gpu,16,64,4,True,0.0,0.0,0.25,5,4
double,128,128,128,-reorder,-a2a, ,-pencils,-r2c_dir 1,16 1 1,16 1 1,8,cufft,-58.5849,33.113810300827026,polaris-gpu,16,64,4,True,0.0,0.0,0.5,4,4
double,128,128,128,-reorder,-a2a, ,-slabs,-r2c_dir 0,16 1 1,16 1 1,4,cufft,-38.3664,34.7186393737793,polaris-gpu,16,64,4,True,0.0,0.0,0.25,3,4
double,128,128,128,-reorder,-a2a, , ,-r2c_dir 1,16 1 1,16 1 1,4,cufft,-43.4881,36.36694574356079,polaris-gpu,16,64,4,True,0.0,0.0,0.25,4,4
