p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.5,0.5,0.8780934464510376,cufft,1.0,302.43229055404663,polaris-gpu,16,64,4,True,2,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 1,0.4957504021435157,0.8193757852967771,0.3192288400418951,cufft,1.0,302.43229055404663,polaris-gpu,16,64,4,True,3,4
float,1024,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,0.6114410055025455,0.6304069166531082,0.4933837748857119,cufft,1.0,302.4311866760254,polaris-gpu,16,64,4,True,4,4
float,1024,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,0.4990098486141748,0.2794136535792422,0.0402473849784306,cufft,1.0,302.4321355819702,polaris-gpu,16,64,4,True,5,4
float,1024,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.7173464711372233,0.9313765993266238,0.7058259402851292,cufft,1.0,605.0460669994354,polaris-gpu,16,64,4,True,2,4
double,1024,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.7848345640221458,0.3736499028300166,0.1253734096692185,cufft,1.0,605.0450015068054,polaris-gpu,16,64,4,True,3,4
double,1024,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.3159501152153208,0.884994128757309,0.4057177209907692,cufft,1.0,605.045241355896,polaris-gpu,16,64,4,True,4,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.9002276710121454,0.7980805768877473,0.5678287577195599,cufft,1.0,605.0457830429077,polaris-gpu,16,64,4,True,5,4
double,1024,-reorder,-a2a, ,-slabs,-r2c_dir 0,0.5542473340739802,0.2674185577923359,0.1633044632068222,cufft,2.143,645.3675880432129,polaris-gpu,16,64,4,True,2,4
double,1024,-no-reorder,-a2av,-p2p,-slabs,-r2c_dir 1,0.0619551289365415,0.2507555566714695,0.0562919647937611,cufft,2.143,645.7851402759552,polaris-gpu,16,64,4,True,3,4
float,1024,-reorder, , ,-pencils,-r2c_dir 0,0.8740443098009515,0.453513117888895,0.9095323821242352,cufft,1.0,908.1638586521148,polaris-gpu,16,64,4,True,4,4
double,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.2863071336153832,0.8431352636475994,0.0025115767362927,cufft,2.143,643.965188741684,polaris-gpu,16,64,4,True,5,4
float,1024,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,0.7312184502714097,0.6999284180551136,0.4324544643033714,cufft,2.143,667.9264581203461,polaris-gpu,16,64,4,True,5,4
float,1024,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.8368512951596397,0.9260902841815914,0.927508245570816,cufft,2.143,664.6834239959717,polaris-gpu,16,64,4,True,2,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 1,0.6612407037138492,0.5820695116840974,0.3270282675414714,cufft,2.143,672.3562660217285,polaris-gpu,16,64,4,True,3,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.1731711864118825,0.7723137963053238,0.2115692846526634,cufft,2.143,688.9738714694977,polaris-gpu,16,64,4,True,2,4
float,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.939960213025738,0.4830014132444226,0.5554457230380336,cufft,2.143,691.4010066986084,polaris-gpu,16,64,4,True,5,4
float,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 2,0.4752710923127821,0.820057230920412,0.7231489212183815,cufft,2.143,692.4163067340851,polaris-gpu,16,64,4,True,3,4
float,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.5215085180696222,0.2507738474829913,0.8712657843369996,cufft,2.143,708.1928052902222,polaris-gpu,16,64,4,True,2,4
float,1024,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.5008833444306013,0.3722893914658579,0.5192909092679351,cufft,2.143,715.3327288627625,polaris-gpu,16,64,4,True,3,4
double,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.49444931320094,0.9179200197403872,0.7767006609526521,cufft,2.143,713.9351305961609,polaris-gpu,16,64,4,True,5,4
float,1024,-reorder,-a2a, ,-pencils,-r2c_dir 0,0.867078116631509,0.8000401792745732,0.0925588835239942,cufft,2.143,735.067901134491,polaris-gpu,16,64,4,True,2,4
float,1024,-no-reorder, ,-p2p,-slabs,-r2c_dir 0,0.4978966416339484,0.5291413780672352,0.4200129821161649,cufft,2.143,739.740758895874,polaris-gpu,16,64,4,True,3,4
float,1024,-reorder, , ,-slabs,-r2c_dir 0,0.88694469362936,0.4641063804292237,0.2781588831221555,cufft,2.143,741.193118095398,polaris-gpu,16,64,4,True,5,4
double,1024,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.5964448575938409,0.9466520976276724,0.5354086571501144,cufft,2.143,760.5562653541565,polaris-gpu,16,64,4,True,2,4
float,1024,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.809091487815393,0.4245873414037973,0.8908052355441243,cufft,2.143,758.436178445816,polaris-gpu,16,64,4,True,3,4
float,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.7455824359763957,0.8999391562569627,0.5743874394740606,cufft,2.143,764.6659474372864,polaris-gpu,16,64,4,True,5,4
double,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.5085531173121052,0.6256329990489744,0.1003590796070718,cufft,2.143,791.4728264808655,polaris-gpu,16,64,4,True,3,4
double,1024,-no-reorder, , ,-pencils,-r2c_dir 2,0.4992811840081026,0.4394636435814123,0.0238061095763763,cufft,2.143,794.2079646587372,polaris-gpu,16,64,4,True,2,4
float,1024,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,0.4448911461066225,0.8077221796262151,0.576654117617278,cufft,2.143,793.513466835022,polaris-gpu,16,64,4,True,5,4
double,1024,-reorder,-a2av, ,-pencils,-r2c_dir 2,0.9661670492852654,0.4511096435228533,0.239768557377769,cufft,2.143,821.3162972927094,polaris-gpu,16,64,4,True,3,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.765664795597176,0.7625254392485855,0.9433927817156584,cufft,2.143,814.3208854198456,polaris-gpu,16,64,4,True,2,4
float,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.2243196788114365,0.8814970452387854,0.8535887354806453,cufft,2.143,815.955117225647,polaris-gpu,16,64,4,True,5,4
float,1024,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 2,0.6447731358190222,0.8290726228493257,0.5466745325336408,cufft,2.143,837.7261171340942,polaris-gpu,16,64,4,True,2,4
float,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.4880337373832178,0.3579174174888517,0.9379956888662114,cufft,2.143,834.668054819107,polaris-gpu,16,64,4,True,5,4
float,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9569682582520204,0.860046181624509,0.5000623276125677,cufft,2.143,843.3721776008606,polaris-gpu,16,64,4,True,3,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.4992648657824424,0.6617237135485091,0.9033007279054096,cufft,2.143,852.6804995536804,polaris-gpu,16,64,4,True,5,4
float,1024,-reorder, , ,-pencils,-r2c_dir 0,0.909011327171239,0.4287676938631978,0.1736490792780139,cufft,2.143,865.4600074291229,polaris-gpu,16,64,4,True,2,4
