p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,1024,1024, , , , , ,4 8 8,4 8 8,16,cufft,-2538.87,5.131546258926392,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , , ,-r2c_dir 1,8 8 4,2 128 1,8,cufft,-3917.75,9.606969356536865,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,8 2 16,32 2 4,4,cufft,-2627.99,13.035427331924438,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder,-a2av, , ,-r2c_dir 0,256 1 1,32 1 8,8,cufft,-1304.25,20.99411916732788,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-reorder,-a2a,-p2p_pl,-slabs, ,1 16 16,1 256 1,4,cufft,-1052.72,27.52940273284912,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2a, , ,-r2c_dir 1,32 2 4,32 2 4,2,cufft,-293.245,40.593711853027344,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , , , ,64 2 2,4 64 1,4,cufft,-1658.91,48.889528036117554,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , , ,-r2c_dir 1,64 4 1,1 128 2,4,cufft,-3707.69,55.31858587265015,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p,-slabs,-r2c_dir 1,64 2 2,8 16 2,12,cufft,-627.763,70.1337878704071,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , , ,-r2c_dir 1,16 16 1,1 64 4,4,cufft,-4512.33,76.22733688354492,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , , ,-r2c_dir 1,2 128 1,32 4 2,4,cufft,-3501.37,83.47382807731628,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,16 2 8,2 32 4,4,cufft,-3028.42,89.85486245155334,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , , ,-r2c_dir 1,8 16 2,4 32 2,4,cufft,-3234.9,95.77555346488953,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, , ,-slabs,-r2c_dir 1,4 1 64,1 64 4,4,cufft,-2585.96,104.08575344085693,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , , ,-r2c_dir 1,2 16 8,2 8 16,8,cufft,-3943.1,109.71744179725647,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , , ,-r2c_dir 1,16 4 4,16 2 8,8,cufft,-3569.06,115.73449611663818,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , , ,-r2c_dir 1,32 2 4,64 2 2,8,cufft,-2885.27,121.84221816062927,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,64 2 2,8 32 1,8,cufft,-3182.11,127.40090942382812,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p, ,-r2c_dir 1,2 32 4,4 64 1,8,cufft,-1855.61,133.38590717315674,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,1 1 256,256 1 1,8,cufft,-5564.49,141.65651273727417,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-slabs,-r2c_dir 1,16 4 4,16 16 1,8,cufft,-1853.19,150.50059461593628,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,64 4 1,8 2 16,8,cufft,-2388.71,157.36406111717224,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 16 8,2 1 128,8,cufft,-4063.58,165.80463790893555,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,4 4 16,4 16 4,8,cufft,-3565.32,171.89719438552856,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2a, ,-pencils,-r2c_dir 1,64 4 1,4 16 4,8,cufft,-1998.18,177.69142603874207,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 128 1,4 32 2,8,cufft,-4129.99,185.16025471687317,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p,-pencils,-r2c_dir 1,64 2 2,64 4 1,8,cufft,-1430.95,194.12016773223877,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,1 1 256,16 16 1,8,cufft,-7657.26,202.20161271095276,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024, , , ,-pencils,-r2c_dir 1,32 2 4,8 16 2,8,cufft,-1914.89,208.19672966003418,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 2 64,8 8 4,8,cufft,-2145.01,214.22519993782043,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,8 32 1,1 2 128,8,cufft,-3258.48,222.9711673259735,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,8 16 2,2 4 32,8,cufft,-2289.44,230.61995196342468,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,128 1 2,2 8 16,8,cufft,-1610.55,238.43808436393738,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 0,8 32 1,2 128 1,8,cufft,-2935.04,247.0391082763672,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,16 8 2,32 2 4,8,cufft,-2268.87,253.2162744998932,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 128 1,1 128 2,8,cufft,-2894.1,261.04192090034485,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,4 16 4,8 32 1,8,cufft,-2005.97,267.7520167827606,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,8 4 8,64 1 4,8,cufft,-2146.35,274.2868061065674,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 128 1,2 128 1,8,cufft,-2942.39,281.9868414402008,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 4 32,16 2 8,8,cufft,-2158.14,288.302442073822,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,8 32 1,32 1 8,8,cufft,-2397.8,295.2648048400879,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,16 16 1,2 64 2,8,cufft,-2141.82,301.86147809028625,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils, ,64 1 4,16 2 8,8,cufft,-3121.27,307.92487478256226,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 1 128,128 1 2,8,cufft,-4072.68,314.39417815208435,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,16 4 4,4 64 1,8,cufft,-3484.58,321.0461506843567,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,1 32 8,1 16 16,8,cufft,-2631.72,327.90229058265686,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,64 2 2,1 8 32,8,cufft,-4508.05,335.1126329898834,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,128 2 1,1 16 16,8,cufft,-3848.6,340.95165848731995,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,128 2 1,64 2 2,8,cufft,-2078.97,347.2983796596527,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, , ,-pencils,-r2c_dir 1,2 16 8,1 1 256,8,cufft,-1835.04,356.0702226161957,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,64 2 2,1 16 16,8,cufft,-3935.98,362.3064720630646,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 0,32 2 4,1 4 64,8,cufft,-3023.41,370.43153071403503,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,1 16 16,32 2 4,12,cufft,-3152.63,376.42125606536865,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 16 8,1 4 64,8,cufft,-2875.85,384.6207859516144,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,1 8 32,2 1 128,8,cufft,-4086.37,393.31591606140137,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,1 256 1,32 8 1,8,cufft,-1626.53,401.93761134147644,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,4 64 1,1 4 64,8,cufft,-5395.66,410.6126663684845,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 4 32,64 2 2,8,cufft,-3482.58,416.85534715652466,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,1 4 64,1 32 8,8,cufft,-4284.53,423.42610597610474,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,8 4 8,4 4 16,8,cufft,-4355.68,429.3534150123596,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 4 32,1 1 256,8,cufft,-1803.83,437.90785932540894,polaris-gpu,256,64,4,True,2,1
