p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512, , , , , ,0.5,0.5,16,cufft,-146.289,7.036494493484497,polaris-gpu,32,4,True,2,4
float,512,-no-reorder, , , ,-r2c_dir 1,0.49575040214351573,0.8193757852967771,4,cufft,1.0,22.686712503433228,polaris-gpu,32,4,True,3,4
float,512, , ,-p2p_pl,-slabs, ,0.6114410055025455,0.6304069166531082,8,cufft,-96.7165,10.843194484710693,polaris-gpu,32,4,True,4,4
float,512, ,-a2a,-p2p_pl,-slabs, ,0.49900984861417486,0.2794136535792422,2,cufft,-110.755,11.743579864501953,polaris-gpu,32,4,True,5,4
float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.7173464711372233,0.9313765993266238,12,cufft,1.0,27.42690658569336,polaris-gpu,32,4,True,2,4
double,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.7848345640221458,0.37364990283001664,2,cufft,1.0,32.15493369102478,polaris-gpu,32,4,True,4,4
float,512, , , ,-pencils, ,0.9002276710121454,0.7980805768877473,8,cufft,-279.783,17.320808172225952,polaris-gpu,32,4,True,5,4
double,512, , , ,-slabs, ,0.7636377485822922,0.19463762934108453,4,cufft,-98.144,24.104329824447632,polaris-gpu,32,4,True,5,4
float,512, , , ,-pencils, ,0.9223447947064038,0.7159443249373536,4,cufft,-153.722,28.953507661819458,polaris-gpu,32,4,True,3,4
float,512, , , ,-pencils, ,0.9314670036467884,0.6526360772285885,16,cufft,-470.311,28.31847381591797,polaris-gpu,32,4,True,5,4
double,512, , , ,-pencils, ,0.9133117931634848,0.7715256526690154,12,cufft,-434.596,31.032954692840576,polaris-gpu,32,4,True,2,4
float,512, ,-a2a, ,-pencils, ,0.986613161629944,0.4934857503882478,16,cufft,-1479.16,32.023350954055786,polaris-gpu,32,4,True,3,4
float,512, , , ,-pencils,-r2c_dir 0,0.9845273363422107,0.6774476961740235,2,cufft,-98.502,38.318973541259766,polaris-gpu,32,4,True,2,4
double,512, , , ,-pencils, ,0.986933809639268,0.9613620803261318,16,cufft,-327.123,36.32278251647949,polaris-gpu,32,4,True,3,4
float,512,-reorder, ,-p2p_pl,-pencils, ,0.9965248419165464,0.05679620356290638,16,cufft,-183.266,39.410850286483765,polaris-gpu,32,4,True,4,4
float,512,-reorder,-a2a, ,-pencils,-r2c_dir 1,0.9925586205450582,0.05805632502029978,16,cufft,-189.018,40.01231098175049,polaris-gpu,32,4,True,5,4
double,512,-no-reorder,-a2av, ,-pencils, ,0.9894590405251668,0.6428914913637626,16,cufft,-404.165,40.52182912826538,polaris-gpu,32,4,True,3,4
double,512, ,-a2a,-p2p,-pencils,-r2c_dir 2,0.9966103010329909,0.05815389612566102,16,cufft,1.0,59.88531517982483,polaris-gpu,32,4,True,2,4
double,512, ,-a2a, ,-pencils, ,0.9954202882733081,0.9033840951292679,16,cufft,-152.103,45.10105609893799,polaris-gpu,32,4,True,3,4
double,512,-reorder,-a2a, ,-pencils, ,0.9862282459356598,0.2636808404790808,16,cufft,-145.323,48.81686854362488,polaris-gpu,32,4,True,4,4
float,512,-no-reorder,-a2a,-p2p, , ,0.989734121563412,0.4786461822301544,4,cufft,-150.828,48.91614747047424,polaris-gpu,32,4,True,5,4
float,512,-reorder, , ,-slabs,-r2c_dir 1,0.9880636386912155,0.6052746896382888,16,cufft,-358.247,49.94957375526428,polaris-gpu,32,4,True,3,4
