p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512, , , , , ,0.5,0.5,0.9699889949950862,cufft,-82.498,10.76284909248352,polaris-gpu,64,64,4,True,2,4
float,512,-no-reorder, , , ,-r2c_dir 1,0.4957504021435157,0.8193757852967771,0.2679065609641565,cufft,-81.44,12.515095949172974,polaris-gpu,64,64,4,True,3,4
float,512, , ,-p2p_pl,-slabs, ,0.6114410055025455,0.6304069166531082,0.4285286332361951,cufft,-34.8536,21.72728443145752,polaris-gpu,64,64,4,True,4,4
float,512, ,-a2a,-p2p_pl,-slabs, ,0.4990098486141748,0.2794136535792422,0.13651640978419957,cufft,-32.7775,21.579392671585083,polaris-gpu,64,64,4,True,5,4
float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.7173464711372233,0.9313765993266238,0.7147624674466785,cufft,1.0,31.364755630493164,polaris-gpu,64,64,4,True,2,4
double,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.7848345640221458,0.3736499028300166,0.17556147387342239,cufft,1.0,34.52009558677673,polaris-gpu,64,64,4,True,3,4
double,512,-reorder,-a2a,-p2p_pl, , ,0.1332699902627183,0.4450967982153687,0.8903119024805446,cufft,-284.441,27.22286558151245,polaris-gpu,64,64,4,True,4,4
double,512, , ,-p2p_pl, ,-r2c_dir 1,0.2312095823296466,0.7110533022493617,0.08105274084677071,cufft,-121.443,31.370795011520386,polaris-gpu,64,64,4,True,5,4
float,512,-no-reorder,-a2a,-p2p, , ,0.4634172326803473,0.2609220147326762,0.5799531238251416,cufft,-164.916,34.66258406639099,polaris-gpu,64,64,4,True,4,4
double,512,-no-reorder,-a2a,-p2p, , ,0.4319345069327204,0.4102830446624859,0.8281137778749058,cufft,-143.63,37.66201710700989,polaris-gpu,64,64,4,True,2,4
double,512,-no-reorder,-a2av,-p2p_pl, , ,0.3875368718078473,0.4311010257915695,0.8207910702728486,cufft,-302.929,38.7810001373291,polaris-gpu,64,64,4,True,3,4
float,512, ,-a2a,-p2p_pl, ,-r2c_dir 0,0.3764010361012742,0.4479077777913848,0.8532046337386981,cufft,-114.847,43.49071860313416,polaris-gpu,64,64,4,True,2,4
double,512,-reorder,-a2a,-p2p_pl, , ,0.2125213730533127,0.4401023524638974,0.43811510871141923,cufft,-70.9464,46.6937747001648,polaris-gpu,64,64,4,True,4,4
double,512,-no-reorder,-a2a,-p2p, , ,0.0779713449917233,0.5242092299845005,0.9167336693811743,cufft,-44.5972,53.818976640701294,polaris-gpu,64,64,4,True,3,4
double,512,-no-reorder,-a2av,-p2p_pl, , ,0.1087823415434834,0.0613946590589203,0.8171488306671466,cufft,-75.9912,56.831488609313965,polaris-gpu,64,64,4,True,5,4
float,512,-no-reorder,-a2a,-p2p, , ,0.437886740661496,0.4273225306099075,0.8185914590870019,cufft,-80.0514,53.73903799057007,polaris-gpu,64,64,4,True,2,4
double,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.3331293512498769,0.4239117599563342,0.8779024707634238,cufft,-143.535,54.635324001312256,polaris-gpu,64,64,4,True,4,4
double,512,-no-reorder,-a2a,-p2p_pl,-slabs, ,0.304079706096216,0.4358387016789234,0.8547191966700306,cufft,-29.5226,66.95608401298523,polaris-gpu,64,64,4,True,2,4
double,512,-no-reorder,-a2av,-p2p_pl, , ,0.4741600035358309,0.444846951669593,0.9325450832866308,cufft,-107.476,65.62237620353699,polaris-gpu,64,64,4,True,3,4
double,512, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.4094793149003214,0.4321285986440493,0.9870308557112918,cufft,-110.52,64.2206461429596,polaris-gpu,64,64,4,True,4,4
double,512,-reorder,-a2a,-p2p_pl, , ,0.373926375911186,0.0675027250238257,0.9358696498984859,cufft,-85.2781,69.14375805854797,polaris-gpu,64,64,4,True,5,4
