p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 0,64 1 1,64 1 1,16,cufft,-415.519,7.355037212371826,polaris-gpu,64,64,4,True,0.0,0.0,1.0,2,4
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 1,64 1 1,64 1 1,4,cufft,2.255,5.761782169342041,polaris-gpu,64,64,4,True,0.0,0.0,0.25,3,4
float,512,512,512,-reorder,-a2av,-p2p,-slabs,-r2c_dir 2,64 1 1,64 1 1,2,cufft,1.0,44.60555791854858,polaris-gpu,64,64,4,True,0.0,0.0,0.0,4,4
float,512,512,512,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,64 1 1,64 1 1,4,cufft,2.255,6.2915568351745605,polaris-gpu,64,64,4,True,0.0,0.0,0.25,5,4
double,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-306.478,9.970419883728027,polaris-gpu,64,64,4,True,0.0,0.0,0.0,3,4
double,512,512,512,-reorder,-a2a, ,-slabs,-r2c_dir 1,64 1 1,64 1 1,8,cufft,2.255,9.751368045806885,polaris-gpu,64,64,4,True,0.0,0.0,0.5,2,4
double,512,512,512,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 1,64 1 1,64 1 1,2,cufft,1.0,50.65392589569092,polaris-gpu,64,64,4,True,0.0,0.0,0.0,5,4
float,512,512,512,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-446.845,14.324289798736572,polaris-gpu,64,64,4,True,0.0,0.0,0.5,2,4
double,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-353.609,16.00247883796692,polaris-gpu,64,64,4,True,0.0,0.0,0.0,3,4
float,512,512,512,-no-reorder, ,-p2p,-pencils,-r2c_dir 2,64 1 1,64 1 1,4,cufft,1.0,57.55365991592407,polaris-gpu,64,64,4,True,0.0,0.0,0.25,2,4
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 2,64 1 1,64 1 1,16,cufft,2.255,19.88413381576538,polaris-gpu,64,64,4,True,0.0,0.0,1.0,3,4
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-340.069,24.83336424827576,polaris-gpu,64,64,4,True,0.0,0.0,0.0,3,4
float,512,512,512,-no-reorder, ,-p2p,-pencils,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-242.554,30.15867853164673,polaris-gpu,64,64,4,True,0.0,0.0,0.75,3,4
float,512,512,512,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-361.554,34.86785864830017,polaris-gpu,64,64,4,True,0.0,0.0,0.0,3,4
float,512,512,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-430.998,39.45692253112793,polaris-gpu,64,64,4,True,0.0,0.0,0.5,3,4
double,512,512,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-391.635,44.035975217819214,polaris-gpu,64,64,4,True,0.0,0.0,0.75,3,4
float,512,512,512,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-436.926,48.50823497772217,polaris-gpu,64,64,4,True,0.0,0.0,0.25,3,4
