p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64, , , , , ,1.0,1.0,0.0,fftw,-50.7571,5.241,theta-knl,64,256,64,False,2,1
float,64, , , , , ,1.0,1.0,0.0,fftw,-13.9167,11.092,theta-knl,128,256,64,False,2,1
float,64, , , , , ,1.0,1.0,0.0,fftw,-13.1377,17.288,theta-knl,256,256,64,False,2,1
float,64, , , , , ,1.0,1.0,0.0,fftw,-9.69587,24.062,theta-knl,512,256,64,False,2,1
float,64, , , , , ,1.0,1.0,0.0,fftw,-3.02847,32.463,theta-knl,1024,256,64,False,2,1
float,128, , , , , ,1.0,1.0,0.0,fftw,-80.5208,37.714,theta-knl,64,256,64,False,2,1
float,128, , , , , ,1.0,1.0,0.0,fftw,-60.503,43.703,theta-knl,128,256,64,False,2,1
float,128, , , , , ,1.0,1.0,0.0,fftw,-71.0689,49.732,theta-knl,256,256,64,False,2,1
float,128, , , , , ,1.0,1.0,0.0,fftw,-53.9338,56.595,theta-knl,512,256,64,False,2,1
float,128, , , , , ,1.0,1.0,0.0,fftw,-52.1593,64.97,theta-knl,1024,256,64,False,2,1
float,128, , , , , ,1.0,1.0,0.0,fftw,-7.46581,100.211,theta-knl,4096,256,64,False,2,1
float,128, , , , , ,1.0,1.0,0.0,fftw,-14.0407,220.847,theta-knl,8192,256,64,False,2,1
float,256, , , , , ,1.0,1.0,0.0,fftw,-99.275,226.523,theta-knl,64,256,64,False,2,1
float,256, , , , , ,1.0,1.0,0.0,fftw,-130.175,232.545,theta-knl,128,256,64,False,2,1
float,256, , , , , ,1.0,1.0,0.0,fftw,-169.992,238.811,theta-knl,256,256,64,False,2,1
float,256, , , , , ,1.0,1.0,0.0,fftw,-212.758,245.77,theta-knl,512,256,64,False,2,1
float,256, , , , , ,1.0,1.0,0.0,fftw,-262.966,254.093,theta-knl,1024,256,64,False,2,1
float,256, , , , , ,1.0,1.0,0.0,fftw,-189.617,289.2,theta-knl,4096,256,64,False,2,1
float,256, , , , , ,1.0,1.0,0.0,fftw,-78.5689,410.003,theta-knl,8192,256,64,False,2,1
float,512, , , , , ,1.0,1.0,0.0,fftw,-103.258,418.935,theta-knl,64,256,64,False,2,1
float,512, , , , , ,1.0,1.0,0.0,fftw,-135.152,426.903,theta-knl,128,256,64,False,2,1
float,512, , , , , ,1.0,1.0,0.0,fftw,-201.733,434.493,theta-knl,256,256,64,False,2,1
float,512, , , , , ,1.0,1.0,0.0,fftw,-338.026,442.008,theta-knl,512,256,64,False,2,1
float,512, , , , , ,1.0,1.0,0.0,fftw,-593.57,450.747,theta-knl,1024,256,64,False,2,1
float,512, , , , , ,1.0,1.0,0.0,fftw,-839.744,486.222,theta-knl,4096,256,64,False,2,1
float,512, , , , , ,1.0,1.0,0.0,fftw,-723.358,609.641,theta-knl,8192,256,64,False,2,1
float,1024, , , , , ,1.0,1.0,0.0,fftw,-73.6355,654.2339999999999,theta-knl,64,256,64,False,2,1
float,1024, , , , , ,1.0,1.0,0.0,fftw,-127.374,680.944,theta-knl,128,256,64,False,2,1
float,1024, , , , , ,1.0,1.0,0.0,fftw,-214.109,699.019,theta-knl,256,256,64,False,2,1
float,1024, , , , , ,1.0,1.0,0.0,fftw,-368.427,712.403,theta-knl,512,256,64,False,2,1
float,1024, , , , , ,1.0,1.0,0.0,fftw,-677.447,724.3190000000001,theta-knl,1024,256,64,False,2,1
float,1024, , , , , ,1.0,1.0,0.0,fftw,-1903.53,760.575,theta-knl,4096,256,64,False,2,1
float,1024, , , , , ,1.0,1.0,0.0,fftw,-2437.53,884.5260000000001,theta-knl,8192,256,64,False,2,1
float,1400, , , , , ,1.0,1.0,0.0,fftw,-63.4248,1003.813,theta-knl,64,256,64,False,2,1
float,1400, , , , , ,1.0,1.0,0.0,fftw,-109.695,1070.464,theta-knl,128,256,64,False,2,1
float,1400, , , , , ,1.0,1.0,0.0,fftw,-171.826,1113.097,theta-knl,256,256,64,False,2,1
float,1400, , , , , ,1.0,1.0,0.0,fftw,-335.586,1139.069,theta-knl,512,256,64,False,2,1
float,1400, , , , , ,1.0,1.0,0.0,fftw,-620.073,1158.621,theta-knl,1024,256,64,False,2,1
float,1400, , , , , ,1.0,1.0,0.0,fftw,-1933.68,1204.218,theta-knl,4096,256,64,False,2,1
float,1400, , , , , ,1.0,1.0,0.0,fftw,-3343.74,1343.3880000000001,theta-knl,8192,256,64,False,2,1
