p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64, , , , , ,0.5,0.5,4,fftw,-43.9766,18.735759019851685,theta-knl,64,64,False,2,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.49575040214351573,0.8193757852967771,4,fftw,-44.24,24.198402166366577,theta-knl,64,64,False,3,4
double,64,-no-reorder,-a2av, ,-slabs,-r2c_dir 0,0.43313052912173944,0.6204066026833723,4,fftw,-15.2774,18.535303592681885,theta-knl,64,64,False,4,4
float,64, , , ,-slabs, ,0.3942641647470445,0.4123544328653027,4,fftw,-27.835,18.48508048057556,theta-knl,64,64,False,5,4
float,64, ,-a2av,-p2p,-pencils, ,0.20930063126317533,0.8881811432401187,2,fftw,-12.7165,27.504664182662964,theta-knl,64,64,False,2,4
double,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,0.8607548168005809,0.03942365384175728,2,fftw,-17.5047,29.438531398773193,theta-knl,64,64,False,4,4
double,64, , , ,-pencils, ,0.3562981114024938,0.5628035267696043,4,fftw,-17.845,29.392733573913574,theta-knl,64,64,False,5,4
float,64, ,-a2av,-p2p_pl, , ,0.7586028999594141,0.44282053061428095,4,fftw,-23.6166,34.841238498687744,theta-knl,64,64,False,3,4
float,64,-no-reorder, ,-p2p_pl, , ,0.9073768682745029,0.9474875361324875,4,fftw,-23.1211,34.874051570892334,theta-knl,64,64,False,2,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.5784585346388713,0.9575584735029445,4,fftw,-48.6056,39.31719636917114,theta-knl,64,64,False,4,4
double,64,-no-reorder, , , ,-r2c_dir 1,0.4674078987518393,0.2777012916790944,4,fftw,-16.4283,44.065190076828,theta-knl,64,64,False,5,4
float,64, , , , , ,0.534965382932244,0.08432265174084896,2,fftw,2.137,53.78231120109558,theta-knl,64,64,False,2,4
float,64,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.5009008867835899,0.5241447213469616,4,fftw,-22.1363,47.45179510116577,theta-knl,64,64,False,3,4
float,64,-reorder, , , ,-r2c_dir 1,0.9548150069688053,0.8271819019339866,4,fftw,-47.7012,50.740448236465454,theta-knl,64,64,False,4,4
float,64,-no-reorder, ,-p2p,-slabs,-r2c_dir 1,0.6357589817201056,0.8618104992958809,4,fftw,-7.51991,55.45285892486572,theta-knl,64,64,False,5,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.5760021726439631,0.7238010899271324,4,fftw,-37.9855,55.59498977661133,theta-knl,64,64,False,3,4
