p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers,threads_per_node
float,512,-reorder, , ,-pencils,-r2c_dir 0,0.5,0.5,4.0,fftw,-101.78,24.44564700126648,theta-knl,64,64,False,2,4,
float,512,-reorder, , ,-slabs,-r2c_dir 0,0.3942641647470445,0.4123544328653027,4.0,fftw,-89.9832,30.60990047454834,theta-knl,64,64,False,5,4,
float,512,-no-reorder, , ,-pencils,-r2c_dir 1,0.4957504021435157,0.8193757852967771,4.0,fftw,-29.579,31.71036076545716,theta-knl,64,64,False,3,4,
float,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.2093006312631753,0.8881811432401187,2.0,fftw,-48.1914,40.44855785369873,theta-knl,64,64,False,2,4,
float,512,-reorder, , ,-slabs,-r2c_dir 0,0.840990233388237,0.4077126594586436,4.0,fftw,-92.9538,44.70690321922302,theta-knl,64,64,False,5,4,
double,512,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,0.8607548168005809,0.0394236538417572,2.0,fftw,-59.3763,48.38961863517761,theta-knl,64,64,False,3,4,
float,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.1486474239921724,0.0617177911183917,2.0,fftw,-94.808,56.21703767776489,theta-knl,64,64,False,2,4,
double,512,-no-reorder, ,-p2p,-pencils,-r2c_dir 0,0.4553348908058934,0.952666313853792,4.0,fftw,-30.8025,56.7302360534668,theta-knl,64,64,False,4,4,
float,512,-reorder, , ,-slabs,-r2c_dir 0,0.8077218272406853,0.3826419556324424,4.0,fftw,-95.9662,60.6869752407074,theta-knl,64,64,False,3,4,
float,512,-reorder,-a2a, ,-slabs,-r2c_dir 0,0.989900112663464,0.3173751174929644,4.0,fftw,-90.6799,61.058398723602295,theta-knl,64,64,False,5,4,
float,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.5032968782070038,0.4524495156073859,4.0,fftw,-102.907,69.94040870666504,theta-knl,64,64,False,2,4,
float,512,-reorder, , ,-pencils,-r2c_dir 0,0.7809179555938301,0.3232063732630172,4.0,fftw,-105.111,76.8015193939209,theta-knl,64,64,False,5,4,
float,512,-reorder, , ,-pencils,-r2c_dir 0,0.8556407537461678,0.0038453714153035,4.0,fftw,-111.566,78.62229323387146,theta-knl,64,64,False,3,4,
double,512,-reorder, ,-p2p,-slabs,-r2c_dir 0,0.2129657188871526,0.4209886522047588,2.0,fftw,-20.4744,81.1541097164154,theta-knl,64,64,False,4,4,
float,512,-reorder, ,-p2p_pl,-slabs,-r2c_dir 2,0.5242898682261933,0.4055174132104103,4.0,fftw,-79.8419,86.69889259338379,theta-knl,64,64,False,2,4,
float,512,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.6498607847185391,0.3496948876880668,4.0,fftw,-103.522,93.13363289833067,theta-knl,64,64,False,3,4,
