p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,1400, , ,-p2p_pl, ,-r2c_dir 1,0.0924449316145212,0.2511402638572458,0.4119254795195569,fftw,-77.7275,137.1061131954193,theta-knl,64,256,64,False,3,4
float,1400, , ,-p2p_pl,-slabs,-r2c_dir 1,0.1182912143931413,0.2316447306388283,0.5426171420177414,fftw,-76.9959,137.3551561832428,theta-knl,64,256,64,False,4,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.0321670549049198,0.0397664862681717,0.9793472407498988,fftw,-77.0508,246.70418739318848,theta-knl,64,256,64,False,3,4
float,1400,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 1,0.0676711237938659,0.0019976367899209,0.0493757846869113,fftw,-78.0765,258.45575618743896,theta-knl,64,256,64,False,4,4
float,1400, , ,-p2p_pl, ,-r2c_dir 1,0.1212881582847367,0.0257286850173379,0.8548011998212733,fftw,-75.1566,260.9545052051544,theta-knl,64,256,64,False,5,4
double,1400, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.0889107732041207,0.5612719363649772,0.3340389286177117,fftw,1.0,337.1821086406708,theta-knl,64,256,64,False,2,4
float,1400, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.026941585255683,0.8363489902298847,0.0778167152138082,fftw,-77.9303,356.9563093185425,theta-knl,64,256,64,False,3,4
float,1400,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 1,0.0326474851727066,0.3381091611691603,0.0978569569557713,fftw,-75.1709,370.3076922893524,theta-knl,64,256,64,False,4,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.0147156571426458,0.3933206933283978,0.105294335336402,fftw,-78.7081,378.25408411026,theta-knl,64,256,64,False,5,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.1182652379338465,0.0512748444598002,0.030624742987376,fftw,-75.3185,451.4564783573151,theta-knl,64,256,64,False,2,4
