p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,256, , , , , ,0.5,0.5,0.5575931408485502,fftw,-144.547,15.952946186065674,theta-knl,256,256,64,False,2,4
float,256,-no-reorder, , , ,-r2c_dir 1,0.4957504021435157,0.8193757852967771,0.5522693049275398,fftw,-141.568,19.86105513572693,theta-knl,256,256,64,False,3,4
double,256,-no-reorder,-a2av, ,-slabs,-r2c_dir 0,0.4331305291217394,0.6204066026833723,0.62818958895583,fftw,-58.3327,16.055219411849976,theta-knl,256,256,64,False,4,4
float,256, , , ,-slabs, ,0.3942641647470445,0.4123544328653027,0.7191728247292309,fftw,-96.4651,19.01069283485413,theta-knl,256,256,64,False,5,4
float,256, ,-a2av,-p2p,-pencils, ,0.2093006312631753,0.8881811432401187,0.05417022239865482,fftw,-126.028,27.04959845542908,theta-knl,256,256,64,False,2,4
double,256,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,0.8607548168005809,0.0394236538417572,0.04570254366110221,fftw,-79.1568,26.40181803703308,theta-knl,256,256,64,False,4,4
double,256,-no-reorder, ,-p2p, ,-r2c_dir 0,0.4553348908058934,0.952666313853792,0.674667697695041,fftw,-33.0504,31.527294158935547,theta-knl,256,256,64,False,3,4
float,256,-no-reorder, ,-p2p_pl, , ,0.6883640975003075,0.0912242247282009,0.7867659243018658,fftw,-179.688,32.94819617271423,theta-knl,256,256,64,False,5,4
float,256,-reorder, , , , ,0.6408683579037541,0.503276022086864,0.2713073669741986,fftw,-164.552,41.54846978187561,theta-knl,256,256,64,False,2,4
float,256, , , ,-slabs, ,0.4859712591915586,0.8405432498872812,0.9898705982155016,fftw,-98.8576,42.38207960128784,theta-knl,256,256,64,False,4,4
float,256, ,-a2av, , ,-r2c_dir 2,0.4925564453111037,0.4836561360504622,0.8357680908288547,fftw,-181.76,42.21080756187439,theta-knl,256,256,64,False,3,4
double,256,-no-reorder, ,-p2p, , ,0.7711106945283872,0.1738098473165883,0.4228300707765611,fftw,-74.0579,49.4830162525177,theta-knl,256,256,64,False,5,4
float,256,-reorder, , , , ,0.8712434333120356,0.5401260580392705,0.7477135913980983,fftw,-158.633,56.90409398078919,theta-knl,256,256,64,False,2,4
