p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,1024,-reorder,-a2a,-p2p_pl,-slabs, ,0.8699081880410742,0.1410150505261754,0.4678150183265844,fftw,-271.55,39.60434031486511,theta-knl,512,256,64,False,2,4
float,1024,-reorder,-a2a,-p2p_pl,-pencils, ,0.938632243553286,0.1928366996431699,0.1551467677342204,fftw,-587.126,34.43286633491516,theta-knl,512,256,64,False,3,4
float,1024,-reorder,-a2a,-p2p_pl,-pencils, ,0.8752399154664449,0.1638116087333103,0.4390355038140777,fftw,-549.024,34.530221939086914,theta-knl,512,256,64,False,4,4
float,1024,-reorder,-a2a,-p2p_pl,-pencils, ,0.89324446672452,0.179059037877725,0.0025763199883357,fftw,-549.092,34.53236365318298,theta-knl,512,256,64,False,5,4
float,1024,-reorder, ,-p2p_pl,-pencils, ,0.8776358324689312,0.18377560064237,0.338805125839386,fftw,-618.011,48.9973886013031,theta-knl,512,256,64,False,3,4
double,1024,-reorder,-a2av,-p2p_pl, , ,0.8879954525108319,0.1458970659431878,0.0290291649761599,fftw,-339.304,58.25616526603699,theta-knl,512,256,64,False,2,4
float,1024,-reorder,-a2av,-p2p_pl, ,-r2c_dir 2,0.9684641448322142,0.1394312944110433,0.8658880933228595,fftw,-297.158,57.20268535614014,theta-knl,512,256,64,False,4,4
float,1024,-reorder, ,-p2p_pl, , ,0.8732102525486027,0.1291266075001662,0.455097747506144,fftw,-563.855,57.62507128715515,theta-knl,512,256,64,False,5,4
float,1024,-reorder, ,-p2p_pl,-pencils, ,0.9706525237934956,0.114017905650634,0.640620730789087,fftw,-534.691,64.4827241897583,theta-knl,512,256,64,False,3,4
float,1024,-reorder, ,-p2p_pl, , ,0.9827419233640314,0.2174338309571337,0.7106825283694513,fftw,-580.423,72.37484574317932,theta-knl,512,256,64,False,2,4
float,1024,-reorder, ,-p2p_pl, , ,0.8663095609031358,0.0974338732539464,0.7747275746861195,fftw,-593.597,78.1773362159729,theta-knl,512,256,64,False,3,4
float,1024,-reorder,-a2av,-p2p_pl,-pencils, ,0.9072046121127096,0.2273395456913505,0.2905584047865387,fftw,-600.286,78.22741270065308,theta-knl,512,256,64,False,4,4
float,1024,-reorder,-a2a,-p2p_pl, , ,0.9606810092032269,0.2125730998331252,0.4325598381060206,fftw,-582.068,82.73857092857361,theta-knl,512,256,64,False,5,4
float,1024,-reorder,-a2av,-p2p_pl, , ,0.8616305112092472,0.1165655351307926,0.4404571038614141,fftw,-601.191,88.29389357566833,theta-knl,512,256,64,False,2,4
float,1024,-reorder,-a2av,-p2p_pl,-pencils, ,0.960562405034022,0.1174627131852249,0.078147154355999,fftw,-602.789,93.78158617019652,theta-knl,512,256,64,False,3,4
float,1024,-reorder,-a2av,-p2p,-pencils, ,0.9394777334420078,0.2212656298441745,0.4235417613645283,fftw,-508.618,98.49177360534668,theta-knl,512,256,64,False,4,4
float,1024,-reorder, ,-p2p_pl,-pencils, ,0.9584874015856408,0.0926051739446868,0.3717392170251721,fftw,-627.397,101.56247472763062,theta-knl,512,256,64,False,2,4
float,1024,-reorder, , ,-pencils, ,0.9270769450807124,0.2338574514100748,0.249676989895495,fftw,-339.898,107.8905119895935,theta-knl,512,256,64,False,3,4
float,1024,-reorder,-a2a,-p2p_pl,-pencils, ,0.8822621304749881,0.2207313155400589,0.1020863746192768,fftw,-604.284,108.94200921058656,theta-knl,512,256,64,False,5,4
float,1024,-reorder, ,-p2p_pl, , ,0.9004179055792356,0.1447696945222991,0.832495546319957,fftw,-583.855,113.72844815254211,theta-knl,512,256,64,False,2,4
float,1024,-reorder, ,-p2p_pl, , ,0.9548050214344288,0.1183977914656211,0.7482950804643898,fftw,-605.364,117.18047189712524,theta-knl,512,256,64,False,4,4
float,1024,-reorder,-a2av,-p2p_pl,-pencils, ,0.8882938239328377,0.1343787745081707,0.1092568098034445,fftw,-580.983,123.38408470153809,theta-knl,512,256,64,False,3,4
float,1024,-reorder, ,-p2p_pl, , ,0.9474774665804128,0.1669842214586869,0.779879867752251,fftw,-587.018,127.34241724014282,theta-knl,512,256,64,False,2,4
float,1024,-reorder, ,-p2p_pl, , ,0.8821011682597879,0.1156919823600479,0.3383561729451939,fftw,-602.497,131.28548645973206,theta-knl,512,256,64,False,4,4
float,1024,-reorder,-a2av,-p2p_pl, , ,0.9467858357049992,0.1403273857586752,0.4675721351502812,fftw,-593.35,134.8791949748993,theta-knl,512,256,64,False,3,4
float,1024,-reorder,-a2a,-p2p_pl,-pencils, ,0.8730834993419248,0.1128746084575786,0.1224815047363488,fftw,-606.909,138.58927726745603,theta-knl,512,256,64,False,5,4
float,1024,-reorder,-a2a,-p2p_pl, , ,0.9355495258804496,0.2038172169692093,0.11702825381179,fftw,-623.006,141.99818468093872,theta-knl,512,256,64,False,2,4
float,1024,-reorder,-a2av,-p2p_pl, , ,0.8397080945488542,0.2059929142707062,0.5492184866816712,fftw,-550.091,146.5442705154419,theta-knl,512,256,64,False,4,4
float,1024,-reorder,-a2a,-p2p_pl,-pencils, ,0.9272867508564137,0.1122904728639406,0.2586800674645665,fftw,-599.149,149.77793979644775,theta-knl,512,256,64,False,3,4
float,1024,-reorder,-a2av,-p2p_pl,-pencils, ,0.9243877445652046,0.2199467355588049,0.8207429014452405,fftw,-544.26,153.8268847465515,theta-knl,512,256,64,False,5,4
float,1024,-reorder, ,-p2p_pl,-pencils, ,0.9289166073092644,0.168767425596685,0.6748463038736788,fftw,-612.992,156.68372297286987,theta-knl,512,256,64,False,2,4
float,1024,-reorder,-a2av,-p2p_pl,-pencils, ,0.9824437437550662,0.1845014074954146,0.441725896509111,fftw,-585.222,161.7738802433014,theta-knl,512,256,64,False,3,4
float,1024,-reorder,-a2av,-p2p_pl,-pencils, ,0.8774857246945945,0.1075409344453863,0.973715132036176,fftw,-622.588,165.424382686615,theta-knl,512,256,64,False,4,4
float,1024,-reorder,-a2av,-p2p_pl, , ,0.975711815753466,0.17477103188744,0.2573911793849714,fftw,-586.097,169.93365621566772,theta-knl,512,256,64,False,2,4
float,1024,-reorder,-a2av,-p2p_pl,-pencils, ,0.9129564571336956,0.1886059161245552,0.6639496857378736,fftw,-607.627,173.6410369873047,theta-knl,512,256,64,False,3,4
float,1024,-reorder,-a2a,-p2p_pl, , ,0.8499698883852689,0.0981611251430316,0.9217380441158444,fftw,-553.753,178.02528643608093,theta-knl,512,256,64,False,4,4
float,1024,-reorder,-a2a,-p2p_pl,-pencils, ,0.8579335911834145,0.0911447912228609,0.391727141645479,fftw,-607.676,181.4327175617218,theta-knl,512,256,64,False,2,4
float,1024,-reorder,-a2av,-p2p_pl, , ,0.5072483662048238,0.0904839009823107,0.7843546111407298,fftw,-349.514,187.6964933872223,theta-knl,512,256,64,False,3,4
