p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-266.957,22.394196033477783,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-181.819,23.196556329727173,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
double,512,512,512,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-55.1009,30.613868713378903,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 0,1024 1 1,1024 1 1,4,fftw,2.137,32.716527700424194,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-no-reorder,-a2av, ,-slabs,-r2c_dir 0,1024 1 1,1024 1 1,4,fftw,2.137,41.668923139572144,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
double,512,512,512,-reorder, ,-p2p,-pencils,-r2c_dir 0,1024 1 1,1024 1 1,2,fftw,2.137,42.74790143966675,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
double,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-109.627,44.24206161499024,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,1024 1 1,1024 1 1,2,fftw,2.137,51.6176221370697,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
double,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 0,1024 1 1,1024 1 1,4,fftw,2.137,52.72241735458374,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-233.054,55.90515208244324,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-no-reorder, , ,-slabs,-r2c_dir 0,1024 1 1,1024 1 1,4,fftw,2.137,60.64597940444946,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-174.973,61.63855981826782,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-no-reorder,-a2a, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-195.748,64.42473363876343,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-272.704,66.66460394859314,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-237.103,71.26523494720459,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
float,512,512,512,-no-reorder, ,-p2p,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-187.519,74.35384583473206,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-231.98,75.0504686832428,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder,-a2a, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-200.672,77.49282884597778,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-271.109,81.82189226150513,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
double,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-115.928,86.26310682296753,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-229.493,86.61673593521118,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
