p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
double,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,16 8 8,32 32 1,4,0.3692307692307692,0.2307692307692307,1.0,fftw,-444.596,45.33673644065857,theta-knl,1024,256,64,False,2,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,2,0.4923076923076923,0.0153846153846153,0.0,fftw,-851.538,37.46506786346436,theta-knl,1024,256,64,False,3,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 8 16,512 2 1,4,0.4923076923076923,0.0153846153846153,1.0,fftw,-533.039,48.79163479804993,theta-knl,1024,256,64,False,4,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,4,0.4923076923076923,0.0461538461538461,1.0,fftw,-942.453,36.91140270233154,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,128 4 2,2,0.4923076923076923,0.1076923076923077,0.0,fftw,-662.204,58.06509876251221,theta-knl,1024,256,64,False,3,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.4923076923076923,0.2307692307692307,0.0,fftw,-856.281,58.95267701148987,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,16 8 8,32 32 1,4,0.3692307692307692,0.2307692307692307,1.0,fftw,-853.674,64.37719988822937,theta-knl,1024,256,64,False,2,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,2,0.4923076923076923,0.0153846153846153,0.0,fftw,-896.192,67.20615601539612,theta-knl,1024,256,64,False,4,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,16 8 8,32 32 1,2,0.3692307692307692,0.2307692307692307,0.0,fftw,-836.734,77.00451231002808,theta-knl,1024,256,64,False,3,4
double,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,4,0.4923076923076923,0.2307692307692307,1.0,fftw,-455.815,87.53403329849243,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,4,0.4923076923076923,0.0153846153846153,1.0,fftw,-853.295,83.31601762771606,theta-knl,1024,256,64,False,2,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.4923076923076923,0.2307692307692307,0.0,fftw,-925.061,86.04564261436462,theta-knl,1024,256,64,False,4,4
