p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,1024,1024,1024, , , , , ,2048 1 1,2048 1 1,4,fftw,2.137,36.15208840370178,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024,-no-reorder, , , ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-455.73,30.58198070526123,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-328.4,32.797821044921875,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
double,1024,1024,1024,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-100.546,63.01522135734558,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
double,1024,1024,1024,-reorder, ,-p2p, , ,2048 1 1,2048 1 1,2,fftw,2.137,72.52696323394775,theta-knl,2048,256,64,False,0.0,0.0,0.0,3,4
double,1024,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-225.292,104.57763981819153,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024,-no-reorder,-a2a, , ,-r2c_dir 0,2048 1 1,2048 1 1,2,fftw,2.137,49.552260875701904,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024,-no-reorder, , ,-slabs,-r2c_dir 0,2048 1 1,2048 1 1,4,fftw,2.137,61.93142867088318,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024,-no-reorder, , , ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-425.454,81.22123169898987,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
double,1024,1024,1024,-no-reorder,-a2av, , ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-272.589,86.9349000453949,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024,-no-reorder, ,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-439.788,94.56414794921875,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024,-no-reorder, , ,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-362.798,99.02031540870667,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
double,1024,1024,1024,-no-reorder, , , ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-278.787,108.92900133132935,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024,-no-reorder, ,-p2p_pl, ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-271.218,165.07277369499207,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-420.294,117.95972228050232,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024,-reorder, , , ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-582.926,122.5060043334961,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024,-no-reorder, , , ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-418.476,127.82564687728882,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
double,1024,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-273.773,139.92195892333984,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024, , , , ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-530.838,140.47682929039001,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
