p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
double,128,-no-reorder,-a2av, ,-slabs,-r2c_dir 0,0.43313052912173944,0.6204066026833723,4,fftw,-5.7699,27.583165645599365,theta-knl,4096,64,False,4,4
float,128, , , ,-slabs, ,0.3942641647470445,0.4123544328653027,4,fftw,-8.4783,40.962087869644165,theta-knl,4096,64,False,5,4
float,128, , , , , ,0.5,0.5,4,fftw,-21.9505,53.434159994125366,theta-knl,4096,64,False,2,4
float,128,-no-reorder, , , ,-r2c_dir 1,0.49575040214351573,0.8193757852967771,4,fftw,-19.7987,58.14156174659729,theta-knl,4096,64,False,3,4
float,128, ,-a2av,-p2p,-pencils, ,0.20930063126317533,0.8881811432401187,2,fftw,-9.95304,67.73538422584534,theta-knl,4096,64,False,4,4
double,128,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,0.8607548168005809,0.03942365384175728,2,fftw,2.137,81.0271646976471,theta-knl,4096,64,False,5,4
double,128, , , ,-slabs,-r2c_dir 2,0.9245243917278715,0.07158670702653513,4,fftw,-3.81778,92.4777672290802,theta-knl,4096,64,False,2,4
float,128, , ,-p2p_pl,-pencils,-r2c_dir 1,0.7033704360087547,0.5510764199867848,4,fftw,-32.0717,99.07129454612732,theta-knl,4096,64,False,3,4
float,128,-reorder,-a2av,-p2p, , ,0.5897874794646755,0.7616530808150527,4,fftw,-21.4391,107.28646731376648,theta-knl,4096,64,False,4,4
float,128,-reorder, , , , ,0.5268385268301407,0.7491545528069802,4,fftw,-32.4666,121.01076292991638,theta-knl,4096,64,False,5,4
float,128, ,-a2a,-p2p, ,-r2c_dir 1,0.882654123663277,0.6159851501062542,4,fftw,-32.4609,133.40943932533264,theta-knl,4096,64,False,3,4
float,128,-no-reorder, , , , ,0.4755561079791689,0.9441577876491757,2,fftw,-14.4174,140.30314469337463,theta-knl,4096,64,False,2,4
float,128, , ,-p2p,-pencils,-r2c_dir 1,0.6781837770120774,0.5394083122236337,4,fftw,-30.2673,148.46046566963196,theta-knl,4096,64,False,4,4
float,128, , , , , ,0.562908573897257,0.7165044987184097,4,fftw,-33.7075,166.0689811706543,theta-knl,4096,64,False,5,4
float,128,-reorder, ,-p2p, , ,0.7665392314574054,0.5475679954865365,4,fftw,-27.0693,176.08863377571106,theta-knl,4096,64,False,3,4
float,128,-reorder,-a2a,-p2p_pl, ,-r2c_dir 1,0.7535241789958214,0.7514990750230975,4,fftw,-33.9027,182.96409368515015,theta-knl,4096,64,False,2,4
double,128, , ,-p2p,-pencils,-r2c_dir 1,0.6436913061922991,0.7386390413027836,4,fftw,-15.566,188.54900574684143,theta-knl,4096,64,False,4,4
float,128, , ,-p2p_pl, ,-r2c_dir 0,0.6270260210686998,0.6280088668641316,4,fftw,-25.8695,196.96840810775757,theta-knl,4096,64,False,5,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.7217518602205867,0.5682215580989475,4,fftw,-32.1489,215.30210971832275,theta-knl,4096,64,False,3,4
