p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
double,512,-no-reorder,-a2av, ,-slabs,-r2c_dir 0,0.43313052912173944,0.6204066026833723,4,fftw,-92.973,31.513113498687744,theta-knl,4096,64,False,4,4
float,512, , , ,-slabs, ,0.3942641647470445,0.4123544328653027,4,fftw,-144.49,37.55505919456482,theta-knl,4096,64,False,5,4
float,512,-no-reorder, , , ,-r2c_dir 1,0.49575040214351573,0.8193757852967771,4,fftw,-690.229,51.07926964759827,theta-knl,4096,64,False,3,4
float,512, , , , , ,0.5,0.5,4,fftw,-713.609,52.129786252975464,theta-knl,4096,64,False,2,4
float,512, ,-a2av,-p2p,-pencils, ,0.20930063126317533,0.8881811432401187,2,fftw,-414.258,75.93443608283997,theta-knl,4096,64,False,4,4
double,512,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,0.8607548168005809,0.03942365384175728,2,fftw,2.137,77.69397950172424,theta-knl,4096,64,False,5,4
float,512,-no-reorder, ,-p2p_pl, , ,0.6883640975003075,0.09122422472820091,4,fftw,2.137,92.04988145828247,theta-knl,4096,64,False,3,4
double,512,-no-reorder, ,-p2p, ,-r2c_dir 0,0.4553348908058934,0.9526663138537921,4,fftw,-430.97,95.31247115135193,theta-knl,4096,64,False,2,4
float,512,-reorder, , ,-slabs,-r2c_dir 1,0.48839971676890515,0.768477656559271,2,fftw,-147.997,118.27401280403137,theta-knl,4096,64,False,3,4
float,512, , , , , ,0.5069128671963365,0.8982948739301091,4,fftw,-770.301,119.6249270439148,theta-knl,4096,64,False,4,4
double,512,-no-reorder, , , ,-r2c_dir 1,0.47640934573759486,0.8366779053524669,4,fftw,-355.87,140.48659110069275,theta-knl,4096,64,False,2,4
float,512, ,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.4960462754576481,0.8443557555392014,2,fftw,-1032.63,153.4061622619629,theta-knl,4096,64,False,3,4
float,512, ,-a2a,-p2p, , ,0.49850552106729595,0.9472877254948038,2,fftw,-832.009,161.45486617088318,theta-knl,4096,64,False,5,4
float,512, ,-a2av, , , ,0.9469953117369387,0.7541041852760784,4,fftw,-1112.38,166.70703148841858,theta-knl,4096,64,False,4,4
float,512, , , , , ,0.5475694414893463,0.5448473420205496,4,fftw,-766.226,185.761146068573,theta-knl,4096,64,False,2,4
float,512, ,-a2av, , ,-r2c_dir 1,0.4969345167211683,0.44568471725261216,2,fftw,-687.909,197.58590006828308,theta-knl,4096,64,False,3,4
float,512, ,-a2a,-p2p_pl, , ,0.5073560792001749,0.8651249733961962,2,fftw,-832.368,201.81186294555664,theta-knl,4096,64,False,5,4
double,512, ,-a2av,-p2p_pl, , ,0.6635419564325936,0.8195909536926289,4,fftw,-506.696,208.9861924648285,theta-knl,4096,64,False,4,4
float,512, ,-a2av, , , ,0.9087945351263993,0.7311726540334905,2,fftw,-1131.61,227.67877078056335,theta-knl,4096,64,False,2,4
float,512, ,-a2av, , ,-r2c_dir 0,0.5371673491336654,0.7562804031984599,4,fftw,-920.266,239.74890232086182,theta-knl,4096,64,False,3,4
float,512, ,-a2av, , , ,0.5763074342259071,0.8949776563930759,4,fftw,-836.888,242.30865240097046,theta-knl,4096,64,False,5,4
float,512, ,-a2av,-p2p_pl,-pencils, ,0.49780941619304264,0.36966711282043263,2,fftw,-858.039,255.21853876113892,theta-knl,4096,64,False,4,4
float,512, ,-a2av, , , ,0.9550001694221478,0.6447287713236255,2,fftw,-1265.81,265.54987239837646,theta-knl,4096,64,False,2,4
float,512, ,-a2av,-p2p, , ,0.8525479599525216,0.7354186902191365,2,fftw,-1198.29,280.4106135368347,theta-knl,4096,64,False,5,4
float,512, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.9905051295735819,0.7308393555949165,2,fftw,-1121.26,282.95000410079956,theta-knl,4096,64,False,3,4
float,512, ,-a2av, , ,-r2c_dir 2,0.7045271350214569,0.7667930514922378,2,fftw,-903.441,296.53946018218994,theta-knl,4096,64,False,4,4
float,512, ,-a2av, , , ,0.9971920828694152,0.6302107244420382,4,fftw,-1368.73,302.1922962665558,theta-knl,4096,64,False,2,4
float,512, ,-a2av, ,-slabs,-r2c_dir 1,0.9849863287864864,0.7046490776909128,2,fftw,-186.085,314.50144481658936,theta-knl,4096,64,False,3,4
double,512, , , , , ,0.8985208828869277,0.7520090718127637,2,fftw,-598.203,326.0823395252228,theta-knl,4096,64,False,5,4
float,512, ,-a2av,-p2p, ,-r2c_dir 0,0.9405500470699496,0.6602862929110519,2,fftw,-1141.61,335.84619307518005,theta-knl,4096,64,False,4,4
float,512, ,-a2av,-p2p, , ,0.991274252546811,0.5280582060700654,4,fftw,-1159.37,343.6269886493683,theta-knl,4096,64,False,2,4
float,512, ,-a2av,-p2p_pl, , ,0.924435977552644,0.5930088210410523,4,fftw,-1190.67,353.2960329055786,theta-knl,4096,64,False,3,4
double,512, ,-a2av, , , ,0.9506210167904254,0.65416756599772,2,fftw,-712.997,374.2476842403412,theta-knl,4096,64,False,5,4
float,512, ,-a2av,-p2p, ,-r2c_dir 2,0.9741773529867224,0.6613029897423268,2,fftw,-953.461,377.9688744544983,theta-knl,4096,64,False,4,4
float,512, ,-a2av,-p2p, , ,0.9983055169783224,0.5938981533501327,4,fftw,-1186.58,397.67740964889526,theta-knl,4096,64,False,3,4
float,512, ,-a2a, , , ,0.99416116123634,0.22707907134146388,2,fftw,2.137,404.1871256828308,theta-knl,4096,64,False,2,4
float,512, ,-a2av,-p2p_pl, , ,0.9235197461231514,0.6265989800429195,2,fftw,-1357.97,414.6168658733368,theta-knl,4096,64,False,4,4
float,512, ,-a2av, , , ,0.9688672704890969,0.5815657969697299,4,fftw,-818.501,419.59313344955444,theta-knl,4096,64,False,5,4
float,512, ,-a2av,-p2p, ,-r2c_dir 1,0.9920609767298741,0.6449120840408198,4,fftw,-1372.73,429.76717615127563,theta-knl,4096,64,False,3,4
float,512, ,-a2av,-p2p, ,-r2c_dir 2,0.9856597707096387,0.6132849875951064,4,fftw,-877.312,446.8149468898773,theta-knl,4096,64,False,2,4
float,512, ,-a2av,-p2p_pl,-pencils, ,0.996244297260325,0.6376287077492173,4,fftw,-1260.65,451.23577666282654,theta-knl,4096,64,False,4,4
float,512,-reorder,-a2av, , , ,0.9391251176826027,0.6344029451162203,2,fftw,-1256.77,451.7301275730133,theta-knl,4096,64,False,5,4
float,512, ,-a2av,-p2p, ,-r2c_dir 1,0.9155626674905114,0.6503604988769471,2,fftw,-1156.52,474.61616492271423,theta-knl,4096,64,False,3,4
float,512, , ,-p2p_pl, , ,0.990904980069435,0.6311283954039819,2,fftw,-1353.37,488.44149231910706,theta-knl,4096,64,False,5,4
double,512, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.9921084841301637,0.5808650410245229,4,fftw,-418.558,493.5728533267975,theta-knl,4096,64,False,2,4
float,512, ,-a2av,-p2p,-slabs,-r2c_dir 2,0.9382982394182451,0.639384456748285,2,fftw,-21.5267,494.4235894680023,theta-knl,4096,64,False,4,4
float,512, ,-a2av, , ,-r2c_dir 1,0.8159896332323661,0.640847241356491,4,fftw,-911.475,508.0121304988861,theta-knl,4096,64,False,3,4
float,512,-no-reorder,-a2av, , , ,0.9895346180156208,0.6278104163821525,2,fftw,-1303.4,521.0278503894806,theta-knl,4096,64,False,5,4
float,512,-reorder,-a2av,-p2p_pl, , ,0.953137809987105,0.6386857741969539,2,fftw,-1330.23,528.7408547401428,theta-knl,4096,64,False,2,4
float,512, , ,-p2p, ,-r2c_dir 1,0.9219369630130692,0.6293765588638117,4,fftw,-1362.02,531.3773853778839,theta-knl,4096,64,False,4,4
float,512, ,-a2a,-p2p,-pencils,-r2c_dir 1,0.999117523420953,0.6276665860158355,4,fftw,-1403.59,542.6438720226288,theta-knl,4096,64,False,3,4
float,512,-no-reorder,-a2av,-p2p_pl, , ,0.9272351151200574,0.6236491054689515,4,fftw,-1292.42,553.3541941642761,theta-knl,4096,64,False,5,4
float,512,-reorder,-a2av,-p2p, ,-r2c_dir 0,0.9723014326311147,0.6277218681988651,4,fftw,-1277.41,562.1340999603271,theta-knl,4096,64,False,4,4
