p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64, , , , , ,0.5,0.5,0.5,fftw,2.137,31.37113904953003,theta-knl,8192,256,64,False,2,4
float,64,-no-reorder, , , ,-r2c_dir 1,0.49575040214351573,0.8193757852967771,0.4242096493369937,fftw,2.137,31.221210479736328,theta-knl,8192,256,64,False,3,4
double,64,-no-reorder,-a2a, ,-pencils, ,0.5386905782649846,0.29069384830569667,0.7886983270756672,fftw,2.137,31.42128038406372,theta-knl,8192,256,64,False,4,4
double,64,-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,0.8110929327294876,0.21103312000788843,0.12307815645622244,fftw,2.137,40.69247364997864,theta-knl,8192,256,64,False,5,4
double,64, ,-a2a, ,-pencils,-r2c_dir 0,0.8874188451765209,0.9711957534467511,0.6734157841622838,fftw,1.0,72.79350113868713,theta-knl,8192,256,64,False,2,4
double,64, , , ,-slabs,-r2c_dir 0,0.561035685449545,0.4958845622229856,0.9549862637372405,fftw,2.137,48.355226278305054,theta-knl,8192,256,64,False,3,4
double,64,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,0.5514189522224109,0.14350889641384668,0.6918087157170739,fftw,2.137,44.49662637710571,theta-knl,8192,256,64,False,4,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.6759092546837777,0.374739895270247,0.12428273509003096,fftw,2.137,62.00190591812134,theta-knl,8192,256,64,False,5,4
float,64, ,-a2a,-p2p,-slabs, ,0.6362586860606727,0.39585111492754355,0.5285572373130368,fftw,2.137,57.47160768508911,theta-knl,8192,256,64,False,4,4
float,64,-no-reorder, ,-p2p,-slabs,-r2c_dir 2,0.3872064955261053,0.6594744263149575,0.04169754288569216,fftw,2.137,61.20718193054199,theta-knl,8192,256,64,False,3,4
