p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512, , , , , ,0.5,0.5,0.5,fftw,1.0,320.4514229297638,theta-knl,16384,256,64,False,2,1
float,512,-no-reorder, , , ,-r2c_dir 1,0.49575040214351573,0.8193757852967771,0.4242096493369937,fftw,1.0,622.1428771018982,theta-knl,16384,256,64,False,2,1
double,512,-no-reorder,-a2a, ,-pencils, ,0.5386905782649846,0.29069384830569667,0.7886983270756672,fftw,1.0,923.715662240982,theta-knl,16384,256,64,False,2,1
double,512,-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,0.8110929327294876,0.21103312000788843,0.12307815645622244,fftw,1.0,1226.3228573799133,theta-knl,16384,256,64,False,2,1
double,512, , , ,-slabs,-r2c_dir 0,0.561035685449545,0.4958845622229856,0.9549862637372405,fftw,-52.1276,1334.6731901168823,theta-knl,16384,256,64,False,2,1
double,512,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,0.4305769408827044,0.7205181189281121,0.8179055722229223,fftw,1.0,1637.720862865448,theta-knl,16384,256,64,False,2,1
double,512,-no-reorder, , ,-pencils,-r2c_dir 1,0.742549072265308,0.7195903706380159,0.24964394844847726,fftw,1.0,1940.5995745658875,theta-knl,16384,256,64,False,2,1
double,512,-reorder, ,-p2p, ,-r2c_dir 0,0.9332196204414941,0.10620107405515944,0.6667148931699369,fftw,1.0,2243.588549375534,theta-knl,16384,256,64,False,2,1
double,512, ,-a2a, ,-slabs,-r2c_dir 0,0.657676392915815,0.4084042116188711,0.8012330001221458,fftw,1.0,2546.4905829429626,theta-knl,16384,256,64,False,2,1
float,512, , ,-p2p,-slabs,-r2c_dir 2,0.5635619851229616,0.7766762090580404,0.9011390221370515,fftw,-3.03289,2843.859972000122,theta-knl,16384,256,64,False,2,1
double,512, , , ,-slabs,-r2c_dir 0,0.09976690893911089,0.9644395935119201,0.9008408124901179,fftw,-48.4291,3069.0913305282593,theta-knl,16384,256,64,False,2,1
double,512, , , ,-slabs,-r2c_dir 0,0.35838757645178365,0.9901467571785336,0.9683951072712772,fftw,-44.7974,3357.4555134773254,theta-knl,16384,256,64,False,2,1
