p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,1400, , , , , ,0.5,0.5,0.5,fftw,-2091.84,185.88520860671997,theta-knl,8192,256,64,False,2,1
float,1400,-no-reorder, , , ,-r2c_dir 1,0.49575040214351573,0.8193757852967771,0.4242096493369937,fftw,-2225.27,358.4736568927765,theta-knl,8192,256,64,False,2,1
double,1400,-no-reorder,-a2a, ,-pencils, ,0.5386905782649846,0.29069384830569667,0.7886983270756672,fftw,1.0,660.0634911060333,theta-knl,8192,256,64,False,2,1
double,1400,-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,0.8110929327294876,0.21103312000788843,0.12307815645622244,fftw,2.137,886.5427093505859,theta-knl,8192,256,64,False,2,1
double,1400, , , ,-slabs,-r2c_dir 0,0.561035685449545,0.4958845622229856,0.9549862637372405,fftw,-270.9,984.3224010467529,theta-knl,8192,256,64,False,2,1
double,1400,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,0.4305769408827044,0.7205181189281121,0.8179055722229223,fftw,1.0,1287.2043807506561,theta-knl,8192,256,64,False,2,1
float,1400, , , ,-slabs, ,0.1502116323813083,0.2836738536055998,0.27884298389614004,fftw,-526.863,1338.4178175926208,theta-knl,8192,256,64,False,2,1
float,1400, , , , , ,0.4358130732814016,0.5414285695797807,0.7170660186265513,fftw,-2573.45,1504.1057803630829,theta-knl,8192,256,64,False,2,1
float,1400, , ,-p2p_pl, , ,0.2136667526521161,0.5742712058959284,0.39687912058217545,fftw,-934.383,1639.9886076450348,theta-knl,8192,256,64,False,2,1
float,1400, ,-a2a, , ,-r2c_dir 2,0.21190228498270813,0.6158841208616435,0.4341911390877299,fftw,1.0,1942.9262008666992,theta-knl,8192,256,64,False,2,1
float,1400,-reorder, , , , ,0.4748417473455169,0.7647117542358827,0.7673169105890172,fftw,-2355.54,2148.0408997535706,theta-knl,8192,256,64,False,2,1
float,1400,-no-reorder, , , , ,0.6116285984322091,0.753859047785814,0.8807428531636281,fftw,-2673.76,2336.4583826065063,theta-knl,8192,256,64,False,2,1
float,1400,-reorder,-a2av, , , ,0.4930373069325402,0.9005669454274976,0.7996691188900736,fftw,-2358.02,2517.8933322429657,theta-knl,8192,256,64,False,2,1
float,1400,-reorder, ,-p2p_pl, , ,0.7808130036968061,0.9350896323306991,0.8235979138813027,fftw,-2118.5,2654.512165784836,theta-knl,8192,256,64,False,2,1
double,1400,-reorder, ,-p2p, , ,0.8276962425722812,0.7836527509211543,0.8546438890355499,fftw,-770.407,2795.673838853836,theta-knl,8192,256,64,False,2,1
float,1400,-reorder, , , , ,0.7859087493761451,0.7623050388112731,0.7906369586785593,fftw,-3201.87,2987.1713075637817,theta-knl,8192,256,64,False,2,1
float,1400,-no-reorder,-a2a, , , ,0.4738260420763222,0.7432401677647156,0.695138136982798,fftw,1.0,3290.2653090953827,theta-knl,8192,256,64,False,2,1
float,1400,-no-reorder, , ,-pencils,-r2c_dir 0,0.8024089112338426,0.7625614319554826,0.7818829229928508,fftw,1.0,3593.2965400218964,theta-knl,8192,256,64,False,2,1
float,1400,-reorder,-a2av, , , ,0.9983267845701626,0.975697559232311,0.8625901991959154,fftw,-3518.36,3763.857314825058,theta-knl,8192,256,64,False,2,1
double,1400,-no-reorder,-a2a, , , ,0.86974302248969,0.89144566127022,0.9713708145550108,fftw,1.0,4067.0388119220734,theta-knl,8192,256,64,False,2,1
float,1400,-reorder,-a2av, , ,-r2c_dir 1,0.9191309944142176,0.9693411946909548,0.7895168864045726,fftw,1.0,4370.584038257599,theta-knl,8192,256,64,False,2,1
