p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
double,64, ,-a2a,-p2p, ,-r2c_dir 2,0.6168587034032456,0.9839634421545564,0.5777811899579629,cufft,-13.99,12.409220218658447,polaris-gpu,4,64,4,True,2,4
double,64,-no-reorder,-a2a,-p2p, ,-r2c_dir 0,0.7317666577241866,0.9941519934844956,0.7459751106132011,cufft,-6.55172,12.578596591949463,polaris-gpu,4,64,4,True,3,4
float,64,-reorder,-a2a, , , ,0.6362258102308971,0.9941036758896027,0.4464604027400532,cufft,-6.11574,12.59415316581726,polaris-gpu,4,64,4,True,4,4
float,64,-reorder,-a2a,-p2p,-slabs,-r2c_dir 1,0.6244984486330338,0.9935323460424462,0.4266255795468465,cufft,-11.9597,12.918549537658691,polaris-gpu,4,64,4,True,5,4
float,64, , ,-p2p_pl, ,-r2c_dir 1,0.5571702687078712,0.9636074466297804,0.16421972181229774,cufft,-4.12815,14.338623523712158,polaris-gpu,4,64,4,True,2,4
float,64, ,-a2a,-p2p, ,-r2c_dir 2,0.565600678057784,0.2149659867928218,0.807797527203819,cufft,-11.2429,14.403459310531616,polaris-gpu,4,64,4,True,3,4
float,64,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,0.7366467267317631,0.31780698413431235,0.8937740682505456,cufft,-5.45841,14.236727714538574,polaris-gpu,4,64,4,True,4,4
float,64,-reorder, ,-p2p_pl, ,-r2c_dir 2,0.8212782956738209,0.5890180482937061,0.37676890995889656,cufft,-30.1624,14.721407175064087,polaris-gpu,4,64,4,True,5,4
double,64,-reorder, ,-p2p, ,-r2c_dir 0,0.5207794854100882,0.699963378308575,0.6967934221178017,cufft,-7.33074,15.982558488845825,polaris-gpu,4,64,4,True,4,4
double,64,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,0.5847089490463233,0.9932270789394819,0.9297568249492794,cufft,-8.61165,16.10032844543457,polaris-gpu,4,64,4,True,2,4
float,64,-reorder,-a2a,-p2p_pl, , ,0.7866931502028081,0.9186314432275411,0.9778863326159402,cufft,-14.4924,16.16431212425232,polaris-gpu,4,64,4,True,3,4
float,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,0.5902364421420216,0.9941984496841694,0.08933232921438056,cufft,-36.6184,16.774927377700806,polaris-gpu,4,64,4,True,5,4
float,64,-no-reorder, ,-p2p, , ,0.4655754713625626,0.8537066179166202,0.9851092000790317,cufft,-18.6715,17.80440378189087,polaris-gpu,4,64,4,True,4,4
double,64, , ,-p2p_pl, ,-r2c_dir 1,0.48419203290169577,0.9253055282289908,0.9512894380962288,cufft,-6.0327,17.821651458740234,polaris-gpu,4,64,4,True,2,4
double,64,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,0.4617326694363513,0.128336668669208,0.045152972471851335,cufft,-5.41371,17.92010498046875,polaris-gpu,4,64,4,True,3,4
float,64, , ,-p2p, ,-r2c_dir 2,0.41272053065505077,0.9909715521806753,0.7394142697380266,cufft,-44.472,18.569985389709473,polaris-gpu,4,64,4,True,5,4
double,64, , ,-p2p_pl, , ,0.49630130016650753,0.42642005287451834,0.6063028786772213,cufft,-2.95948,19.752980709075928,polaris-gpu,4,64,4,True,4,4
float,64,-no-reorder, ,-p2p_pl, ,-r2c_dir 2,0.48886171069136,0.019492290936470834,0.18603876504129604,cufft,-14.5109,19.72068214416504,polaris-gpu,4,64,4,True,2,4
