p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
double,64,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.8910177502098683,0.9477562205999192,0.7188518436801469,cufft,-0.955519,6.403162956237793,polaris-gpu,16,64,4,True,2,4
double,64,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.4609229030452028,0.5588377023759232,0.0432204994286479,cufft,-0.371798,7.18935751914978,polaris-gpu,16,64,4,True,5,4
float,64,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,0.8554984403419622,0.9709681028617708,0.0013405236895519,cufft,-0.368125,7.303022146224976,polaris-gpu,16,64,4,True,3,4
float,64,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 2,0.7033401010189589,0.6830510867705407,0.1529675618147026,cufft,-0.407338,7.319411993026733,polaris-gpu,16,64,4,True,4,4
float,64,-no-reorder, , ,-pencils,-r2c_dir 2,0.9024363624183876,0.4382698876411974,0.9850174458070404,cufft,-1.01401,8.548332214355469,polaris-gpu,16,64,4,True,2,4
double,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.6021546390604373,0.817649368308046,0.93643979593612,cufft,-2.23115,8.893302202224731,polaris-gpu,16,64,4,True,5,4
float,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.4893855011761374,0.5059502788342717,0.2285756484078361,cufft,-2.35456,9.104873895645142,polaris-gpu,16,64,4,True,4,4
double,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.5987632777340364,0.9580178093720046,0.0058379271959014,cufft,-0.939043,9.392330408096312,polaris-gpu,16,64,4,True,3,4
double,64,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.9797450430933572,0.7103532367805041,0.1861657797641987,cufft,-0.423157,12.047887325286863,polaris-gpu,16,64,4,True,2,4
double,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.5853894266711493,0.9574701757936562,0.1894360870533227,cufft,-0.33004,12.529605150222778,polaris-gpu,16,64,4,True,5,4
float,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.1649568453562165,0.8616720654825071,0.0074649644452645,cufft,-1.33512,12.90230393409729,polaris-gpu,16,64,4,True,4,4
float,64,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,0.21756998872593,0.998643787545901,0.0128134975672599,cufft,-0.575457,13.262929677963257,polaris-gpu,16,64,4,True,3,4
double,64,-no-reorder, , ,-pencils,-r2c_dir 1,0.5756082334419257,0.4365870057133247,0.8514649864188126,cufft,-1.50614,14.298261404037476,polaris-gpu,16,64,4,True,2,4
double,64,-no-reorder, , ,-pencils,-r2c_dir 1,0.9211390760967512,0.6595933173924032,0.2805177670375087,cufft,-1.49919,14.48827314376831,polaris-gpu,16,64,4,True,5,4
float,64,-no-reorder, ,-p2p,-pencils,-r2c_dir 0,0.9920943029204808,0.5063965192506554,0.9984130479906874,cufft,-9.67005,14.572289943695068,polaris-gpu,16,64,4,True,4,4
double,64,-reorder,-a2a, ,-pencils,-r2c_dir 0,0.8982561966683067,0.9350472655227416,0.9830799237414496,cufft,1.0,14.681266784667969,polaris-gpu,16,64,4,True,3,4
double,64,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.99840231397056,0.6420910928488254,0.7732181844886342,cufft,-2.24015,16.4586238861084,polaris-gpu,16,64,4,True,4,4
double,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.9668154825774722,0.6525711412477941,0.9931830442034744,cufft,-1.8413,16.659584522247314,polaris-gpu,16,64,4,True,2,4
float,64,-reorder, , ,-pencils,-r2c_dir 2,0.9315480719872988,0.5112580348880824,0.9903155117520036,cufft,-1.60972,16.673160791397095,polaris-gpu,16,64,4,True,3,4
float,64,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,0.8003000502107912,0.3710054685981692,0.9961112614046574,cufft,-1.54512,17.008098363876343,polaris-gpu,16,64,4,True,5,4
double,64,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.9988289713822548,0.8377248806010071,0.9550901613268156,cufft,-2.97879,18.515210390090942,polaris-gpu,16,64,4,True,4,4
double,64,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.5924474721724649,0.5631760540057033,0.6789280749697211,cufft,-3.56903,18.60566759109497,polaris-gpu,16,64,4,True,3,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.9949205024125122,0.7669723403683072,0.8980601384846718,cufft,-1.35727,18.78676199913025,polaris-gpu,16,64,4,True,5,4
float,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.3514002889196839,0.953865212036966,0.0122582681509659,cufft,-0.842037,19.10846781730652,polaris-gpu,16,64,4,True,2,4
double,64,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.3390644051663119,0.6253269259250375,0.3068727159115137,cufft,-3.18572,20.49327850341797,polaris-gpu,16,64,4,True,4,4
double,64,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.5856103755789722,0.7265881337765979,0.6246541766696208,cufft,-1.07122,20.70122241973877,polaris-gpu,16,64,4,True,3,4
