,FLOPS,c0,elapsed_sec,gpu_enabled,libE_id,libE_workers,mpi_ranks,p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,ranks_per_node,threads_per_node
0,-6595.7,cufft,269.830353975296,True,2,2,128,float,512,512,1024,-reorder,-a2av,-p2p_pl,-pencils, ,1 4 32,8 16 1,8,4,64
1,-6582.6,cufft,354.03043246269226,True,2,2,128,float,512,512,1024,-reorder,-a2av,-p2p_pl, , ,1 4 32,8 16 1,8,4,64
2,-6580.57,cufft,445.1942229270935,True,3,2,128,float,512,512,1024,-reorder, ,-p2p_pl, , ,1 4 32,8 16 1,8,4,64
3,-6509.6,cufft,546.8045449256897,True,3,2,128,float,512,512,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,1 4 32,8 16 1,8,4,64
4,-6031.44,cufft,533.4876799583435,True,2,2,128,float,512,512,1024,-no-reorder,-a2av,-p2p_pl, , ,1 4 32,8 16 1,8,4,64
5,-6009.96,cufft,295.75885224342346,True,2,2,128,float,512,512,1024, , ,-p2p_pl,-pencils,-r2c_dir 0,1 4 32,8 16 1,8,4,64
6,-5994.37,cufft,513.7034265995026,True,2,2,128,float,512,512,1024, ,-a2av,-p2p_pl, , ,1 4 32,8 16 1,8,4,64
7,-5991.65,cufft,105.6786971092224,True,2,2,128,float,512,512,1024,-no-reorder, ,-p2p_pl,-pencils, ,1 4 32,8 16 1,8,4,64
8,-5977.98,cufft,253.89848446846008,True,2,2,128,float,512,512,1024,-no-reorder,-a2a,-p2p_pl,-pencils, ,1 4 32,8 16 1,8,4,64
9,-5965.02,cufft,498.95393657684326,True,3,2,128,float,512,512,1024, , ,-p2p_pl, , ,1 4 32,8 16 1,8,4,64
10,-5880.71,cufft,451.5641927719116,True,2,2,128,float,512,512,1024,-reorder,-a2av, ,-pencils, ,1 4 32,8 16 1,8,4,64
11,-5875.85,cufft,378.2715046405792,True,2,2,128,float,512,512,1024,-reorder,-a2av, , , ,1 4 32,8 16 1,8,4,64
12,-5869.5,cufft,440.1270041465759,True,2,2,128,float,512,512,1024,-reorder, , , , ,1 4 32,8 16 1,8,4,64
13,-5847.02,cufft,348.674775838852,True,3,2,128,float,512,512,1024,-reorder, , , ,-r2c_dir 0,1 4 32,8 16 1,8,4,64
14,-5764.56,cufft,219.11356139183044,True,3,2,128,float,512,512,1024,-reorder,-a2a,-p2p_pl,-pencils, ,1 4 32,8 16 1,16,4,64
15,-5394.32,cufft,261.49414014816284,True,3,2,128,float,512,512,1024,-no-reorder,-a2a,-p2p_pl, , ,1 4 32,8 16 1,16,4,64
16,-5362.73,cufft,454.15542793273926,True,2,2,128,float,512,512,1024, , , , , ,1 4 32,8 16 1,8,4,64
17,-5346.89,cufft,383.4758758544922,True,2,2,128,float,512,512,1024, , , , ,-r2c_dir 0,1 4 32,8 16 1,8,4,64
18,-5319.87,cufft,395.0526633262634,True,2,2,128,float,512,512,1024,-no-reorder, , ,-pencils, ,1 4 32,8 16 1,8,4,64
19,-5315.23,cufft,195.3836805820465,True,2,2,128,float,512,512,1024,-reorder, ,-p2p_pl,-pencils, ,1 4 32,8 16 1,4,4,64
20,-4991.1,cufft,414.6175117492676,True,2,2,128,float,512,512,1024,-no-reorder,-a2av,-p2p_pl, , ,1 4 32,8 16 1,4,4,64
21,-4986.91,cufft,409.3027064800263,True,2,2,128,float,512,512,1024, , ,-p2p_pl,-pencils, ,1 4 32,8 16 1,4,4,64
22,-4986.48,cufft,282.83429503440857,True,2,2,128,float,512,512,1024,-no-reorder, ,-p2p_pl,-pencils, ,1 4 32,8 16 1,4,4,64
23,-4951.15,cufft,306.2891004085541,True,3,2,128,float,512,512,1024,-reorder,-a2av,-p2p_pl,-pencils, ,2 2 32,8 16 1,8,4,64
24,-4608.73,cufft,319.1549561023712,True,2,2,128,float,512,512,1024,-no-reorder,-a2av,-p2p_pl, , ,4 2 16,8 16 1,8,4,64
25,-4549.52,cufft,504.8244156837464,True,3,2,128,float,512,512,1024,-reorder,-a2av, , , ,1 4 32,8 16 1,12,4,64
26,-4520.43,cufft,76.62965250015259,True,2,2,128,double,512,512,1024,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,1 1 128,8 16 1,8,4,64
27,-4449.24,cufft,277.686066865921,True,2,2,128,float,512,512,1024,-reorder, ,-p2p_pl,-pencils, ,1 4 32,8 16 1,12,4,64
28,-4445.63,cufft,367.5070638656616,True,2,2,128,float,512,512,1024,-reorder, , , ,-r2c_dir 0,1 4 32,8 16 1,4,4,64
29,-4435.79,cufft,275.0396718978882,True,3,2,128,float,512,512,1024,-reorder,-a2a, , , ,1 4 32,8 16 1,16,4,64
30,-4421.29,cufft,481.2534246444702,True,3,2,128,float,512,512,1024,-no-reorder, , ,-pencils, ,1 4 32,8 16 1,16,4,64
31,-4420.1,cufft,182.501720905304,True,2,2,128,float,512,512,1024,-reorder,-a2av,-p2p_pl,-pencils, ,1 4 32,8 8 2,8,4,64
32,-4382.92,cufft,158.83192682266235,True,3,2,128,float,512,512,1024,-reorder, ,-p2p_pl,-pencils, ,1 4 32,4 16 2,8,4,64
33,-4331.3,cufft,172.2696692943573,True,3,2,128,float,512,512,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,1 4 32,4 8 4,8,4,64
