c0,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,mpi_ranks,FLOPS,elapsed_sec,identifier,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
fftw,float,512, ,-a2av,-p2p, ,-r2c_dir 0,0.4431765527844457,0.903018630879212,0.6645916412686997,1024,-217.917,77.26977229118347,theta-knl,64,64,False,0,1
fftw,float,512,-no-reorder, , ,-pencils,-r2c_dir 1,0.0082445502522313,0.5156827553589598,0.5581624564804387,1024,-432.734,85.91447615623474,theta-knl,64,64,False,0,1
fftw,double,512,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,0.8512034559116024,0.7126391404251164,0.1095291148160448,1024,-100.333,101.13425493240356,theta-knl,64,64,False,0,1
fftw,float,512,-reorder,-a2a,-p2p, , ,0.7042238148802102,0.6520444680022498,0.9339134786084288,1024,-342.39,109.63639187812804,theta-knl,64,64,False,0,1
fftw,float,512,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,0.1152543899340284,0.2660136913633746,0.404958626667385,1024,-32.0839,126.65389657020567,theta-knl,64,64,False,0,1
fftw,double,512, ,-a2a, ,-slabs,-r2c_dir 1,0.3497881044938829,0.1893082779761565,0.0563232117414323,1024,-83.8336,137.19525027275083,theta-knl,64,64,False,0,1
fftw,float,512,-reorder, ,-p2p,-slabs, ,0.2304244190751457,0.0090993403255857,0.8785213324356352,1024,1.0,144.53919458389282,theta-knl,64,64,False,0,1
fftw,double,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9208349944805646,0.2769237897389828,0.3329604227410734,1024,-131.155,154.87784576416016,theta-knl,64,64,False,0,1
fftw,double,512,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 2,0.9440300782175364,0.8495464777519586,0.5063547499619286,1024,-77.3601,166.98648715019226,theta-knl,64,64,False,0,1
fftw,float,512, , , , ,-r2c_dir 0,0.7675504790211404,0.4467634761318066,0.397011408915577,1024,-665.122,175.35256695747375,theta-knl,64,64,False,0,1
fftw,double,512, ,-a2a,-p2p,-slabs, ,0.142364767689959,0.5889513439642188,0.2127978356200857,1024,-80.5135,187.008825302124,theta-knl,64,64,False,0,1
fftw,double,512,-reorder,-a2av, ,-pencils, ,0.5165126417854197,0.9414949802936912,0.8212940605397688,1024,-223.974,197.108722448349,theta-knl,64,64,False,0,1
fftw,float,512, , ,-p2p_pl,-pencils,-r2c_dir 2,0.578229940007258,0.7576196437861129,0.75102341679286,1024,-419.711,206.1304473876953,theta-knl,64,64,False,0,1
fftw,double,512,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,0.2827331856120507,0.3523846965525666,0.7179001305067431,1024,-168.453,216.1349778175354,theta-knl,64,64,False,0,1
fftw,float,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 2,0.6435532973436361,0.1143191593265327,0.1591903618802829,1024,-371.935,224.60694885253903,theta-knl,64,64,False,0,1
fftw,float,512,-reorder, , ,-slabs, ,0.948835159993328,0.7864407688179611,0.0310804003371502,1024,-238.215,392.7252876758576,theta-knl,64,64,False,0,1
fftw,float,512, , ,-p2p_pl,-pencils,-r2c_dir 2,0.9177807889076314,0.0753560452249331,0.0108370018620514,1024,-314.622,570.0096166133881,theta-knl,64,64,False,0,1
fftw,float,512, ,-a2av, , ,-r2c_dir 1,0.937066780936278,0.3210805021523185,0.6929047298598519,1024,-630.649,707.6056580543518,theta-knl,64,64,False,0,1
fftw,float,512, ,-a2a, , ,-r2c_dir 0,0.9282713442768477,0.9965078458910306,0.4274935224896617,1024,-24.4859,842.2385396957397,theta-knl,64,64,False,0,1
fftw,float,512,-no-reorder,-a2av,-p2p_pl, , ,0.4290068914068186,0.9865800751747016,0.4350936922915869,1024,-420.766,969.956174850464,theta-knl,64,64,False,0,1
fftw,float,512, ,-a2av,-p2p_pl,-slabs,-r2c_dir 1,0.7030320288685395,0.4218128336275712,0.1151502374961519,1024,-153.924,1074.2536425590515,theta-knl,64,64,False,0,1
fftw,float,512, ,-a2av, ,-slabs,-r2c_dir 1,0.7845034356972724,0.1811091278057218,0.9654774548903824,1024,-241.897,1176.5444123744965,theta-knl,64,64,False,0,1
fftw,float,512, , , , , ,0.584942720660563,0.4802864929649306,0.3239295580295573,1024,-496.998,1286.8781011104584,theta-knl,64,64,False,0,1
fftw,float,512, , , , ,-r2c_dir 0,0.4513923120525474,0.1454763079253105,0.4435440162589633,1024,-543.485,1387.230770111084,theta-knl,64,64,False,0,1
fftw,float,512, ,-a2av, , , ,0.4975719915205273,0.1420588788702164,0.9823175393941582,1024,-542.791,1527.0887150764463,theta-knl,64,64,False,0,1
fftw,float,512,-no-reorder, , , ,-r2c_dir 0,0.7769903648647382,0.291400046790662,0.92361167250815,1024,-587.876,1638.695402622223,theta-knl,64,64,False,0,1
fftw,float,512, , , , ,-r2c_dir 2,0.9309749236890474,0.1674945132936528,0.6512833740956402,1024,-443.749,1740.0221371650696,theta-knl,64,64,False,0,1
fftw,float,512, ,-a2av, , , ,0.2064687056522554,0.4441437995364589,0.5279056307542006,1024,-413.059,1876.8121707439425,theta-knl,64,64,False,0,1
fftw,float,512,-reorder, , ,-slabs,-r2c_dir 1,0.6970457418591738,0.83619050087059,0.217831062263122,1024,-203.781,2029.8922588825224,theta-knl,64,64,False,0,1
fftw,float,512,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,0.8649471928973359,0.614109662044325,0.6442255226629102,1024,-96.9921,2143.7175855636597,theta-knl,64,64,False,0,1
