c0,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,mpi_ranks,FLOPS,elapsed_sec,identifier,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
fftw,float,64, ,-a2av,-p2p, ,-r2c_dir 0,0.4431765527844457,0.903018630879212,0.6645916412686997,128,-10.4779,23.84256887435913,theta-knl,64,64,False,0,1
fftw,float,64,-no-reorder, , ,-pencils,-r2c_dir 1,0.0082445502522313,0.5156827553589598,0.5581624564804387,128,-25.3577,33.790812492370605,theta-knl,64,64,False,0,1
fftw,double,64,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,0.8512034559116024,0.7126391404251164,0.1095291148160448,128,-3.47589,43.80905795097351,theta-knl,64,64,False,0,1
fftw,float,64,-reorder,-a2a,-p2p, , ,0.7042238148802102,0.6520444680022498,0.9339134786084288,128,-16.7302,53.78723430633545,theta-knl,64,64,False,0,1
fftw,float,64,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,0.1152543899340284,0.2660136913633746,0.404958626667385,128,-7.25468,63.69872212409973,theta-knl,64,64,False,0,1
fftw,double,64, ,-a2a, ,-slabs,-r2c_dir 1,0.3497881044938829,0.1893082779761565,0.0563232117414323,128,-6.71344,73.79057836532593,theta-knl,64,64,False,0,1
fftw,float,64,-reorder, ,-p2p,-slabs, ,0.2304244190751457,0.0090993403255857,0.8785213324356352,128,1.0,95.06694889068604,theta-knl,64,64,False,0,1
fftw,double,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9208349944805646,0.2769237897389828,0.3329604227410734,128,-10.4853,105.15817141532898,theta-knl,64,64,False,0,1
fftw,double,64,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 2,0.9440300782175364,0.8495464777519586,0.5063547499619286,128,-3.1342,115.36966013908386,theta-knl,64,64,False,0,1
fftw,float,64, , , , ,-r2c_dir 0,0.7675504790211404,0.4467634761318066,0.397011408915577,128,-17.2677,125.25665593147278,theta-knl,64,64,False,0,1
fftw,double,64, ,-a2a,-p2p,-slabs, ,0.142364767689959,0.5889513439642188,0.2127978356200857,128,-2.59375,135.2537043094635,theta-knl,64,64,False,0,1
fftw,double,64,-reorder,-a2av, ,-pencils, ,0.5165126417854197,0.9414949802936912,0.8212940605397688,128,-8.71844,145.3610246181488,theta-knl,64,64,False,0,1
fftw,float,64, , ,-p2p_pl,-pencils,-r2c_dir 2,0.578229940007258,0.7576196437861129,0.75102341679286,128,-16.8007,155.2418920993805,theta-knl,64,64,False,0,1
fftw,double,64,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,0.2827331856120507,0.3523846965525666,0.7179001305067431,128,-6.8431,165.27031326293945,theta-knl,64,64,False,0,1
fftw,float,64,-reorder,-a2av,-p2p_pl, ,-r2c_dir 2,0.6435532973436361,0.1143191593265327,0.1591903618802829,128,-14.5169,175.12354922294617,theta-knl,64,64,False,0,1
fftw,float,64,-reorder, , , , ,0.3787405897900303,0.2730713007228293,0.2505530808613254,128,-16.424,254.94984340667725,theta-knl,64,64,False,0,1
fftw,float,64, , ,-p2p_pl,-pencils, ,0.1805067176830035,0.1394420636318642,0.3843215863627744,128,1.0,369.807781457901,theta-knl,64,64,False,0,1
fftw,float,64,-no-reorder, ,-p2p_pl, , ,0.3344567149225698,0.6811007331501424,0.3779985412378386,128,-11.0526,459.34629917144775,theta-knl,64,64,False,0,1
fftw,double,64, , ,-p2p_pl, ,-r2c_dir 1,0.894214642620047,0.6301758425089645,0.3994375465997609,128,-14.0043,545.4974303245544,theta-knl,64,64,False,0,1
fftw,double,64,-no-reorder,-a2av, ,-pencils, ,0.1326265601039932,0.924371287330471,0.9061207541638294,128,-6.38974,634.7832777500153,theta-knl,64,64,False,0,1
fftw,float,64, ,-a2av,-p2p, ,-r2c_dir 0,0.9909366543710354,0.6309791924928548,0.7629765279608118,128,-19.5596,729.7147259712219,theta-knl,64,64,False,0,1
fftw,float,64, , , , ,-r2c_dir 2,0.1413340304875457,0.7639298504753916,0.706017860146383,128,-15.2526,872.4213926792145,theta-knl,64,64,False,0,1
fftw,float,64, ,-a2a,-p2p_pl,-slabs, ,0.8622223117352227,0.0698308276308161,0.4553373715862607,128,1.0,973.5484569072725,theta-knl,64,64,False,0,1
fftw,double,64, , ,-p2p,-slabs,-r2c_dir 2,0.9204824819145108,0.7841076718433972,0.4334020247769016,128,-4.04688,1081.510256767273,theta-knl,64,64,False,0,1
fftw,float,64, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.8757238037593401,0.4983376516525704,0.623399653074574,128,-21.1576,1176.9680774211884,theta-knl,64,64,False,0,1
fftw,float,64,-no-reorder, , ,-pencils,-r2c_dir 2,0.8817652716194798,0.5610326317056008,0.9716504353635416,128,-12.7577,1285.0992720127106,theta-knl,64,64,False,0,1
fftw,float,64,-no-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.8402528721021797,0.4956739778528038,0.7619880744246622,128,-21.2818,1385.761331319809,theta-knl,64,64,False,0,1
fftw,float,64, , , , ,-r2c_dir 2,0.8793202991705732,0.546481287826172,0.9989821246671294,128,-13.0399,1478.53777217865,theta-knl,64,64,False,0,1
fftw,float,64,-reorder, , , ,-r2c_dir 2,0.8434303951697079,0.9586413445026264,0.802679936397535,128,-16.1873,1575.2183244228363,theta-knl,64,64,False,0,1
fftw,float,64, ,-a2a,-p2p_pl, ,-r2c_dir 2,0.7384169216510006,0.7300313552813337,0.8579164468682564,128,-17.1584,1684.1519229412079,theta-knl,64,64,False,0,1
