p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.9988823791949988,0.9212115940697596,0.2901768792018396,fftw,-16.76,32.950623989105225,theta-knl,128,256,64,False,2,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.9988291006628984,0.9976066084630314,0.7661711336938157,fftw,-16.5669,33.24760150909424,theta-knl,128,256,64,False,3,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.3609982576067465,0.987107043924597,0.0174276668829794,fftw,-10.0558,33.15920114517212,theta-knl,128,256,64,False,4,4
double,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.4748435203730179,0.9727478288754832,0.3316963207331893,fftw,-9.6242,33.187084436416626,theta-knl,128,256,64,False,5,4
float,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.9485766923223872,0.8857069063140851,0.4110995962745753,fftw,-17.933,38.69222903251648,theta-knl,128,256,64,False,2,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.9965521283216382,0.7451150743829926,0.6339246692854867,fftw,-20.652,39.021700859069824,theta-knl,128,256,64,False,4,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.9780808330952248,0.9951644325533684,0.6252803406018699,fftw,-16.4883,38.9858763217926,theta-knl,128,256,64,False,5,4
float,64,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.7456114041529619,0.963729886804266,0.6821155394474722,fftw,-15.9024,39.15895128250122,theta-knl,128,256,64,False,3,4
float,64,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.9992683325641644,0.9812267824045704,0.8065874905437531,fftw,-15.5052,44.55404472351074,theta-knl,128,256,64,False,2,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.9832474292674688,0.9690578642202612,0.0372436533930519,fftw,-15.739,44.92322897911072,theta-knl,128,256,64,False,5,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.617827217748063,0.9429742450250936,0.055627663464429,fftw,-12.8319,44.930569887161255,theta-knl,128,256,64,False,4,4
float,64,-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,0.7007213113211596,0.9987337358299584,0.8892624434068773,fftw,-15.8833,44.9261372089386,theta-knl,128,256,64,False,3,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.9818853193849848,0.4090765198517526,0.127990161227687,fftw,-14.8842,50.45738434791565,theta-knl,128,256,64,False,2,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.8867465596294037,0.8871378397123981,0.1393994218869117,fftw,-17.2223,50.80772376060486,theta-knl,128,256,64,False,3,4
double,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.96740854394522,0.9275026222186636,0.1737430052840832,fftw,-12.2414,50.878190994262695,theta-knl,128,256,64,False,4,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.9999417490633,0.8305391470794891,0.7502188975635349,fftw,-15.9759,50.74366092681885,theta-knl,128,256,64,False,5,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.9703989888085396,0.7600682188941181,0.0155572310484739,fftw,-19.756,56.35059595108032,theta-knl,128,256,64,False,2,4
