p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,128,-reorder, ,-p2p,-pencils,-r2c_dir 0,0.635474366725325,0.9370022090104668,0.6957425301982041,fftw,-78.4192,21.964532375335693,theta-knl,256,256,64,False,4,4
float,128,-reorder, ,-p2p,-pencils,-r2c_dir 1,0.6405619981593244,0.7170756664497278,0.2920169597242041,fftw,-83.434,22.06902527809143,theta-knl,256,256,64,False,5,4
float,128,-reorder, ,-p2p,-slabs,-r2c_dir 0,0.5091727540149864,0.6815662567395497,0.4182117355583626,fftw,-17.6361,22.277836799621586,theta-knl,256,256,64,False,2,4
double,128,-no-reorder, , ,-slabs,-r2c_dir 0,0.8080365363966451,0.5411820938821741,0.8398869729765728,fftw,-18.0697,22.37288761138916,theta-knl,256,256,64,False,3,4
float,128,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.5307892561684581,0.836745488103039,0.2388523390840192,fftw,-61.3306,28.07097887992859,theta-knl,256,256,64,False,4,4
float,128,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.1970700279569276,0.6618949332748358,0.1384553707453991,fftw,-64.7306,28.18645572662353,theta-knl,256,256,64,False,5,4
float,128,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,0.3759866414291004,0.7693878452657934,0.954635468352253,fftw,-80.8641,28.51630401611328,theta-knl,256,256,64,False,3,4
double,128,-reorder, , ,-pencils,-r2c_dir 0,0.5171322235317218,0.6398453119115426,0.926198151853315,fftw,-36.8637,28.566121339797974,theta-knl,256,256,64,False,2,4
double,128,-reorder, , ,-pencils,-r2c_dir 0,0.8615377958484675,0.2905328197516142,0.1749636015851775,fftw,-47.7081,34.28343343734741,theta-knl,256,256,64,False,4,4
double,128,-reorder, ,-p2p,-pencils,-r2c_dir 0,0.4618659047860363,0.8049511797504307,0.4707078644499601,fftw,-40.9016,34.39963698387146,theta-knl,256,256,64,False,5,4
float,128,-reorder,-a2av, ,-pencils,-r2c_dir 2,0.1490659599258812,0.8492063444945952,0.9461266150465564,fftw,-52.3031,34.674185037612915,theta-knl,256,256,64,False,3,4
double,128,-reorder, ,-p2p,-pencils,-r2c_dir 0,0.3993152642993967,0.999507160597527,0.5678243445676465,fftw,-30.7514,34.95091390609741,theta-knl,256,256,64,False,2,4
float,128,-reorder,-a2av, ,-pencils,-r2c_dir 2,0.4269635425996259,0.7304637592674896,0.2054119151931267,fftw,-77.9111,40.41685509681702,theta-knl,256,256,64,False,5,4
double,128,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.1068245592623,0.5037508232168497,0.0151262563096584,fftw,-22.4283,40.58684229850769,theta-knl,256,256,64,False,4,4
float,128,-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.6754867253653024,0.7836112896568901,0.3141294689169583,fftw,-86.0025,40.806917905807495,theta-knl,256,256,64,False,3,4
float,128,-reorder,-a2a, ,-slabs,-r2c_dir 0,0.4141647993053311,0.7577345953962926,0.0159706840269493,fftw,-4.80993,41.766576290130615,theta-knl,256,256,64,False,2,4
float,128,-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.3735373459486052,0.7435913410361756,0.2787603718256403,fftw,-78.4132,46.53879261016846,theta-knl,256,256,64,False,5,4
float,128,-reorder,-a2a, ,-pencils,-r2c_dir 0,0.3036920969992095,0.7977002862121192,0.0844684826663231,fftw,-33.7669,46.66409754753113,theta-knl,256,256,64,False,4,4
float,128,-reorder, ,-p2p,-pencils,-r2c_dir 2,0.7945004826928297,0.2772931442021632,0.1881569922190722,fftw,-76.7866,46.77800965309143,theta-knl,256,256,64,False,3,4
float,128,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.6553690890619545,0.6859357110897657,0.4089725542639564,fftw,-67.02,47.91337990760803,theta-knl,256,256,64,False,2,4
float,128,-reorder, ,-p2p,-pencils,-r2c_dir 0,0.9008770439267624,0.2230819707019024,0.4498974573209457,fftw,-109.569,52.56731557846069,theta-knl,256,256,64,False,5,4
float,128,-reorder, , ,-slabs,-r2c_dir 0,0.4640706736903602,0.8071191135304263,0.0221928243041733,fftw,-30.3893,53.05950808525085,theta-knl,256,256,64,False,3,4
double,128,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.4364017087968248,0.986687794028869,0.7778048663940034,fftw,-29.779,53.08786082267761,theta-knl,256,256,64,False,4,4
float,128,-reorder,-a2av, ,-pencils,-r2c_dir 1,0.885677085237058,0.7671690028257305,0.5274621465321174,fftw,-70.0586,54.00884699821472,theta-knl,256,256,64,False,2,4
float,128,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.2662355362095223,0.3507669120464091,0.671772326033213,fftw,-41.8133,58.79631543159485,theta-knl,256,256,64,False,5,4
float,128,-reorder, ,-p2p,-slabs,-r2c_dir 0,0.217811935781247,0.6570116785014726,0.1403057773616964,fftw,-13.611,59.47915053367615,theta-knl,256,256,64,False,3,4
