p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,256,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.7408839351737029,0.8831380176957325,0.4568195467429178,fftw,-179.041,23.190636157989506,theta-knl,512,256,64,False,2,4
float,256,-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.8447697321735094,0.7715876147964081,0.0385482668567314,fftw,-211.054,23.21266436576844,theta-knl,512,256,64,False,3,4
float,256,-reorder, , ,-pencils,-r2c_dir 0,0.9497683915037756,0.4430073708927325,0.9570188284215052,fftw,-239.074,23.21627879142761,theta-knl,512,256,64,False,4,4
float,256,-reorder, , ,-pencils,-r2c_dir 2,0.7530760922097305,0.3052274057353474,0.7951631600829265,fftw,-179.674,23.32830142974853,theta-knl,512,256,64,False,5,4
float,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.7281611128473297,0.936055471157456,0.6266723687494116,fftw,-203.741,30.19598627090454,theta-knl,512,256,64,False,2,4
float,256,-no-reorder, , ,-pencils,-r2c_dir 0,0.1316632640490568,0.91072438747537,0.4930976988678898,fftw,-109.286,30.415443897247314,theta-knl,512,256,64,False,3,4
float,256,-no-reorder,-a2a, ,-pencils,-r2c_dir 1,0.4889900623647036,0.687479553244207,0.2477769181098113,fftw,-11.9528,32.84711766242981,theta-knl,512,256,64,False,4,4
float,256,-reorder,-a2av, ,-slabs,-r2c_dir 1,0.2902438855212625,0.6781552209639553,0.2820187112696345,fftw,-80.8404,30.41303658485413,theta-knl,512,256,64,False,5,4
double,256,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.8543985058164419,0.8987947297333522,0.1903005302202887,fftw,-99.8594,37.30874943733215,theta-knl,512,256,64,False,2,4
float,256,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.5893119131233133,0.8328849212674666,0.8808286255881341,fftw,-217.347,37.39286947250366,theta-knl,512,256,64,False,3,4
float,256,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,0.1231802225499358,0.4169619068391497,0.8473182230685968,fftw,-133.012,37.475212812423706,theta-knl,512,256,64,False,5,4
float,256,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9386330166093044,0.228156647190427,0.2004118938346164,fftw,-281.202,39.54957389831543,theta-knl,512,256,64,False,4,4
float,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.0365485789119691,0.8620718977345002,0.891622674351829,fftw,-248.122,44.12263631820679,theta-knl,512,256,64,False,2,4
float,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.7656378192891847,0.6232406277903179,0.8076809935235685,fftw,-190.189,44.30449342727661,theta-knl,512,256,64,False,3,4
double,256,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.9657400981763282,0.9138554857003638,0.926752417430178,fftw,-77.9746,44.91327381134033,theta-knl,512,256,64,False,5,4
float,256,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.4375144414705659,0.9954720946030788,0.2024307903718475,fftw,-217.751,46.50883984565735,theta-knl,512,256,64,False,4,4
float,256,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.7930807240622648,0.8765622803142287,0.9765489055382102,fftw,-169.834,50.98030233383179,theta-knl,512,256,64,False,2,4
double,256,-reorder, , ,-pencils,-r2c_dir 0,0.3719943396812455,0.8781691007942164,0.5169204097850317,fftw,-124.703,51.601051330566406,theta-knl,512,256,64,False,3,4
float,256,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,0.9059286145489014,0.9136393459309882,0.0920358014876859,fftw,-167.79,51.74721670150757,theta-knl,512,256,64,False,5,4
float,256,-reorder, , ,-pencils,-r2c_dir 1,0.667729557296509,0.995815992107364,0.9696718159067094,fftw,-202.713,53.408438205718994,theta-knl,512,256,64,False,4,4
float,256,-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,0.9058605925133764,0.9992842059714226,0.8177273455845842,fftw,-164.793,57.937867164611816,theta-knl,512,256,64,False,2,4
float,256,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.7709796989789123,0.5642158100890023,0.9513335951692716,fftw,-234.592,58.50302314758301,theta-knl,512,256,64,False,3,4
float,256,-no-reorder, , ,-pencils,-r2c_dir 1,0.6165300611469956,0.5694628843635157,0.6623475313646666,fftw,-193.21,58.82646942138672,theta-knl,512,256,64,False,5,4
double,256,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.9819169893503384,0.9671211912117518,0.0258286563191475,fftw,-117.301,60.56118059158325,theta-knl,512,256,64,False,4,4
float,256,-reorder,-a2av, ,-pencils,-r2c_dir 2,0.0399233309068581,0.8956373803404061,0.8802452371392204,fftw,-199.392,64.88584184646606,theta-knl,512,256,64,False,2,4
float,256,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.2798086192603039,0.5377894036255008,0.5810573405766543,fftw,-226.421,65.33451509475708,theta-knl,512,256,64,False,3,4
float,256,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,0.9941884059796802,0.3973394189676775,0.7768740895222941,fftw,-187.638,65.69627285003662,theta-knl,512,256,64,False,5,4
float,256,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.5944762792337135,0.4940725505284102,0.957884393046334,fftw,-232.431,67.49086236953735,theta-knl,512,256,64,False,4,4
float,256,-reorder,-a2av, ,-pencils,-r2c_dir 2,0.3583334072614162,0.5271397957051871,0.7123149539899533,fftw,-217.099,71.66814541816711,theta-knl,512,256,64,False,2,4
float,256,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.8636578946210716,0.950545222575062,0.4576227754967505,fftw,-234.98,72.14879822731018,theta-knl,512,256,64,False,3,4
