p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,128,-reorder, ,-p2p,-slabs, ,0.5091727540149864,0.6815662567395497,0.41821173555836266,fftw,-17.6361,22.277836799621582,theta-knl,256,256,64,False,2,4
double,128,-no-reorder, , ,-slabs,-r2c_dir 0,0.8080365363966451,0.5411820938821741,0.8398869729765728,fftw,-18.0697,22.37288761138916,theta-knl,256,256,64,False,3,4
float,128, , ,-p2p, ,-r2c_dir 0,0.635474366725325,0.9370022090104668,0.6957425301982041,fftw,-78.4192,21.964532375335693,theta-knl,256,256,64,False,4,4
float,128, , ,-p2p, ,-r2c_dir 1,0.6405619981593244,0.7170756664497278,0.29201695972420416,fftw,-83.434,22.06902527809143,theta-knl,256,256,64,False,5,4
float,128,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.5307892561684581,0.836745488103039,0.23885233908401926,fftw,-61.3306,28.07097887992859,theta-knl,256,256,64,False,4,4
float,128,-no-reorder,-a2av, , , ,0.19707002795692763,0.6618949332748358,0.13845537074539918,fftw,-64.7306,28.186455726623535,theta-knl,256,256,64,False,5,4
double,128, , , , ,-r2c_dir 0,0.5171322235317218,0.6398453119115426,0.926198151853315,fftw,-36.8637,28.566121339797974,theta-knl,256,256,64,False,2,4
float,128,-no-reorder,-a2a,-p2p, ,-r2c_dir 2,0.3759866414291004,0.7693878452657934,0.954635468352253,fftw,-80.8641,28.51630401611328,theta-knl,256,256,64,False,3,4
double,128,-reorder, , , ,-r2c_dir 0,0.8615377958484675,0.29053281975161427,0.1749636015851775,fftw,-47.7081,34.28343343734741,theta-knl,256,256,64,False,4,4
double,128, , ,-p2p, , ,0.4618659047860363,0.8049511797504307,0.4707078644499601,fftw,-40.9016,34.39963698387146,theta-knl,256,256,64,False,5,4
float,128, ,-a2av, , ,-r2c_dir 2,0.1490659599258812,0.8492063444945952,0.9461266150465563,fftw,-52.3031,34.674185037612915,theta-knl,256,256,64,False,3,4
double,128, , ,-p2p,-pencils, ,0.3993152642993967,0.999507160597527,0.5678243445676465,fftw,-30.7514,34.95091390609741,theta-knl,256,256,64,False,2,4
double,128,-no-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,0.10682455926230003,0.5037508232168497,0.015126256309658456,fftw,-22.4283,40.58684229850769,theta-knl,256,256,64,False,4,4
float,128,-reorder,-a2av, , ,-r2c_dir 2,0.4269635425996259,0.7304637592674896,0.20541191519312677,fftw,-77.9111,40.41685509681702,theta-knl,256,256,64,False,5,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 2,0.6754867253653024,0.7836112896568901,0.3141294689169583,fftw,-86.0025,40.806917905807495,theta-knl,256,256,64,False,3,4
float,128,-reorder,-a2a, ,-slabs, ,0.4141647993053311,0.7577345953962926,0.015970684026949396,fftw,-4.80993,41.766576290130615,theta-knl,256,256,64,False,2,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 2,0.37353734594860527,0.7435913410361756,0.2787603718256403,fftw,-78.4132,46.53879261016846,theta-knl,256,256,64,False,5,4
float,128,-reorder,-a2a, , ,-r2c_dir 0,0.3036920969992095,0.7977002862121192,0.08446848266632313,fftw,-33.7669,46.66409754753113,theta-knl,256,256,64,False,4,4
float,128,-reorder, ,-p2p,-pencils,-r2c_dir 2,0.7945004826928297,0.2772931442021632,0.18815699221907226,fftw,-76.7866,46.77800965309143,theta-knl,256,256,64,False,3,4
float,128,-reorder,-a2av, , , ,0.6553690890619545,0.6859357110897657,0.40897255426395646,fftw,-67.02,47.91337990760803,theta-knl,256,256,64,False,2,4
float,128,-reorder, ,-p2p, , ,0.9008770439267625,0.22308197070190244,0.4498974573209457,fftw,-109.569,52.56731557846069,theta-knl,256,256,64,False,5,4
double,128, ,-a2av,-p2p, ,-r2c_dir 0,0.4364017087968248,0.986687794028869,0.7778048663940034,fftw,-29.779,53.08786082267761,theta-knl,256,256,64,False,4,4
float,128, , , ,-slabs, ,0.46407067369036026,0.8071191135304263,0.022192824304173336,fftw,-30.3893,53.059508085250854,theta-knl,256,256,64,False,3,4
float,128,-reorder,-a2av, ,-pencils,-r2c_dir 1,0.885677085237058,0.7671690028257305,0.5274621465321174,fftw,-70.0586,54.00884699821472,theta-knl,256,256,64,False,2,4
float,128, ,-a2av,-p2p, , ,0.2662355362095223,0.3507669120464091,0.671772326033213,fftw,-41.8133,58.79631543159485,theta-knl,256,256,64,False,5,4
float,128, , ,-p2p,-slabs,-r2c_dir 0,0.21781193578124708,0.6570116785014726,0.14030577736169647,fftw,-13.611,59.47915053367615,theta-knl,256,256,64,False,3,4
float,128,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 2,0.8391681077113552,0.8281348911635333,0.2725445454323346,fftw,-21.9571,59.770697355270386,theta-knl,256,256,64,False,4,4
float,128, , ,-p2p_pl, , ,0.306804985351532,0.9229354355115831,0.23890769436657439,fftw,-43.421,60.15758466720581,theta-knl,256,256,64,False,2,4
float,128, ,-a2av,-p2p,-slabs,-r2c_dir 1,0.4659940461439484,0.6390868088289103,0.14547706344976863,fftw,-17.8775,65.1412558555603,theta-knl,256,256,64,False,5,4
float,128,-reorder, , , , ,0.7559597441160346,0.5287337189667574,0.3305837821803549,fftw,-68.1314,65.59775757789612,theta-knl,256,256,64,False,3,4
