p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.9990192513609853,0.8025897673797344,0.48668722228327954,fftw,-18.7737,23.37811779975891,theta-knl,128,256,64,False,2,4
float,64,-reorder,-a2av,-p2p, ,-r2c_dir 0,0.9942386931047236,0.7822829678759303,0.8565526660056082,fftw,-20.0061,23.35285186767578,theta-knl,128,256,64,False,3,4
float,64,-reorder, ,-p2p_pl, ,-r2c_dir 0,0.9882529310569218,0.521778269545507,0.010941413639906172,fftw,-20.9081,23.269139289855957,theta-knl,128,256,64,False,4,4
float,64,-reorder, ,-p2p_pl, ,-r2c_dir 0,0.9997480982450859,0.3729864944010078,0.09893346105860412,fftw,-17.1361,23.289604425430298,theta-knl,128,256,64,False,5,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.9542524098827464,0.5085789512322355,0.5584873695147038,fftw,-21.9162,29.058439016342163,theta-knl,128,256,64,False,4,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.9995861043436715,0.9735271223205422,0.3689714215194814,fftw,-18.379,29.2247097492218,theta-knl,128,256,64,False,5,4
double,64,-reorder,-a2av,-p2p, ,-r2c_dir 0,0.9953633259157447,1.0260096150428182,0.5238139187712284,fftw,-9.71424,29.436742067337036,theta-knl,128,256,64,False,3,4
float,64,-reorder, ,-p2p_pl, , ,0.8995353993732039,0.8458065644864895,0.7696200789405052,fftw,-18.4899,29.307010173797607,theta-knl,128,256,64,False,2,4
float,64,-reorder,-a2a, , ,-r2c_dir 0,0.9996676286072107,0.41347396884955584,0.9248453729153412,fftw,-6.12613,34.95278763771057,theta-knl,128,256,64,False,4,4
float,64,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.9963096156507028,0.8217622738764456,0.027968577049064018,fftw,-20.3983,35.015275716781616,theta-knl,128,256,64,False,5,4
float,64,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.9736606250742953,1.2220102837596385,0.02337576037995268,fftw,-16.7981,35.114781618118286,theta-knl,128,256,64,False,2,4
double,64,-reorder, , ,-slabs,-r2c_dir 0,0.955590472315988,0.7493854326742447,0.04295394242427575,fftw,-5.39132,35.37890291213989,theta-knl,128,256,64,False,3,4
float,64,-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,0.9992118385305004,0.8002674159155805,0.10070155093805899,fftw,-16.0105,40.84060096740723,theta-knl,128,256,64,False,4,4
float,64,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.9947389934302421,0.6057465400222041,0.16453447478287359,fftw,-18.4595,40.867517948150635,theta-knl,128,256,64,False,5,4
float,64,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.9602751775972139,0.27588580910630917,0.7889727314219391,fftw,-22.2889,40.98010730743408,theta-knl,128,256,64,False,2,4
float,64,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,0.9975149958386077,0.875243217541059,0.49433764665849894,fftw,-5.96563,41.290783166885376,theta-knl,128,256,64,False,3,4
