p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64,-reorder,-a2a, , , ,1.0155666873604279,0.823403395472882,0.33630209365966746,fftw,-2.29845,24.231741428375244,theta-knl,256,256,64,False,2,4
float,64, ,-a2a, , , ,1.0626939485011189,0.7564112015180512,0.7087881092826392,fftw,-5.14041,24.186851978302002,theta-knl,256,256,64,False,3,4
float,64,-no-reorder,-a2av, , , ,0.9705024288690289,0.9412303746224364,0.08027026189088961,fftw,-12.5182,24.058062076568604,theta-knl,256,256,64,False,4,4
float,64, , , , , ,0.7271783845352431,0.8485895574064842,0.5839916791759727,fftw,-11.0422,24.139909267425537,theta-knl,256,256,64,False,5,4
double,64,-reorder,-a2av, , , ,0.9588601767677609,0.6061521192580334,0.004784126550861452,fftw,-14.0501,30.17091989517212,theta-knl,256,256,64,False,4,4
float,64, ,-a2av,-p2p_pl, , ,0.9411994630060256,0.8734781597980459,0.7219785158398235,fftw,-14.9503,30.32571029663086,theta-knl,256,256,64,False,5,4
float,64, ,-a2av, , , ,1.1391102105937865,0.9981720654378332,0.9567387549557,fftw,-12.791,30.32123327255249,theta-knl,256,256,64,False,3,4
float,64, ,-a2av, , ,-r2c_dir 1,1.0400113457389413,1.1722313048519106,0.038667499663972565,fftw,-12.5421,30.36156415939331,theta-knl,256,256,64,False,2,4
float,64, ,-a2a,-p2p, , ,0.9761024376647445,0.3185521536844861,0.8555376971680562,fftw,-15.0387,36.344725370407104,theta-knl,256,256,64,False,4,4
float,64,-reorder, , , , ,1.099680964524957,1.0466374083697478,0.6581517916962524,fftw,-12.3344,36.53407573699951,theta-knl,256,256,64,False,3,4
float,64,-reorder,-a2av, , , ,1.1772741360865933,1.8851772887846479,0.5649613974510301,fftw,-12.8439,36.356505155563354,theta-knl,256,256,64,False,5,4
double,64, , , , , ,0.8632470133174461,1.4196208499787073,0.43885180640989535,fftw,-9.32193,36.50775647163391,theta-knl,256,256,64,False,2,4
double,64,-no-reorder, ,-p2p_pl, , ,1.0518010961989113,0.9800524906151681,0.44625482110471204,fftw,-10.5359,42.55248022079468,theta-knl,256,256,64,False,4,4
double,64,-no-reorder, , ,-slabs, ,1.150205173949777,0.7258530123986519,0.3936020892522807,fftw,-1.47525,42.74314522743225,theta-knl,256,256,64,False,5,4
float,64, , , , , ,1.1077165013979773,0.49241413883694685,0.006032461450999608,fftw,-16.5567,42.66706585884094,theta-knl,256,256,64,False,2,4
double,64,-reorder,-a2av,-p2p_pl, , ,0.9701640658040525,0.512538083413767,0.4227737265204032,fftw,-11.5448,42.70297431945801,theta-knl,256,256,64,False,3,4
float,64,-reorder, ,-p2p, , ,1.1739622827780636,0.7921980977153459,0.02752425401712926,fftw,-16.0323,48.629732608795166,theta-knl,256,256,64,False,4,4
double,64, ,-a2av,-p2p, , ,0.8825122253721194,0.5638187179625589,0.17644065563736816,fftw,-12.4448,48.746588468551636,theta-knl,256,256,64,False,2,4
float,64,-reorder,-a2a,-p2p_pl, , ,0.966108941924178,0.3406936653765932,0.22324974753731933,fftw,-13.6912,48.749773263931274,theta-knl,256,256,64,False,3,4
float,64, ,-a2av, , , ,1.1562297504893682,0.43361108013428196,0.24543478814467704,fftw,-28.5975,48.77619552612305,theta-knl,256,256,64,False,5,4
float,64,-reorder, ,-p2p_pl, , ,1.1850027405562429,0.31432034599633274,0.3909193491053894,fftw,-14.4299,54.758028984069824,theta-knl,256,256,64,False,4,4
float,64,-reorder,-a2av, , , ,1.2443482325525892,1.2917610780349063,0.4584856060068009,fftw,-13.0875,54.772700786590576,theta-knl,256,256,64,False,2,4
float,64,-reorder,-a2av, , , ,0.67170200437692,0.6319586916809865,0.5837402915335435,fftw,-15.2903,54.82875156402588,theta-knl,256,256,64,False,3,4
float,64, ,-a2av, , , ,0.9471591779797421,0.29998108764016906,0.03669957012481445,fftw,-12.3354,54.961058616638184,theta-knl,256,256,64,False,5,4
float,64,-no-reorder,-a2av,-p2p, , ,0.9959518189994778,1.2628789573119445,0.5962284006839534,fftw,-13.9735,60.7868914604187,theta-knl,256,256,64,False,4,4
float,64,-reorder, , , , ,0.8637807355532754,1.0555939512134738,0.49479147663329365,fftw,-13.7321,60.865684270858765,theta-knl,256,256,64,False,2,4
float,64,-reorder, , , , ,0.8458414105075374,0.5116254302463782,0.003845602640885806,fftw,-11.739,60.87065625190735,theta-knl,256,256,64,False,3,4
float,64, ,-a2av, , , ,0.7827895370341285,1.0747496787237258,0.04145100582000892,fftw,-12.6431,61.10112190246582,theta-knl,256,256,64,False,5,4
float,64,-reorder,-a2av, , , ,0.6150928206866411,0.7373592721736697,0.08693766534084402,fftw,-12.5668,66.91825747489929,theta-knl,256,256,64,False,4,4
float,64, , , , , ,0.9955168441670388,0.46236001188532183,0.5947892510262229,fftw,-18.1764,67.04957032203674,theta-knl,256,256,64,False,2,4
