p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9705024288690288,0.9412303746224364,0.0802702618908896,fftw,-12.5182,24.058062076568604,theta-knl,256,256,64,False,4,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.7271783845352431,0.8485895574064842,0.5839916791759727,fftw,-11.0422,24.139909267425537,theta-knl,256,256,64,False,5,4
float,64,-reorder,-a2a, ,-pencils,-r2c_dir 0,1.0626939485011189,0.7564112015180512,0.7087881092826392,fftw,-5.14041,24.186851978302,theta-knl,256,256,64,False,3,4
float,64,-reorder,-a2a, ,-pencils,-r2c_dir 0,1.015566687360428,0.823403395472882,0.3363020936596674,fftw,-2.29845,24.231741428375244,theta-knl,256,256,64,False,2,4
double,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9588601767677608,0.6061521192580334,0.0047841265508614,fftw,-14.0501,30.17091989517212,theta-knl,256,256,64,False,4,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,1.1391102105937865,0.9981720654378332,0.9567387549557,fftw,-12.791,30.32123327255249,theta-knl,256,256,64,False,3,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.9411994630060256,0.8734781597980459,0.7219785158398235,fftw,-14.9503,30.32571029663086,theta-knl,256,256,64,False,5,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 1,1.0400113457389413,1.1722313048519106,0.0386674996639725,fftw,-12.5421,30.36156415939331,theta-knl,256,256,64,False,2,4
float,64,-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,0.9761024376647444,0.3185521536844861,0.8555376971680562,fftw,-15.0387,36.344725370407104,theta-knl,256,256,64,False,4,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,1.1772741360865933,1.885177288784648,0.5649613974510301,fftw,-12.8439,36.35650515556336,theta-knl,256,256,64,False,5,4
double,64,-reorder, , ,-pencils,-r2c_dir 0,0.8632470133174461,1.4196208499787073,0.4388518064098953,fftw,-9.32193,36.50775647163391,theta-knl,256,256,64,False,2,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,1.099680964524957,1.0466374083697478,0.6581517916962524,fftw,-12.3344,36.53407573699951,theta-knl,256,256,64,False,3,4
double,64,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,1.0518010961989113,0.980052490615168,0.446254821104712,fftw,-10.5359,42.55248022079468,theta-knl,256,256,64,False,4,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,1.1077165013979773,0.4924141388369468,0.0060324614509996,fftw,-16.5567,42.66706585884094,theta-knl,256,256,64,False,2,4
double,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.9701640658040523,0.512538083413767,0.4227737265204032,fftw,-11.5448,42.70297431945801,theta-knl,256,256,64,False,3,4
double,64,-no-reorder, , ,-slabs,-r2c_dir 0,1.150205173949777,0.7258530123986519,0.3936020892522807,fftw,-1.47525,42.74314522743225,theta-knl,256,256,64,False,5,4
float,64,-reorder, ,-p2p,-pencils,-r2c_dir 0,1.1739622827780636,0.7921980977153459,0.0275242540171292,fftw,-16.0323,48.629732608795166,theta-knl,256,256,64,False,4,4
double,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.8825122253721194,0.5638187179625589,0.1764406556373681,fftw,-12.4448,48.74658846855164,theta-knl,256,256,64,False,2,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.966108941924178,0.3406936653765932,0.2232497475373193,fftw,-13.6912,48.74977326393128,theta-knl,256,256,64,False,3,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,1.1562297504893682,0.4336110801342819,0.245434788144677,fftw,-28.5975,48.77619552612305,theta-knl,256,256,64,False,5,4
float,64,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,1.1850027405562429,0.3143203459963327,0.3909193491053894,fftw,-14.4299,54.758028984069824,theta-knl,256,256,64,False,4,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,1.2443482325525892,1.2917610780349065,0.4584856060068009,fftw,-13.0875,54.772700786590576,theta-knl,256,256,64,False,2,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.67170200437692,0.6319586916809865,0.5837402915335435,fftw,-15.2903,54.82875156402588,theta-knl,256,256,64,False,3,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.947159177979742,0.299981087640169,0.0366995701248144,fftw,-12.3354,54.96105861663818,theta-knl,256,256,64,False,5,4
float,64,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.9959518189994778,1.2628789573119443,0.5962284006839534,fftw,-13.9735,60.7868914604187,theta-knl,256,256,64,False,4,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.8637807355532754,1.0555939512134738,0.4947914766332936,fftw,-13.7321,60.865684270858765,theta-knl,256,256,64,False,2,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.8458414105075374,0.5116254302463782,0.0038456026408858,fftw,-11.739,60.87065625190735,theta-knl,256,256,64,False,3,4
