p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.9888372907023004,0.6215217293856382,0.2157010504597982,fftw,-9.64625,24.398150205612183,theta-knl,512,256,64,False,2,4
float,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.8814179642500216,0.9752921165829338,0.3760462509885878,fftw,-9.81356,24.45591711997986,theta-knl,512,256,64,False,5,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.994772562747349,1.000143080993877,0.0133729964616067,fftw,-9.4485,24.46221375465393,theta-knl,512,256,64,False,4,4
double,64,-reorder,-a2a, ,-pencils,-r2c_dir 0,0.9877239255008148,0.8192499596474984,0.3443370277247756,fftw,-1.86673,24.792001724243164,theta-knl,512,256,64,False,3,4
float,64,-no-reorder, , ,-pencils,-r2c_dir 0,0.8601125232670261,0.8360972620457913,0.0897390842388405,fftw,-12.6112,31.16555404663086,theta-knl,512,256,64,False,2,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.3765153079139477,0.5515356122588295,0.0744911769442183,fftw,-8.19112,31.224559545516968,theta-knl,512,256,64,False,5,4
double,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.8271727990254875,0.80446926027579,0.1598914613639615,fftw,-3.27661,31.44927144050598,theta-knl,512,256,64,False,4,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.5098118212279154,0.8795388632953934,0.2495871682034288,fftw,-8.62949,31.606101989746094,theta-knl,512,256,64,False,3,4
float,64,-reorder,-a2av, ,-slabs,-r2c_dir 0,0.7001279891369586,0.9384537826098572,0.1195811534265586,fftw,-4.26665,37.7868070602417,theta-knl,512,256,64,False,5,4
double,64,-reorder,-a2a, ,-pencils,-r2c_dir 0,0.998687542777724,0.5025790194102582,0.309930772452505,fftw,-2.78956,37.94744825363159,theta-knl,512,256,64,False,2,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.3552130385015592,0.9107887655254558,0.0304388859909451,fftw,-9.68117,38.23778200149536,theta-knl,512,256,64,False,4,4
double,64,-reorder,-a2av, ,-pencils,-r2c_dir 1,0.2110541999284149,1.0433055016181352,0.3108505490687392,fftw,-1.42512,38.57615399360657,theta-knl,512,256,64,False,3,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.9992270794383804,0.5055196128788271,0.0028768325702867,fftw,-12.823,44.61094832420349,theta-knl,512,256,64,False,2,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.9994313792586308,0.6738464615717015,0.7006070176130368,fftw,-9.61952,44.91361856460571,theta-knl,512,256,64,False,4,4
float,64,-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,0.4531373875379184,0.6765611834601867,0.0237652860388474,fftw,-5.63387,45.36615824699402,theta-knl,512,256,64,False,3,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.99947481715203,0.4390786228702722,0.1103546489488183,fftw,-10.0936,51.4229633808136,theta-knl,512,256,64,False,2,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.5243082647759281,0.6558553431264943,0.0883828576880831,fftw,-7.5056,51.70677733421326,theta-knl,512,256,64,False,4,4
float,64,-no-reorder,-a2a, ,-pencils,-r2c_dir 0,0.4146177584527628,0.3493794590942458,0.0068451918044222,fftw,1.0,55.837586641311646,theta-knl,512,256,64,False,5,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.7897372236846729,0.8596388317399184,0.0391366100194982,fftw,-8.90509,58.13953447341919,theta-knl,512,256,64,False,2,4
float,64,-reorder, ,-p2p,-slabs,-r2c_dir 0,0.999880462048478,0.3850309313490602,0.2678501247806882,fftw,-1.64207,58.61829352378845,theta-knl,512,256,64,False,4,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.3117680377059881,1.03845643157105,0.058749077574065,fftw,-9.74073,62.612135887146,theta-knl,512,256,64,False,5,4
float,64,-reorder,-a2a, ,-pencils,-r2c_dir 0,0.9998891838105988,0.1504087978620646,0.2069294392952528,fftw,1.0,63.50951075553894,theta-knl,512,256,64,False,3,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.6938875562815948,0.8952036970209662,0.051344514656035,fftw,-8.60113,64.86584615707397,theta-knl,512,256,64,False,2,4
float,64,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.9978537953528296,0.7880618892556994,0.2512027202924397,fftw,-10.0285,65.39358186721802,theta-knl,512,256,64,False,4,4
float,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.430635348833711,0.6659131765638264,0.0674177823672777,fftw,-6.71243,69.329256772995,theta-knl,512,256,64,False,5,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.8659378058808773,0.5132412732002305,0.113315254985667,fftw,-12.263,70.11239624023438,theta-knl,512,256,64,False,3,4
