p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.662381843672912,0.4062449651264114,0.1378890211374126,fftw,-315.811,25.52827334403992,theta-knl,512,256,64,False,3,4
float,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.9858988787303312,0.3250084174075496,0.9342437073315591,fftw,-285.676,25.60483026504517,theta-knl,512,256,64,False,4,4
float,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.9185947443499228,0.3035459198468161,0.0895994383375224,fftw,-256.689,25.72442936897278,theta-knl,512,256,64,False,5,4
float,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.8386960589697735,0.2562039866768408,0.1807008549833932,fftw,-281.736,25.76362895965576,theta-knl,512,256,64,False,2,4
float,512,-reorder, , ,-pencils,-r2c_dir 1,0.8907917944715334,0.1344758140991925,0.1448048365664473,fftw,-333.9,33.104888677597046,theta-knl,512,256,64,False,4,4
float,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.9200297695127444,0.1703880601038903,0.968144528527008,fftw,-299.73,33.29733967781067,theta-knl,512,256,64,False,2,4
float,512,-no-reorder, , ,-pencils,-r2c_dir 2,0.979858838073848,0.2176770348784427,0.8620654602130722,fftw,-261.939,33.34566855430603,theta-knl,512,256,64,False,3,4
double,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.7116773414752042,0.315596104863733,0.3659011728254386,fftw,-216.901,33.866143226623535,theta-knl,512,256,64,False,5,4
float,512,-reorder, ,-p2p,-pencils,-r2c_dir 2,0.5662664289631786,0.4644523494245899,0.0499431117259616,fftw,-257.305,40.82885432243347,theta-knl,512,256,64,False,4,4
float,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.999740331034904,0.2477319957527814,0.0171537022558654,fftw,-336.432,41.34869933128357,theta-knl,512,256,64,False,5,4
float,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,0.9492918079926892,0.2303145727577662,0.1911780193014837,fftw,-147.902,41.703991413116455,theta-knl,512,256,64,False,2,4
float,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.967472830158014,0.1026995705433007,0.8911871552855336,fftw,-385.831,42.128318309783936,theta-knl,512,256,64,False,3,4
float,512,-reorder, ,-p2p,-pencils,-r2c_dir 2,0.9446433009137976,0.2360020985663563,0.8194471092120308,fftw,-247.388,49.02605605125427,theta-knl,512,256,64,False,5,4
float,512,-reorder, , ,-pencils,-r2c_dir 1,0.9439488120983802,0.1988288865325477,0.0542749044089406,fftw,-397.441,49.4607994556427,theta-knl,512,256,64,False,3,4
float,512,-no-reorder, ,-p2p,-slabs,-r2c_dir 0,0.9485887495754796,0.3179167401191312,0.6652093504084462,fftw,-181.262,49.80010509490967,theta-knl,512,256,64,False,2,4
float,512,-reorder, ,-p2p,-slabs,-r2c_dir 0,0.9558341046164528,0.1898515564334969,0.8144343011780918,fftw,-208.111,57.1245436668396,theta-knl,512,256,64,False,5,4
float,512,-no-reorder, , ,-pencils,-r2c_dir 1,0.9583935171792558,0.1805268395267402,0.550722793001426,fftw,-216.034,57.24542188644409,theta-knl,512,256,64,False,3,4
float,512,-reorder, ,-p2p,-slabs,-r2c_dir 2,0.5463590298075928,0.3911600962916394,0.267907408434933,fftw,-156.001,58.269481897354126,theta-knl,512,256,64,False,2,4
float,512,-reorder, ,-p2p,-pencils,-r2c_dir 0,0.9679023728521048,0.0563107599757055,0.3878644364561447,fftw,1.0,59.113311529159546,theta-knl,512,256,64,False,4,4
float,512,-reorder,-a2av, ,-slabs,-r2c_dir 2,0.4998523353940185,0.4822575631445255,0.4380750086116499,fftw,-169.692,65.03101968765259,theta-knl,512,256,64,False,3,4
float,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.999019677012588,0.2331318394050897,0.6519572668694535,fftw,-336.267,65.91765713691711,theta-knl,512,256,64,False,2,4
double,512,-reorder,-a2av, ,-pencils,-r2c_dir 2,0.9145222907709932,0.3386790719372168,0.9245296719712734,fftw,-128.992,66.3436107635498,theta-knl,512,256,64,False,5,4
float,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.963130826917238,0.2429310844265841,0.0646524329415724,fftw,-242.784,66.82017016410828,theta-knl,512,256,64,False,4,4
float,512,-no-reorder, , ,-pencils,-r2c_dir 0,0.803467581701227,0.4945755966433285,0.6207654102001509,fftw,-227.617,72.7633011341095,theta-knl,512,256,64,False,3,4
float,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,0.7821784657387584,0.1200213721177567,0.6606042658095611,fftw,-375.668,73.19062924385071,theta-knl,512,256,64,False,2,4
float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.910321644992148,0.1285527050762905,0.1317540858636613,fftw,-278.893,73.95720171928406,theta-knl,512,256,64,False,5,4
