p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64,-no-reorder,-a2av, , , ,0.8266347751774663,0.5504690573997548,0.8929572470555993,fftw,-5.07628,26.93462824821472,theta-knl,1024,256,64,False,2,4
float,64,-no-reorder,-a2av, , , ,0.9617407233138706,0.5854267177133095,0.5023279306400236,fftw,-7.21785,27.23157000541687,theta-knl,1024,256,64,False,3,4
double,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9968195331601417,0.5580361809364386,0.9840140005588411,fftw,-1.31176,27.597042083740234,theta-knl,1024,256,64,False,4,4
float,64,-reorder,-a2av, , ,-r2c_dir 0,0.9753124793532498,0.5153329611360576,0.8833118473057576,fftw,-6.76188,35.653449058532715,theta-knl,1024,256,64,False,2,4
float,64,-no-reorder, , ,-pencils,-r2c_dir 1,0.9509970998229491,0.5099415125104765,0.42880084719973793,fftw,-9.4349,35.809197664260864,theta-knl,1024,256,64,False,4,4
float,64, ,-a2av, ,-slabs,-r2c_dir 0,0.9920226790184021,0.44294858717866503,0.8554624941934604,fftw,1.0,36.67898964881897,theta-knl,1024,256,64,False,5,4
float,64,-reorder, , , ,-r2c_dir 0,0.9865811892569907,0.4742017240565885,0.3251374804082765,fftw,-7.36269,44.31591057777405,theta-knl,1024,256,64,False,2,4
float,64, , , , ,-r2c_dir 1,0.8275899004641845,0.5812245872383697,0.7126734438900201,fftw,-5.24112,44.35325789451599,theta-knl,1024,256,64,False,4,4
float,64,-no-reorder,-a2av, , ,-r2c_dir 0,0.952210835272674,0.4333318907662302,0.7279573745970632,fftw,1.0,44.58250403404236,theta-knl,1024,256,64,False,5,4
float,64, , , , ,-r2c_dir 0,0.8471924424254151,0.4203892464783692,0.8720405964997204,fftw,1.0,46.59996151924133,theta-knl,1024,256,64,False,3,4
float,64,-no-reorder, , , ,-r2c_dir 0,0.5430253448361624,0.38771234659246173,0.7146111540316962,fftw,-6.12071,53.15087866783142,theta-knl,1024,256,64,False,5,4
float,64,-no-reorder, , , ,-r2c_dir 0,0.7294858235822355,0.611766547456203,0.8678473346842719,fftw,-9.16378,54.438371658325195,theta-knl,1024,256,64,False,3,4
double,64,-reorder,-a2av, , ,-r2c_dir 0,0.7716319598311997,0.5760991382968023,0.3368591946250056,fftw,-1.82241,61.6781849861145,theta-knl,1024,256,64,False,5,4
float,64, ,-a2av, , ,-r2c_dir 0,0.9367279668926387,0.4695174408291233,0.9558366011306674,fftw,-7.16875,63.10539698600769,theta-knl,1024,256,64,False,3,4
float,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9999355045794946,0.45732216652049174,0.3244310906857548,fftw,1.0,63.92551875114441,theta-knl,1024,256,64,False,4,4
float,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9435240498527112,0.41055531713463733,0.37498066112272377,fftw,1.0,63.927212715148926,theta-knl,1024,256,64,False,2,4
double,64,-no-reorder,-a2av, , ,-r2c_dir 0,0.5462452018360763,0.5679650707988344,0.7581544186269367,fftw,-1.14826,70.67886209487915,theta-knl,1024,256,64,False,5,4
float,64,-reorder,-a2a, , ,-r2c_dir 0,0.9436922914545858,0.46631361660399323,0.7978735153028559,fftw,1.0,71.14051818847656,theta-knl,1024,256,64,False,3,4
double,64, ,-a2a, , , ,0.9721738383181238,0.4642237051188372,0.9335328036742486,fftw,1.0,72.37024688720703,theta-knl,1024,256,64,False,4,4
float,64, ,-a2av, , , ,0.5659711671673198,0.7057655363038106,0.9215598130525864,fftw,-9.39022,72.3998773097992,theta-knl,1024,256,64,False,2,4
float,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9989962022398113,0.41571302191619014,0.14863932539120048,fftw,1.0,79.08165550231934,theta-knl,1024,256,64,False,3,4
double,64,-no-reorder,-a2av, , ,-r2c_dir 2,0.6531806561782058,0.596957381078596,0.9787873448247318,fftw,-1.71539,79.12501859664917,theta-knl,1024,256,64,False,5,4
float,64, ,-a2av, ,-pencils,-r2c_dir 0,0.9900496200192805,0.44739382633486535,0.9864490356742187,fftw,1.0,80.30103540420532,theta-knl,1024,256,64,False,4,4
float,64,-reorder, , , , ,0.9937899840981623,0.6778202183759147,0.8959744744726494,fftw,-11.656,80.82150983810425,theta-knl,1024,256,64,False,2,4
float,64,-no-reorder,-a2av, , ,-r2c_dir 0,0.8525719169407173,0.368272191210414,0.9522521783938354,fftw,-6.6517,87.58137488365173,theta-knl,1024,256,64,False,3,4
float,64, ,-a2av, , ,-r2c_dir 0,0.7540177559547038,0.4708451610526613,0.8534733794668463,fftw,-6.46028,87.73327851295471,theta-knl,1024,256,64,False,5,4
