p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.8401344814770539,0.6408743824456576,0.9043042814508686,fftw,-7.04665,26.36913776397705,theta-knl,1024,256,64,False,2,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.7570497051454617,0.951902322507964,0.8465507270502965,fftw,-6.22044,26.873510360717773,theta-knl,1024,256,64,False,3,4
double,64,-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,0.7738156153542216,0.773662130440025,0.0892170155345635,fftw,-6.83261,26.74049210548401,theta-knl,1024,256,64,False,4,4
float,64,-no-reorder,-a2a, ,-slabs,-r2c_dir 2,0.1644410034082695,0.9324325244390164,0.8567122512616985,fftw,-1.0557,25.939165592193604,theta-knl,1024,256,64,False,5,4
float,64,-reorder, ,-p2p,-slabs,-r2c_dir 2,0.5054353545203722,0.9336961984336068,0.314615642627648,fftw,-0.818998,34.261213064193726,theta-knl,1024,256,64,False,5,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.2738927864221255,0.1158148602639952,0.7787858415157318,fftw,1.0,45.79803538322449,theta-knl,1024,256,64,False,2,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.6154016382036059,0.3456715018063908,0.2924809749113337,fftw,-8.83923,34.406909704208374,theta-knl,1024,256,64,False,4,4
float,64,-no-reorder, ,-p2p,-slabs,-r2c_dir 2,0.0939990368360682,0.9941865593452748,0.021622105544459,fftw,-5.9209,33.63311266899109,theta-knl,1024,256,64,False,3,4
float,64,-reorder,-a2a, ,-pencils,-r2c_dir 1,0.9359670507230444,0.6069384483665666,0.9457696619757148,fftw,-5.61791,41.605674505233765,theta-knl,1024,256,64,False,3,4
float,64,-reorder,-a2av,-p2p,-slabs,-r2c_dir 2,0.3512343360108743,0.2770553758335918,0.8909877879989582,fftw,-0.57756,42.60755562782288,theta-knl,1024,256,64,False,5,4
float,64,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.0656025937463235,0.596348383967073,0.1244210987354089,fftw,-0.587228,44.76052689552307,theta-knl,1024,256,64,False,4,4
float,64,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,0.1332803366923513,0.9746541437734904,0.9079387790529272,fftw,-1.70911,50.22811508178711,theta-knl,1024,256,64,False,3,4
float,64,-reorder, , ,-pencils,-r2c_dir 0,0.1203067441497384,0.198227077078898,0.9430715302033642,fftw,1.0,62.21078705787659,theta-knl,1024,256,64,False,5,4
float,64,-no-reorder, ,-p2p,-pencils,-r2c_dir 0,0.9736709541853352,0.3486481172416941,0.4524383861576631,fftw,-8.79281,52.95326805114746,theta-knl,1024,256,64,False,4,4
float,64,-reorder, ,-p2p,-pencils,-r2c_dir 0,0.9483847321225094,0.969378740872358,0.7094969627704227,fftw,-7.86039,54.00911474227905,theta-knl,1024,256,64,False,2,4
float,64,-reorder, ,-p2p,-pencils,-r2c_dir 2,0.5620062297726477,0.1118412972304824,0.9714227206034992,fftw,-7.66953,58.334717988967896,theta-knl,1024,256,64,False,3,4
double,64,-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,0.9557025950731566,0.630211135862326,0.6768884264297302,fftw,-0.361384,62.47186636924744,theta-knl,1024,256,64,False,4,4
float,64,-reorder, ,-p2p,-slabs,-r2c_dir 2,0.4239671303419301,0.480700925705151,0.2908210562986753,fftw,-0.649448,61.363996505737305,theta-knl,1024,256,64,False,2,4
float,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.9968545508676048,0.9256540393927482,0.8968616268128587,fftw,-8.40891,66.51754999160767,theta-knl,1024,256,64,False,3,4
float,64,-reorder, , ,-pencils,-r2c_dir 2,0.7414380781070815,0.0324208418869375,0.0597768975711772,fftw,1.0,68.64202070236206,theta-knl,1024,256,64,False,2,4
double,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,0.9945297324333487,0.1257985483631532,0.8204088064829239,fftw,1.0,69.64181756973267,theta-knl,1024,256,64,False,5,4
float,64,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.1786980063662132,0.5317626670017228,0.4174844896065964,fftw,-2.7815,70.3257348537445,theta-knl,1024,256,64,False,4,4
float,64,-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,0.2973881022368478,0.4490962800622749,0.859399101966049,fftw,-4.15011,74.300457239151,theta-knl,1024,256,64,False,3,4
float,64,-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.98017421653379,0.9640826641402404,0.229296523233492,fftw,-5.73675,76.84681010246277,theta-knl,1024,256,64,False,2,4
float,64,-reorder,-a2a, ,-pencils,-r2c_dir 1,0.0366324740905383,0.2464461641136824,0.4383573651201119,fftw,-4.51524,77.53094434738159,theta-knl,1024,256,64,False,5,4
float,64,-no-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,0.3583772103293455,0.6993557880897784,0.9232214291358288,fftw,-0.758339,78.7577896118164,theta-knl,1024,256,64,False,4,4
double,64,-reorder, , ,-pencils,-r2c_dir 0,0.9126727725070088,0.9994852128797896,0.4977632820128584,fftw,-1.17208,82.89514183998108,theta-knl,1024,256,64,False,3,4
double,64,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.077425939449083,0.9579368079347116,0.7543475100346132,fftw,-0.905874,85.38693642616272,theta-knl,1024,256,64,False,2,4
float,64,-reorder,-a2av, ,-slabs,-r2c_dir 2,0.0608310819557556,0.9373705574042032,0.2760271986697048,fftw,-6.47394,84.62396931648254,theta-knl,1024,256,64,False,5,4
float,64,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.9293624214652384,0.38189693148737,0.8242181257511811,fftw,-7.59687,87.00478768348694,theta-knl,1024,256,64,False,4,4
