c0,p0,p1,p2,p3,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_blosc.json,40,1,2,4,-4.90018,80.16851353645325,polaris-gpu,64,64,4,True,4,4
roibin_blosc.json,30,2,2,2,-6.12523,80.37021255493164,polaris-gpu,64,64,4,True,2,4
roibin_blosc.json,12,3,3,3,-6.89088,80.50170516967773,polaris-gpu,64,64,4,True,3,4
roibin_blosc.json,47,3,2,4,-5.18843,116.11238145828247,polaris-gpu,64,64,4,True,2,4
roibin_blosc.json,58,2,3,2,-5.49553,143.47819685935974,polaris-gpu,64,64,4,True,3,4
roibin_blosc.json,7,3,1,2,-5.95968,144.3152470588684,polaris-gpu,64,64,4,True,5,4
roibin_blosc.json,25,1,2,3,-6.65685,144.6377592086792,polaris-gpu,64,64,4,True,4,4
roibin_blosc.json,19,3,2,3,-6.43819,171.44369673728943,polaris-gpu,64,64,4,True,2,4
roibin_blosc.json,3,3,1,3,-5.93961,206.2817358970642,polaris-gpu,64,64,4,True,3,4
roibin_blosc.json,12,3,1,2,-5.89988,207.69348692893982,polaris-gpu,64,64,4,True,4,4
roibin_blosc.json,14,1,4,4,-6.34556,209.20674300193787,polaris-gpu,64,64,4,True,5,4
roibin_blosc.json,18,4,2,3,-5.74614,234.04971504211426,polaris-gpu,64,64,4,True,2,4
roibin_blosc.json,22,4,4,3,-6.00022,269.59436774253845,polaris-gpu,64,64,4,True,3,4
roibin_blosc.json,13,3,1,3,-6.39154,270.61423563957214,polaris-gpu,64,64,4,True,4,4
roibin_blosc.json,7,2,3,4,-4.80672,272.91778588294983,polaris-gpu,64,64,4,True,5,4
roibin_blosc.json,12,3,2,3,-6.36847,296.9709415435791,polaris-gpu,64,64,4,True,2,4
roibin_blosc.json,15,2,3,3,-4.70417,331.3927311897278,polaris-gpu,64,64,4,True,3,4
roibin_blosc.json,13,1,1,3,-6.81106,334.20468282699585,polaris-gpu,64,64,4,True,4,4
roibin_blosc.json,14,4,1,3,-6.70747,334.5241708755493,polaris-gpu,64,64,4,True,5,4
roibin_blosc.json,13,3,2,3,-5.15809,360.3530819416046,polaris-gpu,64,64,4,True,2,4
roibin_blosc.json,11,3,2,3,-5.11323,394.02650213241577,polaris-gpu,64,64,4,True,3,4
roibin_blosc.json,13,4,1,1,-8.95465,396.59994196891785,polaris-gpu,64,64,4,True,5,4
roibin_blosc.json,12,1,1,3,-6.78487,397.04829001426697,polaris-gpu,64,64,4,True,4,4
roibin_blosc.json,14,4,1,4,-6.48553,422.91510343551636,polaris-gpu,64,64,4,True,2,4
roibin_blosc.json,14,3,1,3,-6.00022,456.57113790512085,polaris-gpu,64,64,4,True,3,4
roibin_blosc.json,12,4,1,2,-5.86068,459.76448607444763,polaris-gpu,64,64,4,True,5,4
roibin_blosc.json,13,4,1,2,-6.36847,459.807914018631,polaris-gpu,64,64,4,True,4,4
roibin_blosc.json,13,1,1,1,-10.1383,484.56207060813904,polaris-gpu,64,64,4,True,2,4
roibin_blosc.json,14,4,1,1,-10.0804,520.2731325626373,polaris-gpu,64,64,4,True,3,4
roibin_blosc.json,12,4,1,1,-11.2361,521.871607542038,polaris-gpu,64,64,4,True,4,4
