c0,p0,p1,p2,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_zfpgpu.json,30,2,2,-6.1897,86.00753712654114,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,12,3,3,-6.81106,81.2474160194397,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,42,3,1,-6.34556,86.6607129573822,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,18,4,1,-7.53874,85.40658283233643,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,49,1,3,-7.35027,140.25347065925598,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,47,3,2,-7.50666,148.55112981796265,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,28,3,4,-8.64738,150.14780855178833,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,25,1,2,-7.77121,149.0210349559784,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,5,2,3,-6.86407,202.0386724472046,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,41,4,2,-6.89088,213.12588334083557,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,5,2,2,-7.63665,214.2656626701355,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,27,3,3,-7.60373,215.50468063354492,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,28,4,3,-7.05626,261.32692313194275,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,29,3,2,-7.28953,277.6767728328705,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,20,2,3,-8.48108,278.56839656829834,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,23,3,2,-7.0846,278.6531493663788,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,27,3,4,-7.70334,307.23736333847046,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,27,4,1,-7.91061,341.0309188365936,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,21,2,3,-6.63182,343.12395215034485,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,20,1,4,-7.87529,343.0149202346802,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,26,3,3,-8.86465,370.1461582183838,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,27,4,4,-7.38103,404.5588881969452,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,20,2,4,-6.94514,405.9235098361969,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,28,1,4,-7.05626,411.2823553085327,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,26,1,3,-8.01848,435.20775413513184,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,26,3,4,-8.09204,471.9788372516632,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,25,3,3,-7.41204,470.1324667930603,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,27,2,4,-7.91061,475.2439012527466,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,26,1,2,-6.9179,500.92392683029175,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,26,4,3,-7.66985,537.756838798523,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,26,3,1,-8.282,538.9462339878082,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,26,2,4,-6.9179,537.0522060394287,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,25,3,4,-19.1746,538.9776439666748,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,27,4,3,-7.25953,601.5512266159058,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,26,4,4,-8.16697,603.0015931129456,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,26,4,1,-7.41204,604.4167013168335,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,24,3,4,-8.2433,604.8163778781891,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,25,1,4,-6.30023,665.6766593456268,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,25,4,4,-7.53874,665.6618185043335,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,23,3,4,-8.86465,670.2877194881439,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,25,2,4,-9.18784,670.3887243270874,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,24,4,4,-6.97259,730.3309450149536,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,25,3,1,-7.05626,730.4322202205658,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,21,3,4,-10.5004,735.5553958415985,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,22,3,4,-7.9822,735.154349565506,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,23,4,4,-7.94624,798.6389966011047,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,24,2,4,-7.25953,795.9812233448029,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,25,4,3,-8.20495,800.7319755554199,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,20,3,4,-7.77121,803.9921596050262,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,18,3,4,-7.35027,876.187910079956,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,17,3,4,-7.63665,864.7628707885742,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,20,4,4,-7.38103,865.8493232727051,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,19,3,4,-7.70334,867.8550844192505,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,29,3,4,-7.77121,930.9888529777527,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,34,3,4,-7.91061,931.7653188705444,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,30,3,4,-9.04649,938.579315662384,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,29,4,4,-7.38103,939.2978119850159,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,28,4,4,-7.73713,995.3794248104095,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,35,3,4,-7.77121,996.346540927887,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,32,3,4,-6.81106,1003.7563848495483,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,31,3,4,-7.60373,1003.7645261287689,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,25,3,2,-7.14196,1057.8450038433075,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,25,2,3,-7.25953,1057.7082142829895,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,25,4,1,-7.70334,1064.9216332435608,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,24,3,3,-7.5711,1066.2883579730988,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,24,1,4,-6.78487,1123.3396084308624,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,23,1,4,-7.35027,1124.957548379898,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,23,2,4,-6.97259,1131.1997196674347,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,22,2,4,-6.36847,1132.8651349544525,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,19,2,4,-7.02815,1186.6347205638885,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,22,4,4,-7.70334,1188.5316712856293,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,21,4,4,-7.31977,1199.4287524223328,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,19,4,4,-7.53874,1199.83900308609,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,20,4,3,-6.9179,1253.3365082740784,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,22,4,3,-7.02815,1254.8093767166138,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,21,4,3,-7.05626,1263.5330972671509,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,22,3,3,-7.53874,1262.898071050644,polaris-gpu,64,64,4,True,5,4
roibin_zfpgpu.json,23,3,3,-7.0846,1316.1068379878998,polaris-gpu,64,64,4,True,2,4
roibin_zfpgpu.json,26,1,4,-7.20027,1324.6937403678894,polaris-gpu,64,64,4,True,4,4
roibin_zfpgpu.json,21,3,3,-6.86407,1325.777420759201,polaris-gpu,64,64,4,True,3,4
roibin_zfpgpu.json,16,3,4,-6.70747,1329.0643413066864,polaris-gpu,64,64,4,True,5,4
