c0,p0,p1,p2,p3,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_blosc-9.json,13,4,1,3,-0.0180306,123.32572484016418,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,40,1,2,4,-0.0195611,123.33080530166626,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,12,3,3,3,-0.0190875,123.8346049785614,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,30,2,2,2,-0.0177208,124.28501057624817,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,47,3,2,4,-0.0216726,218.53185033798218,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,25,1,2,3,-0.0210159,225.92675876617432,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,58,2,3,2,-0.0191107,231.48538041114807,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,19,3,3,1,-0.0127296,279.24442076683044,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,42,4,3,4,-0.0194693,321.5418794155121,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,42,4,1,4,-0.0189593,331.3477828502655,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,36,3,2,4,-0.0190491,337.1517684459686,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,47,2,2,4,-0.0193378,389.97171926498413,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,43,2,4,4,-0.0181038,436.7784352302551,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,42,3,2,4,-0.0188537,441.4513785839081,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,42,3,1,4,-0.0182599,445.83466029167175,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,54,1,2,4,-0.0186847,500.5185739994049,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,58,1,2,4,-0.0186943,550.6853861808777,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,50,1,2,3,-0.018611,554.3647000789642,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,47,1,2,4,-0.0185003,555.7384569644928,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,49,2,2,4,-0.0185728,609.3767144680023,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,48,3,2,4,-0.018303,660.7667746543884,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,46,4,2,4,-0.0180984,662.1193222999573,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,47,4,2,4,-0.0178229,666.9006979465485,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,46,3,2,4,-0.0188626,716.7386229038239,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,47,3,1,4,-0.0190249,769.5942528247833,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,57,3,2,3,-0.0184031,772.0393855571747,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,47,3,4,4,-0.0181049,777.6833024024963,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,47,3,2,3,-0.0185334,827.4899406433105,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,47,3,3,4,-0.018808,880.6216192245483,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,47,3,1,3,-0.0186946,884.359580039978,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,47,1,1,3,-0.018519,888.403327703476,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,47,1,1,4,-0.0186165,936.8198220729828,polaris-gpu,2,64,4,True,5,4
