c0,p0,p1,p2,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_bzip-9.json,30,2,2,-0.0190331,114.23156380653381,polaris-gpu,2,64,4,True,2,4
roibin_bzip-9.json,12,3,3,-0.0191745,114.24222898483276,polaris-gpu,2,64,4,True,3,4
roibin_bzip-9.json,42,3,1,-0.018829,114.43210864067078,polaris-gpu,2,64,4,True,4,4
roibin_bzip-9.json,49,1,3,-0.0196025,218.8117754459381,polaris-gpu,2,64,4,True,2,4
roibin_bzip-9.json,47,3,2,-0.0190954,219.90574049949646,polaris-gpu,2,64,4,True,3,4
roibin_bzip-9.json,22,1,1,-0.018953,222.9284086227417,polaris-gpu,2,64,4,True,5,4
roibin_bzip-9.json,28,3,4,-0.0192437,223.73072409629822,polaris-gpu,2,64,4,True,4,4
roibin_bzip-9.json,53,1,2,-0.0190558,327.66527676582336,polaris-gpu,2,64,4,True,3,4
roibin_bzip-9.json,39,1,4,-0.0191998,328.72712206840515,polaris-gpu,2,64,4,True,2,4
roibin_bzip-9.json,49,2,1,-0.018978,329.7317144870758,polaris-gpu,2,64,4,True,5,4
roibin_bzip-9.json,14,1,4,-0.0191533,330.78972148895264,polaris-gpu,2,64,4,True,4,4
roibin_bzip-9.json,30,2,3,-0.0191958,435.175092458725,polaris-gpu,2,64,4,True,3,4
roibin_bzip-9.json,51,1,4,-0.0191003,436.1668555736542,polaris-gpu,2,64,4,True,2,4
roibin_bzip-9.json,45,2,3,-0.0190364,437.68656158447266,polaris-gpu,2,64,4,True,5,4
roibin_bzip-9.json,22,2,4,-0.0190034,439.176753282547,polaris-gpu,2,64,4,True,4,4
roibin_bzip-9.json,47,1,3,-0.0189837,544.4485421180725,polaris-gpu,2,64,4,True,3,4
roibin_bzip-9.json,56,1,4,-0.019145,544.6303687095642,polaris-gpu,2,64,4,True,2,4
roibin_bzip-9.json,48,1,3,-0.0191028,545.1967031955719,polaris-gpu,2,64,4,True,5,4
roibin_bzip-9.json,50,3,4,-0.0193516,547.9408476352692,polaris-gpu,2,64,4,True,4,4
roibin_bzip-9.json,48,1,4,-0.0190382,652.4188528060913,polaris-gpu,2,64,4,True,2,4
roibin_bzip-9.json,49,4,3,-0.019089,653.5404536724091,polaris-gpu,2,64,4,True,5,4
roibin_bzip-9.json,56,2,3,-0.0190237,653.6293389797211,polaris-gpu,2,64,4,True,3,4
roibin_bzip-9.json,50,2,4,-0.019258,655.3074140548706,polaris-gpu,2,64,4,True,4,4
roibin_bzip-9.json,50,1,4,-0.0192654,762.2484879493713,polaris-gpu,2,64,4,True,2,4
roibin_bzip-9.json,59,1,3,-0.0190835,762.9124135971069,polaris-gpu,2,64,4,True,3,4
