c0,p0,p1,p2,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_sz.json,42,3,1,-0.233239,55.76889491081238,polaris-gpu,2,64,4,True,4,4
roibin_sz.json,12,3,3,-0.259544,55.916911363601685,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,18,4,1,-0.225703,56.01923894882202,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,49,1,3,-0.275212,91.03231024742126,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,28,3,4,-0.256258,93.17498731613159,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,47,3,2,-0.254132,93.47856140136719,polaris-gpu,2,64,4,True,4,4
roibin_sz.json,39,2,3,-0.279331,125.30168962478638,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,5,2,3,-0.266611,131.09711050987244,polaris-gpu,2,64,4,True,4,4
roibin_sz.json,44,4,4,-0.274958,131.69543194770813,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,40,2,4,-0.277643,159.50055170059204,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,16,1,3,-0.261762,169.35189151763916,polaris-gpu,2,64,4,True,4,4
roibin_sz.json,59,2,3,-0.267088,169.65172815322876,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,52,3,3,-0.277966,195.05326437950134,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,35,1,4,-0.268771,206.4037275314331,polaris-gpu,2,64,4,True,4,4
roibin_sz.json,42,2,4,-0.283239,206.81089758872986,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,60,2,3,-0.26956,231.1609983444214,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,49,1,4,-0.265604,242.45697402954102,polaris-gpu,2,64,4,True,4,4
roibin_sz.json,49,2,4,-0.271336,243.3636965751648,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,41,2,4,-0.278419,268.1629173755646,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,59,1,3,-0.268771,279.22471714019775,polaris-gpu,2,64,4,True,4,4
roibin_sz.json,41,1,4,-0.281769,280.4668231010437,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,30,2,2,-0.265604,308.4426944255829,polaris-gpu,2,64,4,True,2,4
roibin_sz.json,42,2,3,-0.246475,318.7690246105194,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,40,1,4,-0.205368,343.62885069847107,polaris-gpu,2,64,4,True,2,4
roibin_sz.json,39,2,4,-0.2094,351.7612056732178,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,44,2,4,-0.209107,376.66582465171814,polaris-gpu,2,64,4,True,2,4
roibin_sz.json,55,1,3,-0.213518,387.41262340545654,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,52,2,3,-0.207256,409.9017605781555,polaris-gpu,2,64,4,True,2,4
roibin_sz.json,50,3,3,-0.213137,421.9151511192322,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,49,2,3,-0.195646,442.6366159915924,polaris-gpu,2,64,4,True,2,4
roibin_sz.json,42,4,4,-0.209547,454.43577909469604,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,60,4,4,-0.204524,476.32410764694214,polaris-gpu,2,64,4,True,2,4
roibin_sz.json,41,1,3,-0.200878,487.0908660888672,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,41,1,1,-0.192586,510.16550731658936,polaris-gpu,2,64,4,True,2,4
roibin_sz.json,32,2,1,-0.187654,523.0468628406525,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,31,2,2,-0.199004,543.8570709228516,polaris-gpu,2,64,4,True,2,4
roibin_sz.json,42,3,4,-0.211252,556.9045140743256,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,42,1,4,-0.270905,569.8626728057861,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,43,2,4,-0.252627,580.9187204837799,polaris-gpu,2,64,4,True,4,4
roibin_sz.json,48,1,4,-0.16785,615.0618276596069,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,58,1,4,-0.149977,636.4846060276031,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,46,1,4,-0.155503,646.7931175231934,polaris-gpu,2,64,4,True,4,4
roibin_sz.json,60,1,3,-0.145661,681.3865060806274,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,15,3,4,-0.151231,703.178719997406,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,36,2,4,-0.145413,738.240790605545,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,7,2,3,-0.140603,752.7678999900818,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,1,2,3,-0.144027,787.8309335708618,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,40,3,3,-0.142839,800.7571270465851,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,40,2,3,-0.144725,834.5647096633911,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,41,3,4,-0.200945,845.5641241073608,polaris-gpu,2,64,4,True,2,4
roibin_sz.json,41,2,3,-0.147897,849.899786233902,polaris-gpu,2,64,4,True,3,4
roibin_sz.json,17,1,4,-0.136194,904.9490506649017,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,23,1,4,-0.135468,922.1323976516724,polaris-gpu,2,64,4,True,2,4
roibin_sz.json,12,2,4,-0.145892,948.504301071167,polaris-gpu,2,64,4,True,4,4
roibin_sz.json,28,2,4,-0.127527,977.6907458305359,polaris-gpu,2,64,4,True,5,4
roibin_sz.json,30,1,4,-0.116939,997.9468479156494,polaris-gpu,2,64,4,True,2,4
roibin_sz.json,28,3,2,-0.116699,1038.3546478748322,polaris-gpu,2,64,4,True,4,4
