c0,p0,p1,p2,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_zfp.json,42,3,1,-0.408069,52.09714674949646,polaris-gpu,2,64,4,True,4,4
roibin_zfp.json,12,3,3,-1.14738,52.14932918548584,polaris-gpu,2,64,4,True,3,4
roibin_zfp.json,30,2,2,-1.16076,52.3497428894043,polaris-gpu,2,64,4,True,2,4
roibin_zfp.json,49,1,3,-1.22004,86.05384588241577,polaris-gpu,2,64,4,True,3,4
roibin_zfp.json,47,3,2,-0.422803,97.6911313533783,polaris-gpu,2,64,4,True,2,4
roibin_zfp.json,32,1,4,-1.2263,97.83882069587708,polaris-gpu,2,64,4,True,4,4
roibin_zfp.json,18,3,3,-1.15738,98.38410091400146,polaris-gpu,2,64,4,True,5,4
roibin_zfp.json,25,2,4,-0.419094,124.33795619010925,polaris-gpu,2,64,4,True,3,4
roibin_zfp.json,29,1,3,-1.07508,140.19698095321655,polaris-gpu,2,64,4,True,2,4
roibin_zfp.json,36,1,4,-0.972654,143.19381165504456,polaris-gpu,2,64,4,True,4,4
roibin_zfp.json,32,1,3,-1.24548,143.58756518363953,polaris-gpu,2,64,4,True,5,4
roibin_zfp.json,31,2,3,-0.405989,168.2373595237732,polaris-gpu,2,64,4,True,3,4
roibin_zfp.json,30,1,3,-1.16757,184.3467357158661,polaris-gpu,2,64,4,True,2,4
roibin_zfp.json,33,1,3,-0.996179,187.65953373908997,polaris-gpu,2,64,4,True,5,4
roibin_zfp.json,32,1,1,-0.478725,209.98994779586792,polaris-gpu,2,64,4,True,3,4
roibin_zfp.json,31,1,3,-1.16529,219.39014792442322,polaris-gpu,2,64,4,True,2,4
roibin_zfp.json,30,1,4,-1.2626,223.30101799964905,polaris-gpu,2,64,4,True,5,4
roibin_zfp.json,28,1,3,-1.10492,246.53038477897644,polaris-gpu,2,64,4,True,3,4
roibin_zfp.json,34,1,3,-1.10288,256.1919438838959,polaris-gpu,2,64,4,True,2,4
roibin_zfp.json,31,1,4,-1.19085,258.795156955719,polaris-gpu,2,64,4,True,5,4
roibin_zfp.json,27,1,3,-1.18142,282.42467427253723,polaris-gpu,2,64,4,True,3,4
roibin_zfp.json,29,1,4,-1.20527,292.7383635044098,polaris-gpu,2,64,4,True,2,4
roibin_zfp.json,33,1,4,-1.18966,295.2871050834656,polaris-gpu,2,64,4,True,5,4
roibin_zfp.json,25,1,3,-1.21508,317.51798009872437,polaris-gpu,2,64,4,True,3,4
roibin_zfp.json,30,3,4,-0.44287,328.8811674118042,polaris-gpu,2,64,4,True,2,4
roibin_zfp.json,24,1,3,-1.17909,349.9079167842865,polaris-gpu,2,64,4,True,3,4
roibin_zfp.json,29,1,2,-1.04774,356.8119080066681,polaris-gpu,2,64,4,True,2,4
roibin_zfp.json,22,1,3,-1.25596,377.5375692844391,polaris-gpu,2,64,4,True,3,4
roibin_zfp.json,26,1,3,-1.24548,383.7428035736084,polaris-gpu,2,64,4,True,2,4
roibin_zfp.json,9,1,4,-1.26796,405.5683877468109,polaris-gpu,2,64,4,True,3,4
