c0,p0,p1,p2,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_zfpgpu.json,30,2,2,-0.735919,92.2617735862732,polaris-gpu,6,64,4,True,2,4
roibin_zfpgpu.json,12,3,3,-0.739058,96.36728405952454,polaris-gpu,6,64,4,True,3,4
roibin_zfpgpu.json,42,3,1,-0.804241,96.4203109741211,polaris-gpu,6,64,4,True,4,4
roibin_zfpgpu.json,49,1,3,-1.18091,135.63726425170898,polaris-gpu,6,64,4,True,2,4
roibin_zfpgpu.json,47,3,2,-0.770518,174.75766730308533,polaris-gpu,6,64,4,True,3,4
roibin_zfpgpu.json,22,1,1,-0.82391,180.0836980342865,polaris-gpu,6,64,4,True,5,4
roibin_zfpgpu.json,28,3,4,-0.811777,184.99801588058472,polaris-gpu,6,64,4,True,4,4
roibin_zfpgpu.json,39,1,4,-0.780937,222.99438381195068,polaris-gpu,6,64,4,True,2,4
roibin_zfpgpu.json,46,1,1,-0.813956,262.12261033058167,polaris-gpu,6,64,4,True,3,4
roibin_zfpgpu.json,46,1,2,-0.628391,265.08637833595276,polaris-gpu,6,64,4,True,5,4
roibin_zfpgpu.json,59,2,4,-0.636972,270.80432748794556,polaris-gpu,6,64,4,True,4,4
roibin_zfpgpu.json,44,1,3,-0.68948,310.4551751613617,polaris-gpu,6,64,4,True,2,4
roibin_zfpgpu.json,56,1,1,-0.878837,349.5393052101135,polaris-gpu,6,64,4,True,5,4
roibin_zfpgpu.json,60,1,3,-0.76517,354.04848051071167,polaris-gpu,6,64,4,True,3,4
roibin_zfpgpu.json,49,3,3,-0.773466,358.32120513916016,polaris-gpu,6,64,4,True,4,4
roibin_zfpgpu.json,51,1,3,-0.721902,393.62999272346497,polaris-gpu,6,64,4,True,2,4
roibin_zfpgpu.json,49,1,4,-0.760373,433.45060992240906,polaris-gpu,6,64,4,True,5,4
roibin_zfpgpu.json,49,1,1,-0.821677,438.95921444892883,polaris-gpu,6,64,4,True,3,4
roibin_zfpgpu.json,50,1,3,-0.767106,444.89018988609314,polaris-gpu,6,64,4,True,4,4
roibin_zfpgpu.json,49,2,3,-0.82112,479.896760225296,polaris-gpu,6,64,4,True,2,4
roibin_zfpgpu.json,48,1,3,-0.805309,519.1808898448944,polaris-gpu,6,64,4,True,5,4
