c0,p0,p1,p2,p3,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_blosc.json,30,2,2,2,-12.9236,77.58092093467712,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,12,3,3,3,-8.80931,75.28007698059082,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,40,1,2,4,-12.9236,78.03610897064209,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,13,4,1,3,-10.6429,75.32598066329956,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,47,3,2,4,-11.7019,143.19877171516418,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,58,2,3,2,-10.595,143.96017336845398,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,25,1,2,3,-10.4075,151.76890182495117,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,32,1,2,2,-12.1242,147.60567831993103,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,40,3,1,4,-12.3146,212.98953247070312,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,39,2,1,4,-13.3641,218.07894802093506,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,55,1,3,2,-11.4179,217.6496706008911,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,34,1,2,1,-22.4008,219.33252096176147,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,42,3,2,4,-10.9399,279.93098282814026,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,32,1,2,1,-31.3612,288.18120217323303,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,40,2,1,4,-12.6456,288.35886120796204,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,35,1,2,1,-31.3612,288.9944546222687,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,34,1,4,1,-26.7283,298.0803105831146,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,32,1,1,1,-24.0009,355.9346914291382,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,36,1,2,1,-28.001,359.48546862602234,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,33,1,2,1,-29.7733,359.04187393188477,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,35,1,3,1,-48.0018,364.9461896419525,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,34,1,1,1,-22.6162,426.9404764175415,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,33,3,2,1,-24.2483,429.1797332763672,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,21,1,2,1,-25.8471,429.502436876297,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,35,1,4,1,-37.9369,434.29579305648804,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,37,1,3,1,-34.5895,494.8933951854706,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,36,3,4,1,-18.093,499.0635266304016,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,35,4,3,1,-25.0222,499.63741064071655,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,36,1,4,1,-46.1194,506.1409373283386,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,36,1,3,1,-35.1058,563.3525562286377,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,35,2,3,1,-19.1227,568.9068782329559,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,35,1,1,1,-28.3384,569.3877654075623,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,58,1,4,1,-32.2204,573.6509509086609,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,37,1,4,1,-35.6377,630.312867641449,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,38,1,3,1,-44.379,637.9542737007141,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,36,2,4,1,-16.4482,639.5377390384674,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,38,1,4,1,-32.2204,641.4459118843079,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,51,1,4,1,-33.128,701.9329805374146,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,39,1,3,1,-34.0882,706.1931648254395,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,38,1,2,1,-39.8659,709.2578465938568,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,13,1,3,1,-36.7514,709.7928516864777,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,39,1,4,1,-15.4743,781.6935777664185,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,41,1,3,1,-4.48872,781.0819249153137,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,39,1,2,1,-21.9821,781.0819194316864,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,38,1,1,1,-34.0882,781.3577361106873,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,34,1,3,1,-34.5895,852.2111895084381,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,37,1,1,1,-17.0441,852.0107717514038,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,37,1,2,1,-31.3612,852.6245543956757,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,40,1,3,1,-36.186,852.5745296478271,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,12,1,3,1,-84.0031,854.8227915763855,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,30,1,3,1,2.255,955.6374266147614,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,32,1,3,1,-26.1343,923.4675416946411,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,33,1,3,1,-26.1343,928.93292760849,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,9,1,3,1,-35.6377,934.4622421264648,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,11,1,3,1,-32.6679,988.0459830760956,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,10,1,3,1,2.143,953.62056016922,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,12,1,4,1,-36.186,978.1863071918488,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,16,1,3,1,-35.6377,1018.5067148208618,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,12,1,2,1,-26.1343,1019.4664876461029,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,14,1,3,1,-31.785,1038.7180211544037,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,12,3,3,1,-31.785,1050.8346304893494,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,4,1,3,1,-36.186,1082.400526046753,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,12,1,1,1,-27.3498,1084.5082728862762,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,11,1,4,1,-31.785,1103.5343987941742,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,12,4,3,1,-24.5009,1117.5408260822296,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,13,1,4,1,-29.0381,1149.103924036026,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,3,1,3,1,-26.1343,1154.1624872684479,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,11,1,2,1,-32.2204,1172.3805673122406,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,12,2,3,1,-16.4482,1184.8883159160614,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,1,1,3,1,-28.684,1214.9557964801788,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,8,1,3,1,-35.6377,1220.0327425003052,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,10,1,4,1,-31.3612,1235.4135701656342,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,11,1,1,1,-21.3826,1248.7285242080688,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,15,1,3,1,-34.0882,1279.6485087871552,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,13,1,2,1,-27.3498,1285.7839245796204,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,14,1,4,1,-31.785,1300.5102441310883,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,12,4,4,1,-19.7654,1313.2227401733398,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,17,1,3,1,-36.186,1343.660632610321,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,15,1,4,1,-41.2647,1350.781245470047,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,9,1,4,1,-30.5466,1366.207282781601,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,7,1,3,1,-26.4279,1376.2661681175232,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,18,1,3,1,-34.0882,1409.4189097881317,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,8,1,4,1,-32.2204,1416.4823777675629,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,9,1,2,1,-27.6716,1431.8513841629028,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,18,1,4,1,-38.5588,1440.0134217739105,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,19,1,3,1,-35.6377,1474.7439115047455,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,17,1,4,1,-42.7652,1481.4816975593567,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,12,2,4,1,-18.5204,1496.039491891861,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,22,1,4,1,-30.155,1505.4164865016937,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,19,1,4,1,-37.3347,1539.2484259605408,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,20,1,3,1,-31.785,1548.7360589504242,polaris-gpu,128,64,4,True,3,4
roibin_blosc.json,19,1,2,1,-23.288,1563.2906956672668,polaris-gpu,128,64,4,True,2,4
roibin_blosc.json,13,1,1,1,-24.7588,1572.0909585952759,polaris-gpu,128,64,4,True,4,4
roibin_blosc.json,20,1,4,1,-29.0381,1608.813719034195,polaris-gpu,128,64,4,True,5,4
roibin_blosc.json,14,1,2,1,-32.2204,1617.2934353351593,polaris-gpu,128,64,4,True,3,4
