c0,p0,p1,p2,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_qoz.json,30,2,2,-12.1242,77.84413051605225,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,12,3,3,-13.8358,79.54617643356323,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,42,3,1,-10.8893,78.79502511024475,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,18,4,1,-9.44613,73.98542785644531,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,49,1,3,-12.6456,141.26445317268372,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,47,3,2,-9.84137,146.66202807426453,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,28,3,4,-16.564,147.95502424240112,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,25,1,2,-11.8195,147.9594497680664,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,47,1,3,-12.187,207.81144976615906,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,41,4,2,-12.3146,214.15122842788696,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,27,4,3,-12.5111,216.7623472213745,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,27,3,3,-12.714,217.6130838394165,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,28,3,3,-12.062,276.5196723937988,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,29,1,4,-11.254,286.1813337802887,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,18,2,3,-11.5298,286.0295147895813,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,27,3,4,-10.4537,289.1858243942261,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,28,4,4,-15.0775,359.51021099090576,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,36,3,4,-12.4449,357.46759009361267,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,28,1,4,-11.7604,359.3002426624298,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,31,3,4,-24.5009,360.0017685890198,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,19,3,4,-11.644,420.0324242115021,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,30,3,4,-14.1692,427.5480830669403,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,32,3,4,-10.2265,429.5136229991913,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,31,4,4,-11.7604,429.96764755249023,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,31,2,4,-11.9395,486.5157468318939,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,31,3,3,-10.2711,495.21059346199036,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,33,3,4,-11.9395,502.7003402709961,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,32,4,4,-14.342,503.2133831977844,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,31,1,4,-11.8792,556.522577047348,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,30,4,4,-17.0441,564.681795835495,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,30,2,4,-12.2505,591.6215839385986,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,30,3,3,-10.8391,575.6446731090546,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,31,4,3,-10.1822,622.4539597034454,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,30,1,4,-12.187,628.7865962982178,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,29,3,4,-10.9911,642.7663323879242,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,29,4,4,-11.4179,659.1859612464905,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,32,1,4,-9.92442,687.1365637779236,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,34,3,4,-11.7604,695.0458207130432,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,33,4,4,-11.2004,707.8270041942596,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,32,2,4,-13.214,722.9897739887238,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,37,4,4,-8.34073,756.0006296634674,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,34,4,4,-1.11473,768.537675857544,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,36,4,4,-14.6092,777.9570977687836,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,39,2,4,-10.0089,786.5228686332703,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,34,2,4,-11.9395,822.6468923091888,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,40,1,1,-10.1822,838.9378283023834,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,35,4,4,-13.2886,846.5927822589874,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,36,4,3,-10.7894,853.192423582077,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,35,3,4,-11.5298,884.9308948516846,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,36,2,4,-10.6913,905.157726764679,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,36,4,1,-10.2265,913.6110434532166,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,36,4,2,-11.644,919.7571806907654,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,31,4,2,-10.595,950.1447186470032,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,31,3,2,-11.0427,973.3822686672211,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,28,2,2,-13.4405,980.8918871879578,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,31,2,3,-11.644,987.3826580047607,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,27,2,2,-9.88272,1013.3360958099365,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,28,2,3,-10.7894,1039.8049173355103,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,28,1,3,-13.6749,1047.3250296115875,polaris-gpu,128,64,4,True,5,4
roibin_qoz.json,28,2,4,-12.1242,1053.7577633857727,polaris-gpu,128,64,4,True,4,4
roibin_qoz.json,7,2,4,-12.1242,1075.1779372692108,polaris-gpu,128,64,4,True,2,4
roibin_qoz.json,15,3,4,-11.3627,1106.9811668395996,polaris-gpu,128,64,4,True,3,4
roibin_qoz.json,20,3,4,-14.43,1114.8485672473907,polaris-gpu,128,64,4,True,5,4
