c0,p0,p1,p2,p3,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_blosc-6.json,30,2,2,2,-0.145024,57.86205768585205,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,12,3,3,3,-0.139829,57.76235890388489,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,40,1,2,4,-0.132831,57.60022974014282,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,13,4,1,3,-0.133202,57.61159873008728,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,47,3,2,4,-0.148504,97.80149817466736,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,58,2,3,2,-0.121101,110.23967385292053,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,52,3,3,4,-0.149284,106.08860850334167,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,7,3,1,2,-0.142549,107.68106007575989,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,24,1,1,4,-0.145306,144.10460710525513,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,46,4,4,4,-0.147916,153.90445804595947,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,59,3,2,4,-0.12817,156.16180729866028,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,55,3,2,3,-0.128973,157.89546585083008,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,35,4,2,4,-0.125491,194.1709508895874,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,48,3,3,4,-0.146429,203.2407464981079,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,31,3,3,4,-0.148726,200.98352360725403,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,15,2,2,2,-0.147024,206.67662620544434,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,46,2,3,4,-0.122241,245.1154682636261,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,47,3,3,4,-0.150279,246.78811693191528,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,47,3,4,4,-0.122041,255.09562253952026,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,46,3,3,4,-0.146735,254.3683681488037,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,22,1,4,1,-0.151942,297.2202343940735,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,24,4,3,3,-0.129715,296.4857747554779,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,49,3,3,4,-0.154898,300.9761962890625,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,27,3,3,3,-0.154318,301.52493143081665,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,48,3,4,4,-0.129043,343.16259121894836,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,48,4,3,4,-0.130652,342.5057260990143,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,48,2,3,4,-0.128695,347.2797691822052,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,28,2,4,1,-0.147078,349.9378592967987,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,50,3,3,4,-0.156727,387.12170219421387,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,26,3,4,1,-0.149714,393.5879600048065,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,32,3,3,1,-0.152136,398.2491772174835,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,26,3,3,2,-0.148504,398.2826864719391,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,26,3,3,4,-0.157554,432.3434352874756,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,27,3,4,1,-0.155787,444.11482644081116,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,28,3,3,1,-0.153663,448.47926139831543,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,29,3,3,2,-0.154758,446.2014465332031,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,26,3,4,2,-0.127554,479.5817172527313,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,26,2,3,1,-0.160476,494.8946886062622,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,27,3,3,2,-0.151442,492.2510528564453,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,28,3,4,1,-0.149808,500.5175051689148,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,28,3,3,4,-0.153821,523.0589759349823,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,30,3,3,1,-0.154718,539.4408783912659,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,27,3,3,1,-0.154858,545.4334208965302,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,27,2,2,1,-0.152213,550.831511259079,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,26,1,4,1,-0.158138,570.610344171524,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,26,3,3,1,-0.154039,588.5130367279053,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,27,2,3,1,-0.155909,593.4234721660614,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,27,2,1,1,-0.147769,600.8754460811615,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,26,1,3,1,-0.159044,620.4088912010193,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,26,2,4,1,-0.153861,638.1147084236145,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,29,2,3,1,-0.158642,640.1690917015076,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,26,2,1,1,-0.159192,642.7113418579102,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,26,2,2,1,-0.226817,649.4701788425446,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,27,1,2,1,-0.1488,695.0566656589508,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,27,1,3,1,-0.16067,695.9052863121033,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,23,2,3,1,-0.157181,695.5227735042572,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,26,1,2,1,-0.165112,696.7125210762024,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,24,2,1,1,-0.162572,739.8805236816406,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,25,2,2,1,-0.152876,747.1935060024261,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,26,4,2,1,-0.156011,747.294497013092,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,26,1,1,1,-0.15398,747.492748260498,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,26,3,2,1,-0.180371,779.8946468830109,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,25,1,2,1,-0.15743,795.2613859176636,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,24,1,2,1,-0.149921,798.4345483779907,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,26,1,2,3,-0.154437,791.0131585597992,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,24,2,2,1,-0.152155,827.7290506362915,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,25,2,1,1,-0.149714,840.2698035240173,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,25,4,2,1,-0.157181,845.16073179245,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,25,3,2,1,-0.157409,1100.3201546669006,polaris-gpu,2,64,4,True,4,4
roibin_blosc-6.json,26,4,1,1,-0.157367,868.9764275550842,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,25,3,1,1,-0.160282,883.2166693210602,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,26,3,1,1,-0.162043,886.4064819812775,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,27,4,1,1,-0.157888,909.2529852390289,polaris-gpu,2,64,4,True,2,4
roibin_blosc-6.json,27,3,1,1,-0.162484,924.6257002353668,polaris-gpu,2,64,4,True,5,4
roibin_blosc-6.json,27,3,2,1,-0.167215,927.7074637413025,polaris-gpu,2,64,4,True,3,4
roibin_blosc-6.json,24,3,2,1,-0.168347,950.5102450847626,polaris-gpu,2,64,4,True,2,4
