c0,p0,p1,p2,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_cusz.json,30,2,2,-1.71859,51.67016625404358,polaris-gpu,2,64,4,True,2,4
roibin_cusz.json,12,3,3,-1.98079,51.620009660720825,polaris-gpu,2,64,4,True,3,4
roibin_cusz.json,42,3,1,-1.44254,51.47020363807678,polaris-gpu,2,64,4,True,4,4
roibin_cusz.json,18,4,1,-1.33009,51.59897255897522,polaris-gpu,2,64,4,True,5,4
roibin_cusz.json,49,1,3,-1.96774,81.62703967094421,polaris-gpu,2,64,4,True,3,4
roibin_cusz.json,47,3,2,-0.460277,93.9305009841919,polaris-gpu,2,64,4,True,2,4
roibin_cusz.json,32,1,4,-1.92959,94.63117575645447,polaris-gpu,2,64,4,True,4,4
roibin_cusz.json,18,3,3,-1.81247,94.86012125015259,polaris-gpu,2,64,4,True,5,4
roibin_cusz.json,25,2,4,-0.463852,121.33168268203735,polaris-gpu,2,64,4,True,3,4
roibin_cusz.json,29,3,2,-0.463492,134.7957935333252,polaris-gpu,2,64,4,True,2,4
roibin_cusz.json,31,1,4,-1.6752,137.64480900764465,polaris-gpu,2,64,4,True,4,4
roibin_cusz.json,32,1,3,-1.70631,137.8742790222168,polaris-gpu,2,64,4,True,5,4
roibin_cusz.json,11,3,3,-1.70388,160.04135966300964,polaris-gpu,2,64,4,True,3,4
roibin_cusz.json,3,1,3,-1.67756,177.76455402374268,polaris-gpu,2,64,4,True,2,4
roibin_cusz.json,57,1,4,-1.82354,180.01038336753845,polaris-gpu,2,64,4,True,4,4
roibin_cusz.json,34,1,3,-1.64069,180.2669427394867,polaris-gpu,2,64,4,True,5,4
roibin_cusz.json,33,1,3,-1.93272,200.1070384979248,polaris-gpu,2,64,4,True,3,4
roibin_cusz.json,30,1,4,-1.7565,219.53721642494202,polaris-gpu,2,64,4,True,2,4
roibin_cusz.json,1,1,3,-1.82354,222.02777814865112,polaris-gpu,2,64,4,True,4,4
roibin_cusz.json,33,1,4,-1.85757,221.6651473045349,polaris-gpu,2,64,4,True,5,4
roibin_cusz.json,31,1,3,-1.79073,241.57929110527039,polaris-gpu,2,64,4,True,3,4
roibin_cusz.json,56,1,3,-1.77741,260.3078525066376,polaris-gpu,2,64,4,True,2,4
roibin_cusz.json,40,1,4,-1.94531,264.08700942993164,polaris-gpu,2,64,4,True,4,4
roibin_cusz.json,37,1,3,-1.6011,263.52624583244324,polaris-gpu,2,64,4,True,5,4
roibin_cusz.json,35,1,4,-1.98739,283.4574644565582,polaris-gpu,2,64,4,True,3,4
