,c0,p0,p1,p2,FOM,elapsed_sec,duration,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
0,roibin_mgardgpu.json,12,3,3,-1.82633,52.09241557121277,52.09241557121277,polaris-gpu,2,64,4,True,3,4
1,roibin_mgardgpu.json,42,3,1,-1.60973,52.34486126899719,52.34486126899719,polaris-gpu,2,64,4,True,4,4
2,roibin_mgardgpu.json,30,2,2,-1.78006,52.49332594871521,52.49332594871521,polaris-gpu,2,64,4,True,2,4
3,roibin_mgardgpu.json,28,3,4,-0.512626,90.22611713409424,37.881255865097046,polaris-gpu,2,64,4,True,4,4
4,roibin_mgardgpu.json,47,3,2,-0.519087,90.73151707649232,38.238191127777114,polaris-gpu,2,64,4,True,2,4
5,roibin_mgardgpu.json,32,1,4,-2.08087,98.506413936615,98.506413936615,polaris-gpu,2,64,4,True,5,4
6,roibin_mgardgpu.json,47,1,3,-1.9907,125.43031787872314,34.69880080223082,polaris-gpu,2,64,4,True,2,4
7,roibin_mgardgpu.json,32,2,2,-1.84324,126.82574152946472,36.59962439537048,polaris-gpu,2,64,4,True,4,4
8,roibin_mgardgpu.json,31,1,1,-1.43388,136.0017852783203,35.39170551300049,polaris-gpu,2,64,4,True,2,4
9,roibin_mgardgpu.json,53,1,3,-1.94531,149.94100737571716,24.51068949699402,polaris-gpu,2,64,4,True,2,4
10,roibin_mgardgpu.json,33,1,1,-2.22424,150.64607071876526,14.644285440444946,polaris-gpu,2,64,4,True,4,4
11,roibin_mgardgpu.json,58,1,3,-2.30139,165.1838481426239,15.242840766906738,polaris-gpu,2,64,4,True,2,4
12,roibin_mgardgpu.json,32,1,1,-2.29696,165.2659342288971,14.619863510131836,polaris-gpu,2,64,4,True,3,4
13,roibin_mgardgpu.json,51,1,3,-2.21599,179.07679152488708,13.892943382263184,polaris-gpu,2,64,4,True,2,4
14,roibin_mgardgpu.json,35,1,1,-2.24515,179.72015166282654,14.454217433929443,polaris-gpu,2,64,4,True,5,4
15,roibin_mgardgpu.json,55,1,2,-1.99736,193.0170106887817,13.940219163894625,polaris-gpu,2,64,4,True,2,4
16,roibin_mgardgpu.json,34,1,1,-2.0845,194.36634469032288,14.646193027496338,polaris-gpu,2,64,4,True,3,4
17,roibin_mgardgpu.json,57,1,1,-2.0558,207.71639251708984,14.699381828308134,polaris-gpu,2,64,4,True,2,4
18,roibin_mgardgpu.json,38,1,1,-2.14824,208.99569535255432,14.629350662231445,polaris-gpu,2,64,4,True,5,4
19,roibin_mgardgpu.json,36,1,1,-2.33742,223.4967384338379,14.50104308128357,polaris-gpu,2,64,4,True,5,4
20,roibin_mgardgpu.json,60,4,3,-0.539729,236.5131788253784,14.047413349151583,polaris-gpu,2,64,4,True,2,4
21,roibin_mgardgpu.json,37,1,1,-1.82913,238.25024461746216,14.753506183624268,polaris-gpu,2,64,4,True,4,4
22,roibin_mgardgpu.json,41,1,4,-2.18758,250.3579044342041,13.844725608825712,polaris-gpu,2,64,4,True,2,4
