c0,p0,p1,p2,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_zfpgpu.json,30,2,2,-0.27439,57.211122035980225,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,12,3,3,-0.291891,57.161131381988525,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,42,3,1,-0.300558,57.10725235939026,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,18,4,1,-0.314155,57.21128249168396,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,49,1,3,-0.37894,87.7923481464386,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,47,3,2,-0.293541,102.74909496307373,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,32,1,4,-0.294047,102.80482649803162,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,28,4,1,-0.313578,103.12402629852295,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,40,2,1,-0.337121,124.47273898124695,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,51,4,3,-0.303075,144.9886350631714,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,49,1,4,-0.295137,148.0283854007721,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,37,1,2,-0.283172,147.39576625823975,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,43,1,1,-0.314155,168.21794295310974,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,53,2,1,-0.281172,184.9727544784546,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,44,4,4,-0.303769,192.15683269500732,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,41,1,1,-0.301165,193.07955169677734,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,50,1,3,-0.293253,213.36093926429749,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,47,1,3,-0.301393,228.73947548866272,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,49,1,1,-0.305478,236.03885626792908,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,47,1,1,-0.295648,237.97840309143066,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,56,1,3,-0.287327,255.76022458076477,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,49,4,3,-0.302845,270.343314409256,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,49,2,3,-0.308955,279.3582706451416,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,49,1,2,-0.276039,280.53352212905884,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,50,1,4,-0.305556,299.1279134750366,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,57,1,3,-0.304388,313.96076345443726,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,50,2,4,-0.277385,322.2325472831726,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,50,4,3,-0.291109,327.30781507492065,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,51,1,3,-0.299128,344.7974467277527,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,54,1,3,-0.302002,360.2139940261841,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,50,2,3,-0.302921,365.5598111152649,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,50,1,1,-0.308476,371.228556394577,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,51,1,1,-0.304699,388.10523223876953,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,60,1,2,-0.28398,403.5199627876282,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,50,4,1,-0.319534,410.7884702682495,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,50,3,1,-0.281503,412.9349799156189,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,49,4,1,-0.312103,432.75632071495056,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,49,3,3,-0.29275,445.0773768424988,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,46,4,1,-0.298232,453.96349930763245,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,40,4,1,-0.312022,456.44360423088074,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,48,4,3,-0.309595,475.36320090293884,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,49,4,4,-0.299578,488.70707416534424,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,44,4,1,-0.296603,499.14750623703003,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,39,4,1,-0.30697,500.2510871887207,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,41,4,1,-0.310804,520.117193698883,polaris-gpu,2,64,4,True,2,4
roibin_zfpgpu.json,41,2,1,-0.304156,531.964124917984,polaris-gpu,2,64,4,True,3,4
roibin_zfpgpu.json,42,1,3,-0.292391,545.7790379524231,polaris-gpu,2,64,4,True,4,4
roibin_zfpgpu.json,43,1,3,-0.281703,545.6129522323608,polaris-gpu,2,64,4,True,5,4
roibin_zfpgpu.json,42,4,1,-0.314073,562.1191990375519,polaris-gpu,2,64,4,True,2,4
