c0,p0,p1,p2,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_mgard.json,30,2,2,-3.23412,72.52361416816711,polaris-gpu,4,64,4,True,2,4
roibin_mgard.json,42,3,1,-1.78615,73.40882873535156,polaris-gpu,4,64,4,True,4,4
roibin_mgard.json,12,3,3,-3.00197,73.75961661338806,polaris-gpu,4,64,4,True,3,4
roibin_mgard.json,18,4,1,-2.01461,75.46069931983948,polaris-gpu,4,64,4,True,5,4
roibin_mgard.json,49,1,3,-3.19999,133.9155113697052,polaris-gpu,4,64,4,True,2,4
roibin_mgard.json,47,3,2,-0.898367,139.4106183052063,polaris-gpu,4,64,4,True,3,4
roibin_mgard.json,25,1,2,-3.14196,139.8110203742981,polaris-gpu,4,64,4,True,5,4
roibin_mgard.json,28,3,4,-0.86443,140.15105414390564,polaris-gpu,4,64,4,True,4,4
roibin_mgard.json,36,1,4,-2.71319,190.8983461856842,polaris-gpu,4,64,4,True,2,4
roibin_mgard.json,22,2,2,-3.03199,200.75735092163086,polaris-gpu,4,64,4,True,5,4
roibin_mgard.json,33,1,3,-3.33185,203.46868348121643,polaris-gpu,4,64,4,True,3,4
roibin_mgard.json,13,1,1,-2.20508,208.52748703956604,polaris-gpu,4,64,4,True,4,4
roibin_mgard.json,41,1,4,-3.06261,259.28643798828125,polaris-gpu,4,64,4,True,2,4
roibin_mgard.json,31,1,3,-2.97984,269.32886242866516,polaris-gpu,4,64,4,True,3,4
roibin_mgard.json,24,2,2,-2.74388,269.37594771385193,polaris-gpu,4,64,4,True,5,4
roibin_mgard.json,30,1,1,-2.08384,272.4860212802887,polaris-gpu,4,64,4,True,4,4
roibin_mgard.json,33,1,4,-3.34103,324.77269673347473,polaris-gpu,4,64,4,True,2,4
roibin_mgard.json,30,1,3,-3.2602,338.1043927669525,polaris-gpu,4,64,4,True,3,4
roibin_mgard.json,34,1,3,-3.51535,339.4605712890625,polaris-gpu,4,64,4,True,5,4
roibin_mgard.json,32,2,2,-3.3877,341.46183156967163,polaris-gpu,4,64,4,True,4,4
roibin_mgard.json,37,1,4,-3.46513,390.6341712474823,polaris-gpu,4,64,4,True,2,4
roibin_mgard.json,32,1,4,-2.66548,399.36579942703247,polaris-gpu,4,64,4,True,3,4
roibin_mgard.json,35,1,3,-3.42597,409.18908071517944,polaris-gpu,4,64,4,True,5,4
roibin_mgard.json,34,1,4,-3.17486,437.7927882671356,polaris-gpu,4,64,4,True,2,4
roibin_mgard.json,33,1,2,-2.97254,443.790607213974,polaris-gpu,4,64,4,True,3,4
roibin_mgard.json,38,1,3,-2.84694,451.5076205730438,polaris-gpu,4,64,4,True,5,4
roibin_mgard.json,36,1,3,-3.27782,483.4011960029602,polaris-gpu,4,64,4,True,2,4
roibin_mgard.json,35,1,4,-3.41632,485.25902938842773,polaris-gpu,4,64,4,True,3,4
roibin_mgard.json,34,1,2,-3.19999,495.93290424346924,polaris-gpu,4,64,4,True,5,4
roibin_mgard.json,37,1,3,-3.3877,519.691885471344,polaris-gpu,4,64,4,True,2,4
